# time of execution: 2020-10-21 19:51:08
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# asf=0.11
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:5.4e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9999999971938912	295.0	295.0
0.02	0.9999999947989394	295.0	295.0
0.03	0.9999999927549005	295.0	295.0
0.04	0.9999999910103591	295.0	295.0
0.05	0.9999999895214318	295.0	295.0
0.06	0.9999999882506654	295.0	295.0
0.07	0.9999999871660943	295.0	295.0
0.08	0.9999999862404367	295.0	295.0
0.09	0.9999999854504087	295.0	295.0
0.1	0.9999999847761376	295.0	295.0
0.11	0.9999999842006618	295.0	295.0
0.12	0.9999999837095065	295.0	295.0
0.13	0.9999999832903156	295.0	295.0
0.14	0.9999999829325457	295.0	295.0
0.15	0.9999999826271971	295.0	295.0
0.16	0.999999982366589	295.0	295.0
0.17	0.9999999821441656	295.0	295.0
0.18	0.999999981954332	295.0	295.0
0.19	0.9999999817923134	295.0	295.0
0.2	0.9999999816540337	295.0	295.0
0.21	0.9999999815360157	295.0	295.0
0.22	0.99999998143529	295.0	295.0
0.22999999999999998	0.9999999813493222	295.0	295.0
0.24	0.9999999812759505	295.0	295.0
0.25	0.9999999812133298	295.0	295.0
0.26	0.9999999811598845	295.0	295.0
0.27	0.9999999811142699	295.0	295.0
0.28	0.9999999810753385	295.0	295.0
0.29	0.9999999810421113	295.0	295.0
0.3	0.9999999810137529	295.0	295.0
0.31	0.99999998098955	295.0	295.0
0.32	0.9999999809688932	295.0	295.0
0.33	0.9999999809512626	295.0	295.0
0.34	0.9999999809362156	295.0	295.0
0.35	0.9999999809233734	295.0	295.0
0.36	0.9999999809124126	295.0	295.0
0.37	0.9999999809030583	295.0	295.0
0.38	0.9999999808950742	295.0	295.0
0.39	0.9999999808882605	295.0	295.0
0.4	0.9999999808824447	295.0	295.0
0.41	0.9999999808774808	295.0	295.0
0.42	0.9999999808732444	295.0	295.0
0.43	0.9999999808696288	295.0	295.0
0.44	0.999999980866543	295.0	295.0
0.45	0.9999999808639095	295.0	295.0
0.45999999999999996	0.9999999808616618	295.0	295.0
0.47000000000000003	0.9999999808597433	295.0	295.0
0.48	0.9999999808581059	295.0	295.0
0.49000000000000005	0.9999999808567087	295.0	295.0
0.5	0.9999999808555159	295.0	295.0
0.5099999999999999	0.9999999808544977	295.0	295.0
0.52	0.9999999808536291	295.0	295.0
0.5299999999999999	0.9999999808528877	295.0	295.0
0.54	0.9999999808522548	295.0	295.0
0.5499999999999999	0.9999999808517149	295.0	295.0
0.56	0.9999999808512537	295.0	295.0
0.57	0.9999999808508603	295.0	295.0
0.58	0.9999999808505246	295.0	295.0
0.59	0.999999980850238	295.0	295.0
0.6	0.9999999808499932	295.0	295.0
0.61	0.9999999808497844	295.0	295.0
0.62	0.9999999808496064	295.0	295.0
0.6299999999999999	0.9999999808494542	295.0	295.0
0.64	0.9999999808493246	295.0	295.0
0.6499999999999999	0.9999999808492139	295.0	295.0
0.66	0.9999999808491196	295.0	295.0
0.6699999999999999	0.9999999808490386	295.0	295.0
0.68	0.9999999808489698	295.0	295.0
0.69	0.9999999808489115	295.0	295.0
0.7	0.9999999808488613	295.0	295.0
0.71	0.9999999808488169	295.0	295.0
0.72	0.9999999808487824	295.0	295.0
0.73	0.9999999808487491	295.0	295.0
0.74	0.9999999808487243	295.0	295.0
0.7499999999999999	0.9999999808487021	295.0	295.0
0.76	0.9999999808486799	295.0	295.0
0.7699999999999999	0.9999999808486638	295.0	295.0
0.78	0.9999999808486527	295.0	295.0
0.7899999999999999	0.9999999808486416	295.0	295.0
0.8	0.9999999808486305	295.0	295.0
0.8099999999999999	0.9999999808486194	295.0	295.0
0.82	0.9999999808486083	295.0	295.0
0.83	0.9999999808485972	295.0	295.0
0.84	0.9999999808485929	295.0	295.0
0.85	0.9999999808485929	295.0	295.0
0.86	0.9999999808485929	295.0	295.0
0.87	0.9999999808485929	295.0	295.0
0.88	0.9999999808485929	295.0	295.0
0.8899999999999999	0.9999999808485929	295.0	295.0
0.9	0.9999999808485929	295.0	295.0
0.9099999999999999	0.9999999808485929	295.0	295.0
0.9199999999999999	0.9999999808485929	295.0	295.0
0.93	0.9999999808485929	295.0	295.0
0.9400000000000001	0.9999999808485929	295.0	295.0
0.95	0.9999999808485929	295.0	295.0
0.96	0.9999999808485929	295.0	295.0
0.9699999999999999	0.9999999808485929	295.0	295.0
0.9800000000000001	0.9999999808485929	295.0	295.0
0.99	0.9999999808485929	295.0	295.0
1.0	0.9999999808485929	295.0	295.0
1.01	0.9999999808485929	295.0	295.0
1.0199999999999998	0.9999999808485929	295.0	295.0
1.03	0.9999999808485929	295.0	295.0
1.04	0.9999999808485929	295.0	295.0
1.05	0.9999999808485929	295.0	295.0
1.0599999999999998	0.9999999808485929	295.0	295.0
1.0699999999999998	0.9999999808485929	295.0	295.0
1.08	0.9999999808485929	295.0	295.0
1.09	0.9999999808485929	295.0	295.0
1.0999999999999999	0.9999999808485929	295.0	295.0
1.1099999999999999	0.9999999808485929	295.0	295.0
1.12	0.9999999808485929	295.0	295.0
1.1300000000000001	0.9999999808485929	295.0	295.0
1.14	0.9999999808485929	295.0	295.0
1.15	0.9999999808485929	295.0	295.0
1.16	0.9999999808485929	295.0	295.0
1.1700000000000002	0.9999999808485929	295.0	295.0
1.18	0.9999999808485929	295.0	295.0
1.19	0.9999999808485929	295.0	295.0
1.2	0.9999999808485929	295.0	295.0
1.21	0.9999999808485929	295.0	295.0
1.22	0.9999999808485929	295.0	295.0
1.23	0.9999999808485929	295.0	295.0
1.24	0.9999999808485929	295.0	295.0
1.25	0.9999999808485929	295.0	295.0
1.2599999999999998	0.9999999808485929	295.0	295.0
1.27	0.9999999808485929	295.0	295.0
1.28	0.9999999808485929	295.0	295.0
1.29	0.9999999808485929	295.0	295.0
1.2999999999999998	0.9999999808485929	295.0	295.0
1.31	0.9999999808485929	295.0	295.0
1.32	0.9999999808485929	295.0	295.0
1.33	0.9999999808485929	295.0	295.0
1.3399999999999999	0.9999999808485929	295.0	295.0
1.3499999999999999	0.9999999808485929	295.0	295.0
1.36	0.9999999808485929	295.0	295.0
1.37	0.9999999808485929	295.0	295.0
1.38	0.9999999808485929	295.0	295.0
1.39	0.9999999808485929	295.0	295.0
1.4	0.9999999808485929	295.0	295.0
1.4100000000000001	0.9999999808485929	295.0	295.0
1.42	0.9999999808485929	295.0	295.0
1.43	0.9999999808485929	295.0	295.0
1.44	0.9999999808485929	295.0	295.0
1.45	0.9999999808485929	295.0	295.0
1.46	0.9999999808485929	295.0	295.0
1.47	0.9999999808485929	295.0	295.0
1.48	0.9999999808485929	295.0	295.0
1.49	0.9999999808485929	295.0	295.0
1.4999999999999998	0.9999999808485929	295.0	295.0
1.51	0.9999999808485929	295.0	295.0
1.52	0.9999999808485929	295.0	295.0
1.53	0.9999999808485929	295.0	295.0
1.5399999999999998	0.9999999808485929	295.0	295.0
1.55	0.9999999808485929	295.0	295.0
1.56	0.9999999808485929	295.0	295.0
1.57	0.9999999808485929	295.0	295.0
1.5799999999999998	0.9999999808485929	295.0	295.0
1.5899999999999999	0.9999999808485929	295.0	295.0
1.6	0.9999999808485929	295.0	295.0
1.61	0.9999999808485929	295.0	295.0
1.6199999999999999	0.9999999808485929	295.0	295.0
1.63	0.9999999808485929	295.0	295.0
1.64	0.9999999808485929	295.0	295.0
1.6500000000000001	0.9999999808485929	295.0	295.0
1.66	0.9999999808485929	295.0	295.0
1.67	0.9999999808485929	295.0	295.0
1.68	0.9999999808485929	295.0	295.0
1.69	0.9999999808485929	295.0	295.0
1.7	0.9999999808485929	295.0	295.0
1.71	0.9999999808485929	295.0	295.0
1.72	0.9999999808485929	295.0	295.0
1.73	0.9999999808485929	295.0	295.0
1.74	0.9999999808485929	295.0	295.0
1.75	0.9999999808485929	295.0	295.0
1.76	0.9999999808485929	295.0	295.0
1.77	0.9999999808485929	295.0	295.0
1.7799999999999998	0.9999999808485929	295.0	295.0
1.79	0.9999999808485929	295.0	295.0
1.8	0.9999999808485929	295.0	295.0
1.81	0.9999999808485929	295.0	295.0
1.8199999999999998	0.9999999808485929	295.0	295.0
1.83	0.9999999808485929	295.0	295.0
1.8399999999999999	0.9999999808485929	295.0	295.0
1.85	0.9999999808485929	295.0	295.0
1.86	0.9999999808485929	295.0	295.0
1.8699999999999999	0.9999999808485929	295.0	295.0
1.8800000000000001	0.9999999808485929	295.0	295.0
1.89	0.9999999808485929	295.0	295.0
1.9	0.9999999808485929	295.0	295.0
1.9100000000000001	0.9999999808485929	295.0	295.0
1.92	0.9999999808485929	295.0	295.0
1.9300000000000002	0.9999999808485929	295.0	295.0
1.9399999999999997	0.9999999808485929	295.0	295.0
1.95	0.9999999808485929	295.0	295.0
1.9600000000000002	0.9999999808485929	295.0	295.0
1.97	0.9999999808485929	295.0	295.0
1.98	0.9999999808485929	295.0	295.0
1.9899999999999998	0.9999999808485929	295.0	295.0
2.0	0.9999999808485929	295.0	295.0
2.0100000000000002	0.9999999808485929	295.0	295.0
2.02	0.9999999808485929	295.0	295.0
2.0300000000000002	0.9999999808485929	295.0	295.0
2.0399999999999996	0.9999999808485929	295.0	295.0
2.05	0.9999999808485929	295.0	295.0
2.06	0.9999999808485929	295.0	295.0
2.07	0.9999999808485929	295.0	295.0
2.08	0.9999999808485929	295.0	295.0
2.09	0.9999999808485929	295.0	295.0
2.1	0.9999999808485929	295.0	295.0
2.11	0.9999999808485929	295.0	295.0
2.1199999999999997	0.9999999808485929	295.0	295.0
2.13	0.9999999808485929	295.0	295.0
2.1399999999999997	0.9999999808485929	295.0	295.0
2.15	0.9999999808485929	295.0	295.0
2.16	0.9999999808485929	295.0	295.0
2.17	0.9999999808485929	295.0	295.0
2.18	0.9999999808485929	295.0	295.0
2.19	0.9999999808485929	295.0	295.0
2.1999999999999997	0.9999999808485929	295.0	295.0
2.21	0.9999999808485929	295.0	295.0
2.2199999999999998	0.9999999808485929	295.0	295.0
2.23	0.9999999808485929	295.0	295.0
2.24	0.9999999808485929	295.0	295.0
2.25	0.9999999808485929	295.0	295.0
2.2600000000000002	0.9999999808485929	295.0	295.0
2.27	0.9999999808485929	295.0	295.0
2.28	0.9999999808485929	295.0	295.0
2.29	0.9999999808485929	295.0	295.0
2.3	0.9999999808485929	295.0	295.0
2.31	0.9999999808485929	295.0	295.0
2.32	0.9999999808485929	295.0	295.0
2.33	0.9999999808485929	295.0	295.0
2.3400000000000003	0.9999999808485929	295.0	295.0
2.35	0.9999999808485929	295.0	295.0
2.36	0.9999999808485929	295.0	295.0
2.3699999999999997	0.9999999808485929	295.0	295.0
2.38	0.9999999808485929	295.0	295.0
2.39	0.9999999808485929	295.0	295.0
2.4	0.9999999808485929	295.0	295.0
2.41	0.9999999808485929	295.0	295.0
2.42	0.9999999808485929	295.0	295.0
2.43	0.9999999808485929	295.0	295.0
2.44	0.9999999808485929	295.0	295.0
2.4499999999999997	0.9999999808485929	295.0	295.0
2.46	0.9999999808485929	295.0	295.0
2.4699999999999998	0.9999999808485929	295.0	295.0
2.48	0.9999999808485929	295.0	295.0
2.49	0.9999999808485929	295.0	295.0
2.5	0.9999999808485929	295.0	295.0
2.51	0.9999999808485929	295.0	295.0
2.5199999999999996	0.9999999808485929	295.0	295.0
2.53	0.9999999808485929	295.0	295.0
2.54	0.9999999808485929	295.0	295.0
2.55	0.9999999808485929	295.0	295.0
2.56	0.9999999808485929	295.0	295.0
2.57	0.9999999808485929	295.0	295.0
2.58	0.9999999808485929	295.0	295.0
2.59	0.9999999808485929	295.0	295.0
2.5999999999999996	0.9999999808485929	295.0	295.0
2.61	0.9999999808485929	295.0	295.0
2.62	0.9999999808485929	295.0	295.0
2.63	0.9999999808485929	295.0	295.0
2.64	0.9999999808485929	295.0	295.0
2.65	0.9999999808485929	295.0	295.0
2.66	0.9999999808485929	295.0	295.0
2.67	0.9999999808485929	295.0	295.0
2.6799999999999997	0.9999999808485929	295.0	295.0
2.69	0.9999999808485929	295.0	295.0
2.6999999999999997	0.9999999808485929	295.0	295.0
2.71	0.9999999808485929	295.0	295.0
