# time of execution: 2020-10-20 13:24:55
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9652165431322687	295.0	295.0
0.02	0.9311540346285705	295.0	295.0
0.03	0.8978981716863128	295.0	295.0
0.04	0.8655149677783888	295.0	295.0
0.05	0.834053122889291	295.0	295.0
0.06	0.8035463396388042	295.0	295.0
0.07	0.7740155083021972	295.0	295.0
0.08	0.7454707153120586	295.0	295.0
0.09	0.7179130527931846	295.0	295.0
0.1	0.6913362227864047	295.0	295.0
0.11	0.6657279406231278	295.0	295.0
0.12	0.6410711487436749	295.0	295.0
0.13	0.6173450561852861	295.0	295.0
0.14	0.5945260208468874	295.0	295.0
0.15	0.572588292115374	295.0	295.0
0.16	0.5515046309959053	295.0	295.0
0.17	0.5312468238789139	295.0	295.0
0.18	0.5117861047495708	295.0	295.0
0.19	0.49309349917457035	295.0	295.0
0.2	0.47514010190222256	295.0	295.0
0.21	0.45789729845928534	295.0	295.0
0.22	0.44133693976661875	295.0	295.0
0.22999999999999998	0.4254314775497636	295.0	295.0
0.24	0.4101540672002933	295.0	295.0
0.25	0.3954786437504187	295.0	295.0
0.26	0.38137997575222443	295.0	295.0
0.27	0.36783370109611807	295.0	295.0
0.28	0.3548163481507347	295.0	295.0
0.29	0.342305345048183	295.0	295.0
0.3	0.3302790194635337	295.0	295.0
0.31	0.3187165908356853	295.0	295.0
0.32	0.30759815663865486	295.0	295.0
0.33	0.29690467402917675	295.0	295.0
0.34	0.2866179379603699	295.0	295.0
0.35	0.2767205566550338	295.0	295.0
0.36	0.2671959251697041	295.0	295.0
0.37	0.25802819764642904	295.0	295.0
0.38	0.2492022587386374	295.0	295.0
0.39	0.2407036946064355	295.0	295.0
0.4	0.232518763801713	295.0	295.0
0.41	0.22463436830174255	295.0	295.0
0.42	0.217038024899052	295.0	295.0
0.43	0.2097178371132836	295.0	295.0
0.44	0.2026624677558956	295.0	295.0
0.45	0.19586111224955735	295.0	295.0
0.45999999999999996	0.18930347277991863	295.0	295.0
0.47000000000000003	0.18297973333717552	295.0	295.0
0.48	0.17688053568788917	295.0	295.0
0.49000000000000005	0.17099695630322898	295.0	295.0
0.5	0.16532048425782014	295.0	295.0
0.5099999999999999	0.15984300010330368	295.0	295.0
0.52	0.15455675571228503	295.0	295.0
0.5299999999999999	0.14945435508132524	295.0	295.0
0.54	0.1445287360758462	295.0	295.0
0.5499999999999999	0.1397731530950809	295.0	295.0
0.56	0.1351811606314144	295.0	295.0
0.57	0.13074659769547067	295.0	295.0
0.58	0.12646357307603498	295.0	295.0
0.59	0.1223264514022545	295.0	295.0
0.6	0.11832983997444728	295.0	295.0
0.61	0.11446857632921459	295.0	295.0
0.62	0.1107377165043063	295.0	295.0
0.6299999999999999	0.10713252396879525	295.0	295.0
0.64	0.10364845918449501	295.0	295.0
0.6499999999999999	0.10028116976518615	295.0	295.0
0.66	0.09702648120103197	295.0	295.0
0.6699999999999999	0.09388038811653047	295.0	295.0
0.68	0.09083904603145276	295.0	295.0
0.69	0.08789876359538444	295.0	295.0
0.7	0.08505599526774328	295.0	295.0
0.71	0.0823073344164235	295.0	295.0
0.72	0.07964950680952347	295.0	295.0
0.73	0.07707936447592816	295.0	295.0
0.74	0.07459387991180311	295.0	295.0
0.7499999999999999	0.07219014061135483	295.0	295.0
0.76	0.06986534390144938	295.0	295.0
0.7699999999999999	0.06761679206089077	295.0	295.0
0.78	0.06544188770633974	295.0	295.0
0.7899999999999999	0.06333812942797001	295.0	295.0
0.8	0.06130310765902928	295.0	295.0
0.8099999999999999	0.05933450076450512	295.0	295.0
0.82	0.057430071335046594	295.0	295.0
0.83	0.05558766267323264	295.0	295.0
0.84	0.05380519546012367	295.0	295.0
0.85	0.05208066459085714	295.0	295.0
0.86	0.05041213616881013	295.0	295.0
0.87	0.0487977446485656	295.0	295.0
0.88	0.04723569011860048	295.0	295.0
