# time of execution: 2020-10-20 16:14:00
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# asf=0.04
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9999804030501572	295.0	295.0
0.02	0.999960991758708	295.0	295.0
0.03	0.9999417643594997	295.0	295.0
0.04	0.9999227191033142	295.0	295.0
0.05	0.9999038542577104	295.0	295.0
0.06	0.9998851681068528	295.0	295.0
0.07	0.9998666589513565	295.0	295.0
0.08	0.999848325108122	295.0	295.0
0.09	0.9998301649101803	295.0	295.0
0.1	0.9998121767065343	295.0	295.0
0.11	0.9997943588620044	295.0	295.0
0.12	0.9997767097570747	295.0	295.0
0.13	0.999759227787738	295.0	295.0
0.14	0.9997419113653493	295.0	295.0
0.15	0.999724758916473	295.0	295.0
0.16	0.9997077688827384	295.0	295.0
0.17	0.9996909397206911	295.0	295.0
0.18	0.9996742699016486	295.0	295.0
0.19	0.9996577579115581	295.0	295.0
0.2	0.999641402250853	295.0	295.0
0.21	0.999625201434314	295.0	295.0
0.22	0.9996091539909284	295.0	295.0
0.22999999999999998	0.9995932584637531	295.0	295.0
0.24	0.9995775134097776	295.0	295.0
0.25	0.9995619173997924	295.0	295.0
0.26	0.9995464690182501	295.0	295.0
0.27	0.9995311668631357	295.0	295.0
0.28	0.9995160095458361	295.0	295.0
0.29	0.9995009956910097	295.0	295.0
0.3	0.9994861239364581	295.0	295.0
0.31	0.9994713929329989	295.0	295.0
0.32	0.9994568013443392	295.0	295.0
0.33	0.9994423478469526	295.0	295.0
0.34	0.9994280311299517	295.0	295.0
0.35	0.9994138498949735	295.0	295.0
0.36	0.9993998028560491	295.0	295.0
0.37	0.9993858887394914	295.0	295.0
0.38	0.9993721062837735	295.0	295.0
0.39	0.9993584542394113	295.0	295.0
0.4	0.9993449313688456	295.0	295.0
0.41	0.9993315364463299	295.0	295.0
0.42	0.9993182682578152	295.0	295.0
0.43	0.9993051256008386	295.0	295.0
0.44	0.9992921072844071	295.0	295.0
0.45	0.9992792121288917	295.0	295.0
0.45999999999999996	0.9992664389659163	295.0	295.0
0.47000000000000003	0.9992537866382466	295.0	295.0
0.48	0.9992412539996879	295.0	295.0
0.49000000000000005	0.999228839914975	295.0	295.0
0.5	0.9992165432596668	295.0	295.0
0.5099999999999999	0.9992043629200439	295.0	295.0
0.52	0.9991922977930033	295.0	295.0
0.5299999999999999	0.9991803467859582	295.0	295.0
0.54	0.9991685088167348	295.0	295.0
0.5499999999999999	0.9991567828134742	295.0	295.0
0.56	0.9991451677145307	295.0	295.0
0.57	0.9991336624683755	295.0	295.0
0.58	0.9991222660334985	295.0	295.0
0.59	0.9991109773783128	295.0	295.0
0.6	0.9990997954810572	295.0	295.0
0.61	0.9990887193297034	295.0	295.0
0.62	0.9990777479218612	295.0	295.0
0.6299999999999999	0.9990668802646889	295.0	295.0
0.64	0.9990561153747992	295.0	295.0
0.6499999999999999	0.9990454522781668	295.0	295.0
0.66	0.9990348900100393	295.0	295.0
0.6699999999999999	0.9990244276148522	295.0	295.0
0.68	0.9990140641461344	295.0	295.0
0.69	0.9990037986664256	295.0	295.0
0.7	0.9989936302471873	295.0	295.0
0.71	0.9989835579687185	295.0	295.0
0.72	0.998973580920069	295.0	295.0
0.73	0.9989636981989587	295.0	295.0
0.74	0.998953908911692	295.0	295.0
0.7499999999999999	0.9989442121730736	295.0	295.0
0.76	0.9989346071063333	295.0	295.0
0.7699999999999999	0.9989250928430375	295.0	295.0
0.78	0.9989156685230142	295.0	295.0
0.7899999999999999	0.9989063332942727	295.0	295.0
