# time of execution: 2021-01-20 12:23:30
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.06
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999999778957731	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999999559633777	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999999342014805	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9999999126087545	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9999998911838845	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999998699255653	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9999998488325039	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9999998279034138	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9999998071370193	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9999997865320595	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9999997660872761	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.999999745801426	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9999997256732722	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9999997057015892	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9999996858851601	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9999996662227775	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9999996467132461	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9999996273553774	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9999996081479908	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9999995890899177	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.999999570179996	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9999995514170753	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9999995328000126	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9999995143276726	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9999994959989329	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.999999477812676	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9999994597677928	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9999994418631863	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9999994240977645	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9999994064704478	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9999993889801599	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9999993716258356	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9999993544064204	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9999993373208633	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9999993203681262	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9999993035471754	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9999992868569855	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9999992702965389	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9999992538648298	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9999992375608575	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9999992213836266	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9999992053321534	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9999991894054587	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9999991736025738	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9999991579225355	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9999991423643908	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9999991269271912	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9999991116099961	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9999990964118719	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9999990813318939	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9999990663691434	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9999990515227077	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.999999036791686	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9999990221751787	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9999990076722963	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9999989932821546	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9999989790038784	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9999989648365967	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9999989507794476	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9999989368315739	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9999989229921287	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9999989092602668	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9999988956351529	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9999988821159567	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9999988687018561	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9999988553920314	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9999988421856743	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.999998829081978	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9999988160801473	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9999988031793896	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9999987903789174	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9999987776779541	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9999987650757233	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9999987525714593	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9999987401643997	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.999998727853789	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9999987156388774	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9999987035189206	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9999986914931812	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9999986795609264	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9999986677214302	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9999986559739709	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9999986443178314	295.0	295.0	0.0	0.0	0.0	0.0
