# time of execution: 2021-01-21 12:29:06
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.057
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.002046757399415	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0020195875636821	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0019927793683867	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0019663279675664	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0019402285809351	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.001914476492977	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.001889067052047	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0018639956694932	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0018392578187876	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0018148490346657	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0017907649122846	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0017670011063926	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.001743553330502	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0017204173560859	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.001697589011778	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0016750641825845	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.001652838809116	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0016309088868114	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0016092704651955	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0015879196471311	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0015668525880876	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0015460654954194	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0015255546276527	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0015053162937861	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.001485346852598	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0014656427119648	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.001446200328188	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0014270162053285	295.0	295.0	0.0	0.0	0.0	0.0
