# time of execution: 2021-01-21 15:22:17
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.092
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:2.2e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999999661771993	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.99999993275672	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.999999899733777	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9999998671036413	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9999998348616407	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999998030031588	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9999997715236308	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.999999740418554	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9999997096834703	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9999996793139801	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.999999649305734	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9999996196544356	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9999995903558391	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9999995614057476	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9999995328000173	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9999995045345513	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9999994766053026	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9999994490082714	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9999994217395052	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.999999394795101	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9999993681712008	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9999993418639911	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9999993158697048	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9999992901846182	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9999992648050554	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9999992397273822	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9999992149480086	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9999991904633844	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9999991662700026	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9999991423644011	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9999991187431555	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9999990954028837	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9999990723402445	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9999990495519347	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9999990270346905	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9999990047852864	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9999989828005382	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9999989610772985	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.999998939612457	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9999989184029381	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.999998897445707	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9999988767377602	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9999988562761328	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9999988360578972	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9999988160801561	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9999987963400494	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.999998776834749	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9999987575614642	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9999987385174343	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9999987196999328	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9999987011062652	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9999986827337678	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9999986645798098	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9999986466417938	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.999998628917149	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9999986114033383	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9999985940978526	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9999985769982158	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9999985601019779	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9999985434067196	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9999985269100514	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9999985106096108	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9999984945030614	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9999984785881004	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9999984628624469	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9999984473238492	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9999984319700809	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9999984167989467	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9999984018082722	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9999983869959096	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9999983723597398	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.999998357897667	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9999983436076203	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9999983294875522	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9999983155354412	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9999983017492907	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.999998288127126	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9999982746669961	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9999982613669729	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9999982482251532	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9999982352396548	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9999982224086178	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9999982097302035	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9999981972026005	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9999981848240117	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9999981725926664	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9999981605068103	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9999981485647167	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9999981367646734	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9999981251049888	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9999981135839975	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9999981022000478	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9999980909515094	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9999980798367708	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9999980688542428	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9999980580023506	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9999980472795413	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.999998036684278	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.999998026215045	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9999980158703431	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9999980056486899	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9999979955486236	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9999979855686962	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9999979757074796	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.999997965963563	295.0	295.0	0.0	0.0	0.0	0.0
