# time of execution: 2021-03-03 13:37:36
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=3.54e-10	dy=3.54e-10	dz=3.54e-10	[m]
# atoms per unit cell:4
# asf=0.045
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.0020554027335122	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0020366842022004	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0020181366078278	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0019997583787745	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0019815479580363	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0019635038030874	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0019456243857434	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0019279081920238	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0019103537220193	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0018929594897572	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0018757240230687	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0018586458634613	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0018417235659853	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.00182495569911	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.001808340844593	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0017918775973562	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.001775564565361	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0017594003694836	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0017433836433989	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0017275130334522	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0017117871985433	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.001696204810008	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0016807645514991	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0016654651188717	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0016503052200696	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.001635283575007	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0016203989154577	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0016056499849462	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.001591035538634	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0015765543432094	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.00156220517678	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0015479868287667	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0015338980997948	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0015199378015909	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0015061047568763	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0014923977992645	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0014788157731598	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0014653575336547	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0014520219464305	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.001438807887655	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0014257142438883	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.001412739911982	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0013998837989853	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0013871448220462	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0013745219083183	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0013620139948678	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.00134962002858	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0013373389660662	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0013251697735739	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.001313111426895	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0013011629112787	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.001289323221341	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0012775913609777	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0012659663432775	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.001254447190435	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0012430329336686	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0012317226131315	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0012205152778317	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.0012094099855473	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0011984058027459	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0011875018045038	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0011766970744231	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.0011659907045545	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0011553817953152	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0011448694554175	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0011344528017811	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0011241309594643	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0011139030615888	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.0011037682492572	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.0010937256714865	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.0010837744851286	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0010739138548004	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0010641429528102	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.001054460959087	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.0010448670611063	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.001035360453825	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.0010259403396065	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.0010166059281573	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	1.001007356436453	295.0	295.0	0.0	0.0	0.0	0.0
0.8	1.0009981910886716	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	1.0009891091161318	295.0	295.0	0.0	0.0	0.0	0.0
0.82	1.0009801097572202	295.0	295.0	0.0	0.0	0.0	0.0
0.83	1.0009711922573292	295.0	295.0	0.0	0.0	0.0	0.0
0.84	1.0009623558687895	295.0	295.0	0.0	0.0	0.0	0.0
0.85	1.0009535998508077	295.0	295.0	0.0	0.0	0.0	0.0
0.86	1.0009449234694012	295.0	295.0	0.0	0.0	0.0	0.0
0.87	1.000936325997335	295.0	295.0	0.0	0.0	0.0	0.0
0.88	1.0009278067140583	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	1.0009193649056438	295.0	295.0	0.0	0.0	0.0	0.0
0.9	1.0009109998647268	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	1.0009027108904394	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	1.000894497288356	295.0	295.0	0.0	0.0	0.0	0.0
0.93	1.000886358370433	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	1.0008782934549438	295.0	295.0	0.0	0.0	0.0	0.0
0.95	1.0008703018664262	295.0	295.0	0.0	0.0	0.0	0.0
0.96	1.0008623829356211	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	1.000854535999416	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	1.000846760400789	295.0	295.0	0.0	0.0	0.0	0.0
0.99	1.0008390554887503	295.0	295.0	0.0	0.0	0.0	0.0
1.0	1.0008314206182864	295.0	295.0	0.0	0.0	0.0	0.0
1.01	1.0008238551503061	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	1.0008163584515843	295.0	295.0	0.0	0.0	0.0	0.0
1.03	1.0008089298947103	295.0	295.0	0.0	0.0	0.0	0.0
1.04	1.0008015688580278	295.0	295.0	0.0	0.0	0.0	0.0
1.05	1.0007942747255885	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	1.0007870468870947	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	1.000779884737849	295.0	295.0	0.0	0.0	0.0	0.0
1.08	1.000772787678702	295.0	295.0	0.0	0.0	0.0	0.0
1.09	1.000765755116001	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	1.000758786461537	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	1.0007518811324978	295.0	295.0	0.0	0.0	0.0	0.0
1.12	1.0007450385514165	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	1.0007382581461217	295.0	295.0	0.0	0.0	0.0	0.0
1.14	1.0007315393496874	295.0	295.0	0.0	0.0	0.0	0.0
1.15	1.0007248816003864	295.0	295.0	0.0	0.0	0.0	0.0
1.16	1.000718284341643	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	1.0007117470219804	295.0	295.0	0.0	0.0	0.0	0.0
1.18	1.0007052690949807	295.0	295.0	0.0	0.0	0.0	0.0
1.19	1.000698850019232	295.0	295.0	0.0	0.0	0.0	0.0
1.2	1.0006924892582858	295.0	295.0	0.0	0.0	0.0	0.0
1.21	1.0006861862806082	295.0	295.0	0.0	0.0	0.0	0.0
1.22	1.0006799405595372	295.0	295.0	0.0	0.0	0.0	0.0
1.23	1.0006737515732373	295.0	295.0	0.0	0.0	0.0	0.0
1.24	1.000667618804652	295.0	295.0	0.0	0.0	0.0	0.0
1.25	1.0006615417414633	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	1.0006555198760443	295.0	295.0	0.0	0.0	0.0	0.0
1.27	1.0006495527054213	295.0	295.0	0.0	0.0	0.0	0.0
1.28	1.0006436397312246	295.0	295.0	0.0	0.0	0.0	0.0
1.29	1.0006377804596498	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	1.0006319744014125	295.0	295.0	0.0	0.0	0.0	0.0
1.31	1.000626221071713	295.0	295.0	0.0	0.0	0.0	0.0
1.32	1.0006205199901863	295.0	295.0	0.0	0.0	0.0	0.0
1.33	1.0006148706808697	295.0	295.0	0.0	0.0	0.0	0.0
