# time of execution: 2021-03-03 11:46:41
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=3.54e-10	dy=3.54e-10	dz=3.54e-10	[m]
# atoms per unit cell:4
# asf=0.04
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:1.15e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.0020574931907498	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0020408290478657	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0020243002435933	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0020079056712652	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.00199164423337	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0019755148414744	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.001959516416143	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.001943647886866	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0019279081919819	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0019122962786067	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0018968111025544	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0018814516282677	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0018662168287435	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0018511056854622	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0018361171883146	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0018212503355324	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0018065041336186	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0017918775972772	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0017773697493424	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0017629796207155	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0017487062502892	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0017345486848874	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0017205059791972	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0017065771957003	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0016927614046098	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0016790576838033	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0016654651187609	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0016519828025008	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0016386098355152	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.001625345325709	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0016121883883344	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0015991381459355	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0015861937282826	295.0	295.0	0.0	0.0	0.0	0.0
