# time of execution: 2021-02-28 11:39:56
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=3.54e-10	dy=3.54e-10	dz=3.54e-10	[m]
# atoms per unit cell:4
# asf=0.09
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:1.2e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.0020366842023574	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.001999758379082	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0019635038035406	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0019279081926167	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0018929594904842	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0018586458643182	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.001824955700093	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0017918775984564	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0017594003706987	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.001727513034778	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.00169620481144	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0016654651204067	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.001635283576639	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0016056499866728	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0015765543450248	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0015479868306678	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0015199378035742	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0014923978013262	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.001465357535792	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0014388078898628	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0014127399142587	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0013871448243878	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0013620139972719	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0013373389685285	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.001313111429413	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0012893232239124	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.001265966345898	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0012430329363362	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0012205152805425	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0011984058055	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.001176697077218	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0011553817981484	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.001134452804648	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0011139030644882	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0010937256744163	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0010739138577587	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.001054460962072	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0010353604568352	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.00101660593119	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0009981910917256	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0009801097602935	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0009623558718808	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0009449234725087	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0009278067171792	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0009109998678598	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0008944972915015	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0008782934580986	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0008623829387848	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0008467604039604	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.000831420621464	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0008163584547667	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0008015688612129	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0007870468902809	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0007727876818886	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0007587864647218	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0007450385546004	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0007315393528682	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0007182843448208	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.000705269098155	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0006924892614548	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0006799405627012	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0006676188078096	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.0006555198791938	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0006436397343639	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0006319744045422	295.0	295.0	0.0	0.0	0.0	0.0
