# time of execution: 2020-10-29 12:10:35
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999678307251103	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999361627510719	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999049882131761	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9998742993715105	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9998440886089445	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.999814348429142	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9997850714546077	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9997562504247681	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.999727878194084	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9996999477301954	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9996724521120933	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9996453845283259	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9996187382752352	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9995925067552179	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9995666834750206	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9995412620440592	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9995162361727719	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9994915996709887	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9994673464463404	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9994434705026859	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9994199659385686	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9993968269456953	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9993740478074451	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9993516228973981	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.999329546677892	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.999307813698597	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9992864185951211	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9992653560876349	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9992446209795168	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.999224208156024	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9992041125829835	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9991843293055078	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.999164853446725	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9991456802065329	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9991268048603787	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9991082227580487	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.999089929322485	295.0	295.0	0.0	0.0	0.0	0.0
