# time of execution: 2020-10-29 12:23:41
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999919102494405	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999838522034111	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999758257367983	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9999678307249872	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.99995986704386	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999519345697946	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9999440331796637	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9999361627508296	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9999283231611457	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9999205142889517	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9999127360130725	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9999049882128179	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9998972707679791	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9998895835588254	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9998819264661053	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9998742993710413	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.999866702155332	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9998591347011458	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9998515968911224	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9998440886083686	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9998366097364569	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9998291601594252	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9998217397617739	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9998143484284623	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9998069860449093	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9997996524969899	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9997923476710354	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9997850714538282	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9997778237326027	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9997706043950423	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9997634133292792	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9997562504238903	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9997491155678961	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9997420086507597	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9997349295623844	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9997278781931115	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9997208544337196	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.999713858175423	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9997068893098672	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9996999477291307	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9996930333257213	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9996861459925745	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9996792856230521	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9996724521109401	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9996656453504487	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9996588652362068	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9996521116632641	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9996453845270882	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9996386837235618	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9996320091489828	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9996253607000603	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9996187382739153	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9996121417680779	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9996055710804862	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9995990261094834	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9995925067538175	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9995860129126398	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.999579544485502	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9995731013723539	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9995666834735443	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9995602906898192	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9995539229223178	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9995475800725732	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9995412620425091	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9995349687344394	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9995287000510665	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9995224558954791	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9995162361711503	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9995100407819376	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9995038696320817	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9994977226262017	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9994915996692972	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9994855006667435	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9994794255242943	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9994733741480739	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9994673464445826	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9994613423206912	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9994553616836405	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9994494044410398	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9994434705008639	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9994375597714547	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.999431672161517	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9994258075801169	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9994199659366844	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9994141471410086	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9994083511032338	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9994025777338624	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9993968269437539	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9993910986441189	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9993853927465203	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.999379709162875	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9993740478054471	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9993684085868482	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9993627914200375	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9993571962183203	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9993516228953445	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9993460713651017	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9993405415419235	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9993350333404811	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9993295466757851	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9993240814631836	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9993186376183586	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9993132150573276	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9993078136964408	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.99930243345238	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9992970742421567	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9992917359831126	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9992864185929162	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.9992811219895635	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9992758460913751	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9992705908169924	295.0	295.0	0.0	0.0	0.0	0.0
1.12	0.9992653560853841	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.9992601418158364	295.0	295.0	0.0	0.0	0.0	0.0
1.14	0.9992549479279562	295.0	295.0	0.0	0.0	0.0	0.0
1.15	0.9992497743416702	295.0	295.0	0.0	0.0	0.0	0.0
1.16	0.9992446209772209	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	0.9992394877551664	295.0	295.0	0.0	0.0	0.0	0.0
1.18	0.9992343745963826	295.0	295.0	0.0	0.0	0.0	0.0
1.19	0.9992292814220557	295.0	295.0	0.0	0.0	0.0	0.0
1.2	0.9992242081536847	295.0	295.0	0.0	0.0	0.0	0.0
1.21	0.9992191547130794	295.0	295.0	0.0	0.0	0.0	0.0
1.22	0.999214121022361	295.0	295.0	0.0	0.0	0.0	0.0
1.23	0.9992091070039565	295.0	295.0	0.0	0.0	0.0	0.0
1.24	0.9992041125806029	295.0	295.0	0.0	0.0	0.0	0.0
1.25	0.9991991376753412	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	0.9991941822115183	295.0	295.0	0.0	0.0	0.0	0.0
1.27	0.9991892461127841	295.0	295.0	0.0	0.0	0.0	0.0
1.28	0.9991843293030894	295.0	295.0	0.0	0.0	0.0	0.0
1.29	0.9991794317066882	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	0.9991745532481334	295.0	295.0	0.0	0.0	0.0	0.0
1.31	0.9991696938522775	295.0	295.0	0.0	0.0	0.0	0.0
1.32	0.9991648534442698	295.0	295.0	0.0	0.0	0.0	0.0
1.33	0.9991600319495548	295.0	295.0	0.0	0.0	0.0	0.0
1.3399999999999999	0.9991552292938746	295.0	295.0	0.0	0.0	0.0	0.0
1.3499999999999999	0.9991504454032616	295.0	295.0	0.0	0.0	0.0	0.0
1.36	0.9991456802040443	295.0	295.0	0.0	0.0	0.0	0.0
1.37	0.9991409336228424	295.0	295.0	0.0	0.0	0.0	0.0
1.38	0.9991362055865639	295.0	295.0	0.0	0.0	0.0	0.0
1.39	0.9991314960224073	295.0	295.0	0.0	0.0	0.0	0.0
1.4	0.9991268048578597	295.0	295.0	0.0	0.0	0.0	0.0
1.4100000000000001	0.9991221320206929	295.0	295.0	0.0	0.0	0.0	0.0
1.42	0.999117477438968	295.0	295.0	0.0	0.0	0.0	0.0
1.43	0.9991128410410274	295.0	295.0	0.0	0.0	0.0	0.0
1.44	0.9991082227554978	295.0	295.0	0.0	0.0	0.0	0.0
1.45	0.9991036225112901	295.0	295.0	0.0	0.0	0.0	0.0
1.46	0.9990990402375957	295.0	295.0	0.0	0.0	0.0	0.0
1.47	0.999094475863884	295.0	295.0	0.0	0.0	0.0	0.0
1.48	0.9990899293199063	295.0	295.0	0.0	0.0	0.0	0.0
1.49	0.9990854005356888	295.0	295.0	0.0	0.0	0.0	0.0
1.4999999999999998	0.9990808894415354	295.0	295.0	0.0	0.0	0.0	0.0
1.51	0.9990763959680263	295.0	295.0	0.0	0.0	0.0	0.0
1.52	0.9990719200460169	295.0	295.0	0.0	0.0	0.0	0.0
1.53	0.9990674616066354	295.0	295.0	0.0	0.0	0.0	0.0
1.5399999999999998	0.9990630205812802	295.0	295.0	0.0	0.0	0.0	0.0
1.55	0.9990585969016248	295.0	295.0	0.0	0.0	0.0	0.0
1.56	0.999054190499609	295.0	295.0	0.0	0.0	0.0	0.0
1.57	0.9990498013074434	295.0	295.0	0.0	0.0	0.0	0.0
1.5799999999999998	0.9990454292576066	295.0	295.0	0.0	0.0	0.0	0.0
1.5899999999999999	0.9990410742828454	295.0	295.0	0.0	0.0	0.0	0.0
1.6	0.9990367363161692	295.0	295.0	0.0	0.0	0.0	0.0
1.61	0.9990324152908547	295.0	295.0	0.0	0.0	0.0	0.0
1.6199999999999999	0.9990281111404441	295.0	295.0	0.0	0.0	0.0	0.0
1.63	0.9990238237987371	295.0	295.0	0.0	0.0	0.0	0.0
1.64	0.999019553199797	295.0	295.0	0.0	0.0	0.0	0.0
1.6500000000000001	0.9990152992779501	295.0	295.0	0.0	0.0	0.0	0.0
1.66	0.9990110619677802	295.0	295.0	0.0	0.0	0.0	0.0
1.67	0.9990068412041301	295.0	295.0	0.0	0.0	0.0	0.0
1.68	0.9990026369220998	295.0	295.0	0.0	0.0	0.0	0.0
1.69	0.9989984490570444	295.0	295.0	0.0	0.0	0.0	0.0
1.7	0.9989942775445773	295.0	295.0	0.0	0.0	0.0	0.0
1.71	0.998990122320565	295.0	295.0	0.0	0.0	0.0	0.0
1.72	0.9989859833211261	295.0	295.0	0.0	0.0	0.0	0.0
1.73	0.9989818604826323	295.0	295.0	0.0	0.0	0.0	0.0
1.74	0.9989777537417069	295.0	295.0	0.0	0.0	0.0	0.0
