# time of execution: 2020-10-29 13:08:15
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999838522034247	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999678307250132	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999519345698327	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9999361627508794	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.999920514289012	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999049882128898	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9998895835589073	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9998742993711347	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9998591347012498	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9998440886084814	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9998291601595488	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9998143484285952	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9997996524971333	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9997850714539807	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9997706043952049	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9997562504240625	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9997420086509413	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9997278781933033	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.999713858175624	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9996999477293407	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9996861459927929	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9996724521111666	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9996588652364419	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9996453845273316	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9996320091492341	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9996187382741751	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.999605571080754	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.999592506754093	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.999579544485784	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9995666834738339	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9995539229226156	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9995412620428147	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9995287000513793	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9995162361714695	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9995038696324086	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9994915996696306	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9994794255246343	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9994673464449301	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9994553616839953	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9994434705012244	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9994316721618827	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9994199659370576	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9994083511036117	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9993968269441367	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.999385392746909	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9993740478058415	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9993627914204385	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9993516228957524	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9993405415423365	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9993295466762045	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.999318637618783	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9993078136968696	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9992970742425904	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9992864185933555	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9992758460918182	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9992653560858317	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9992549479284091	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9992446209776783	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9992343745968453	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9992242081541515	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9992141210228335	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9992041125810809	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9991941822120008	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9991843293035755	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9991745532486244	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9991648534447641	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9991552292943718	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9991456802045455	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.999136205587067	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9991268048583645	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9991174774394753	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9991082227560089	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.99909904023811	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9990899293204231	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9990808894420542	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9990719200465391	295.0	295.0	0.0	0.0	0.0	0.0
