# time of execution: 2020-10-29 11:50:00
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.999990994905153	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999820290136879	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999731021542214	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9999642141561257	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.999955364849524	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999465540652884	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.999937781635037	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9999290473911294	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9999203511666629	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9999116927954727	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9999030721121238	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9998944889519105	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9998859431508526	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9998774345456921	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9998689629738913	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9998605282736263	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9998521302837866	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9998437688439732	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9998354437944903	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9998271549763469	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9998189022312515	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9998106854016089	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9998025043305196	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9997943588617724	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9997862488398437	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9997781741098964	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9997701345177737	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9997621299099974	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9997541601337637	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9997462250369423	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9997383244680716	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9997304582763574	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9997226263116671	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9997148284245293	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9997070644661303	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.999699334288311	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9996916377435636	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9996839746850303	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9996763449664959	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9996687484423914	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9996611849677864	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9996536543983878	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9996461565905376	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9996386914012085	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9996312586880024	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9996238583091465	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9996164901234926	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9996091539905109	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9996018497702903	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9995945773235345	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9995873365115594	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9995801271962901	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9995729492402587	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9995658025066007	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9995586868590528	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.999551602161952	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.999544548280229	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9995375250794094	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9995305324256086	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9995235701855301	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9995166382264619	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9995097364162777	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9995028646234284	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9994960227169453	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.999489210566432	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9994824280420658	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9994756750145936	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9994689513553308	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9994622569361576	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9994555916295149	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9994489553084052	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9994423478463886	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9994357691175787	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9994292189966422	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.999422697358796	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9994162040798049	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9994097390359783	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.999403302104168	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9993968931617675	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9993905120867076	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9993841587574532	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9993778330530041	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9993715348528908	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9993652640371722	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9993590204864321	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9993528040817792	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9993466147048428	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9993404522377717	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9993343165632318	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9993282075644031	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9993221251249795	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9993160691291617	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9993100394616604	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9993040360076925	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9992980586529749	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9992921072837282	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.999286181786671	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9992802820490185	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9992744079584814	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9992685594032608	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9992627362720469	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9992569384540212	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.999251165838848	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9992454183166756	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.9992396957781353	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.999233998114335	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9992283252168621	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9992226769777776	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.999217053289617	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9992114540453837	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9992058791385529	295.0	295.0	0.0	0.0	0.0	0.0
1.12	0.9992003284630643	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.9991948019133227	295.0	295.0	0.0	0.0	0.0	0.0
1.14	0.9991892993841973	295.0	295.0	0.0	0.0	0.0	0.0
1.15	0.9991838207710139	295.0	295.0	0.0	0.0	0.0	0.0
1.16	0.9991783659695609	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	0.9991729348760806	295.0	295.0	0.0	0.0	0.0	0.0
1.18	0.9991675273872701	295.0	295.0	0.0	0.0	0.0	0.0
1.19	0.9991621434002795	295.0	295.0	0.0	0.0	0.0	0.0
1.2	0.9991567828127091	295.0	295.0	0.0	0.0	0.0	0.0
1.21	0.9991514455226068	295.0	295.0	0.0	0.0	0.0	0.0
1.22	0.9991461314284682	295.0	295.0	0.0	0.0	0.0	0.0
1.23	0.9991408404292328	295.0	295.0	0.0	0.0	0.0	0.0
1.24	0.9991355724242814	295.0	295.0	0.0	0.0	0.0	0.0
1.25	0.9991303273134376	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	0.999125104996962	295.0	295.0	0.0	0.0	0.0	0.0
1.27	0.9991199053755512	295.0	295.0	0.0	0.0	0.0	0.0
1.28	0.9991147283503381	295.0	295.0	0.0	0.0	0.0	0.0
1.29	0.9991095738228879	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	0.9991044416951964	295.0	295.0	0.0	0.0	0.0	0.0
1.31	0.999099331869689	295.0	295.0	0.0	0.0	0.0	0.0
1.32	0.9990942442492172	295.0	295.0	0.0	0.0	0.0	0.0
1.33	0.9990891787370575	295.0	295.0	0.0	0.0	0.0	0.0
1.3399999999999999	0.999084135236912	295.0	295.0	0.0	0.0	0.0	0.0
1.3499999999999999	0.9990791136529013	295.0	295.0	0.0	0.0	0.0	0.0
1.36	0.9990741138895667	295.0	295.0	0.0	0.0	0.0	0.0
1.37	0.9990691358518686	295.0	295.0	0.0	0.0	0.0	0.0
1.38	0.9990641794451802	295.0	295.0	0.0	0.0	0.0	0.0
1.39	0.9990592445752918	295.0	295.0	0.0	0.0	0.0	0.0
1.4	0.9990543311484037	295.0	295.0	0.0	0.0	0.0	0.0
1.4100000000000001	0.9990494390711292	295.0	295.0	0.0	0.0	0.0	0.0
1.42	0.9990445682504864	295.0	295.0	0.0	0.0	0.0	0.0
1.43	0.999039718593905	295.0	295.0	0.0	0.0	0.0	0.0
1.44	0.9990348900092149	295.0	295.0	0.0	0.0	0.0	0.0
1.45	0.9990300824046522	295.0	295.0	0.0	0.0	0.0	0.0
1.46	0.9990252956888533	295.0	295.0	0.0	0.0	0.0	0.0
1.47	0.9990205297708545	295.0	295.0	0.0	0.0	0.0	0.0
1.48	0.9990157845600888	295.0	295.0	0.0	0.0	0.0	0.0
1.49	0.9990110599663883	295.0	295.0	0.0	0.0	0.0	0.0
1.4999999999999998	0.9990063558999764	295.0	295.0	0.0	0.0	0.0	0.0
1.51	0.9990016722714717	295.0	295.0	0.0	0.0	0.0	0.0
1.52	0.9989970089918804	295.0	295.0	0.0	0.0	0.0	0.0
1.53	0.9989923659726012	295.0	295.0	0.0	0.0	0.0	0.0
1.5399999999999998	0.9989877431254185	295.0	295.0	0.0	0.0	0.0	0.0
1.55	0.9989831403625038	295.0	295.0	0.0	0.0	0.0	0.0
1.56	0.9989785575964105	295.0	295.0	0.0	0.0	0.0	0.0
1.57	0.9989739947400766	295.0	295.0	0.0	0.0	0.0	0.0
1.5799999999999998	0.998969451706818	295.0	295.0	0.0	0.0	0.0	0.0
1.5899999999999999	0.9989649284103338	295.0	295.0	0.0	0.0	0.0	0.0
1.6	0.9989604247646957	295.0	295.0	0.0	0.0	0.0	0.0
1.61	0.9989559406843543	295.0	295.0	0.0	0.0	0.0	0.0
1.6199999999999999	0.9989514760841336	295.0	295.0	0.0	0.0	0.0	0.0
1.63	0.998947030879229	295.0	295.0	0.0	0.0	0.0	0.0
1.64	0.9989426049852085	295.0	295.0	0.0	0.0	0.0	0.0
1.6500000000000001	0.9989381983180052	295.0	295.0	0.0	0.0	0.0	0.0
