delay_ps	realTemp	sigma_temp	sigma_temp_minus	latticeTemp	electronTemp
-5	87.044	0.00069	119.822	110	110
-4	213.977	0.00210	132.204	110	110
-3	132.838	0.00031	123.202	110	110
-2	114.722	0.00038	121.699	110	110
-1	127.526	0.00029	122.676	110	110
-0.5	216.393	73.8982	132.503	110	110
-0.25	153.898	94.2623	125.185	110	111.227
-0.1	250.111	77.7975	137.275	110.795	397.067
-0.075	336.87	113.723	151.727	111.908	630.127
-0.05	623.149	163.926	213.032	114.04	863.188
-0.025	997.735	349.682	308.369	117.611	1096.25
0	1239.66	486.591	373.17	122.892	1329.31
0.025	1786.66	744.15	523.8	129.869	1472.98
0.05	1635.04	686.063	481.614	138.233	1598.36
0.075	1967.7	1157.86	574.208	147.491	1723.74
0.1	2020.19	2498.21	588.858	157.144	1849.12
0.15	1885.05	1417.14	551.095	176.26	1973
0.2	1941.32	1680.77	566.786	194.153	1859.98
0.3	1682.02	1895.57	494.518	225.719	1644.7
0.4	1530.09	1245.19	452.486	252.299	1450.26
0.5	1453.98	655.58	431.586	274.665	1289.75
0.75	950.107	462.505	295.595	316.188	985.851
1	903.664	374.446	283.495	342.935	784.666
1.5	579.179	189.895	202.712	370.698	562.832
2	367.585	120.596	157.334	381.046	464.579
2.5	418.55	110.183	167.432	383.918	420.22
3	320.109	59.3838	148.645	383.589	399.358
3.5	331.675	86.6015	151.005	381.898	388.745
4	378.367	100.983	159.39	379.636	382.608
4.5	358.073	94.2199	155.232	377.144	378.433
5	331.761	87.3017	150.689	374.568	375.129
6	329.67	84.726	150.317	369.379	369.486
7	339.871	99.2909	152.149	364.253	364.273
8	369.691	81.2188	157.573	359.22	359.224
9	332.048	121.429	150.672	354.285	354.286
10	338.011	99.9603	151.775	349.448	349.448
15	382.23	98.3092	160.091	326.662	326.662
20	349.51	124.634	153.842	306.043	306.043
30	255.532	135.516	137.965	270.507	270.507
40	298.743	171.434	145.338	241.412	241.412
50	220.446	154.456	133.035	217.591	217.591
60	236.789	95.1877	135.246	198.088	198.088
70	176.846	189.455	127.673	182.12	182.12
80	229.601	94.0088	134.308	169.047	169.047
90	198.063	117.358	130.199	158.344	158.344
100	255.553	154.03	138.141	149.581	149.58
120	150.356	121.467	125.011	136.532	136.532
160	105.452	105.732	121.024	121.921	121.921
180	196.203	94.4327	129.966	117.991	117.991
240	119.949	72.9728	122.156	112.407	112.407
251.5	98.4563	92.5128	120.584	111.912	111.912
