# time of execution: 2022-06-24 13:05:02
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9719673041136175	100.0	100.0	0.0	0.0	0.0	0.0	[-2.24245874e-21]
0.02	0.9708635818852185	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33052565e-21]
0.03	0.9708329434440703	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33274351e-21]
0.04	0.9708310522396348	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33266153e-21]
0.05	0.9708299707295405	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33251479e-21]
0.06	0.9708289138206432	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3323661e-21]
0.07	0.9708278577902473	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33221735e-21]
0.08	0.9708268018338028	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33206862e-21]
0.09	0.9708257459181713	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33191989e-21]
0.1	0.9708246900415922	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33177118e-21]
0.11	0.970823634203948	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33162247e-21]
0.12	0.9708225784052299	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33147378e-21]
0.13	0.970821522645437	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3313251e-21]
0.14	0.9708204669245691	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33117644e-21]
0.15	0.9708194112426264	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33102778e-21]
0.16	0.9708183555996084	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33087914e-21]
0.17	0.9708172999955152	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3307305e-21]
0.18	0.9708162444303468	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33058188e-21]
0.19	0.9708151889041028	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33043328e-21]
0.2	0.9708141334167832	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33028468e-21]
0.21	0.970813077968388	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33013609e-21]
0.22	0.970812022558917	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32998752e-21]
0.22999999999999998	0.9708109671883701	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32983896e-21]
0.24	0.9708099118567471	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32969041e-21]
0.25	0.970808856564048	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32954187e-21]
0.26	0.9708078013102727	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32939334e-21]
0.27	0.9708067460954208	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32924483e-21]
0.28	0.9708056909194925	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32909633e-21]
0.29	0.9708046357824878	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32894783e-21]
0.3	0.9708035806844063	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32879935e-21]
0.31	0.9708025256252479	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32865089e-21]
0.32	0.9708014706050127	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32850243e-21]
0.33	0.9708004156237003	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32835399e-21]
0.34	0.9707993606813108	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32820555e-21]
0.35	0.9707983057778441	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32805713e-21]
0.36	0.9707972509132999	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32790872e-21]
0.37	0.9707961960876782	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32776033e-21]
0.38	0.9707951413009788	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32761194e-21]
0.39	0.9707940865532015	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32746357e-21]
0.4	0.9707930318443467	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3273152e-21]
