# time of execution: 2022-06-24 13:05:02
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9993414202336122	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24235023e-23]
0.02	0.9986879690764435	100.0	100.0	0.0	0.0	0.0	0.0	[-1.03917104e-22]
0.03	0.9980401444389687	100.0	100.0	0.0	0.0	0.0	0.0	[-1.54450425e-22]
0.04	0.9973984116866484	100.0	100.0	0.0	0.0	0.0	0.0	[-2.0399598e-22]
0.05	0.9967632036596771	100.0	100.0	0.0	0.0	0.0	0.0	[-2.52529143e-22]
0.06	0.9961349208537693	100.0	100.0	0.0	0.0	0.0	0.0	[-3.00028111e-22]
0.07	0.9955139317495494	100.0	100.0	0.0	0.0	0.0	0.0	[-3.46473845e-22]
0.08	0.9949005732778267	100.0	100.0	0.0	0.0	0.0	0.0	[-3.91850006e-22]
0.09	0.9942951514078725	100.0	100.0	0.0	0.0	0.0	0.0	[-4.36142883e-22]
0.1	0.9936979418458556	100.0	100.0	0.0	0.0	0.0	0.0	[-4.79341311e-22]
0.11	0.9931091908307254	100.0	100.0	0.0	0.0	0.0	0.0	[-5.21436581e-22]
0.12	0.9925291160151081	100.0	100.0	0.0	0.0	0.0	0.0	[-5.62422345e-22]
0.13	0.9919579074191577	100.0	100.0	0.0	0.0	0.0	0.0	[-6.02294519e-22]
0.14	0.9913957284457618	100.0	100.0	0.0	0.0	0.0	0.0	[-6.41051178e-22]
0.15	0.9908427169460317	100.0	100.0	0.0	0.0	0.0	0.0	[-6.78692451e-22]
0.16	0.9902989863246116	100.0	100.0	0.0	0.0	0.0	0.0	[-7.1522041e-22]
0.17	0.9897646266749616	100.0	100.0	0.0	0.0	0.0	0.0	[-7.50638963e-22]
0.18	0.989239705935443	100.0	100.0	0.0	0.0	0.0	0.0	[-7.84953742e-22]
0.19	0.9887242710577342	100.0	100.0	0.0	0.0	0.0	0.0	[-8.18171993e-22]
0.2	0.9882183491797728	100.0	100.0	0.0	0.0	0.0	0.0	[-8.50302468e-22]
0.21	0.9877219487961509	100.0	100.0	0.0	0.0	0.0	0.0	[-8.81355317e-22]
0.22	0.9872350609195563	100.0	100.0	0.0	0.0	0.0	0.0	[-9.11341977e-22]
0.22999999999999998	0.9867576602275396	100.0	100.0	0.0	0.0	0.0	0.0	[-9.40275075e-22]
0.24	0.9862897061895419	100.0	100.0	0.0	0.0	0.0	0.0	[-9.6816832e-22]
0.25	0.985831144169741	100.0	100.0	0.0	0.0	0.0	0.0	[-9.9503641e-22]
0.26	0.9853819065018861	100.0	100.0	0.0	0.0	0.0	0.0	[-1.02089493e-21]
0.27	0.9849419135328502	100.0	100.0	0.0	0.0	0.0	0.0	[-1.04576027e-21]
0.28	0.9845110746321767	100.0	100.0	0.0	0.0	0.0	0.0	[-1.06964953e-21]
0.29	0.98408928916538	100.0	100.0	0.0	0.0	0.0	0.0	[-1.09258043e-21]
0.3	0.9836764474292417	100.0	100.0	0.0	0.0	0.0	0.0	[-1.11457123e-21]
0.31	0.9832724315477575	100.0	100.0	0.0	0.0	0.0	0.0	[-1.13564068e-21]
0.32	0.9828771163277826	100.0	100.0	0.0	0.0	0.0	0.0	[-1.15580791e-21]
0.33	0.9824903700737897	100.0	100.0	0.0	0.0	0.0	0.0	[-1.17509238e-21]
0.34	0.9821120553614419	100.0	100.0	0.0	0.0	0.0	0.0	[-1.19351382e-21]
0.35	0.9817420297700147	100.0	100.0	0.0	0.0	0.0	0.0	[-1.21109214e-21]
0.36	0.9813801465739099	100.0	100.0	0.0	0.0	0.0	0.0	[-1.22784742e-21]
0.37	0.9810262553937507	100.0	100.0	0.0	0.0	0.0	0.0	[-1.24379982e-21]
0.38	0.9806802028077389	100.0	100.0	0.0	0.0	0.0	0.0	[-1.25896954e-21]
0.39	0.980341832924115	100.0	100.0	0.0	0.0	0.0	0.0	[-1.27337677e-21]
0.4	0.9800109879157087	100.0	100.0	0.0	0.0	0.0	0.0	[-1.28704167e-21]
0.41	0.9796875085176797	100.0	100.0	0.0	0.0	0.0	0.0	[-1.2999843e-21]
0.42	0.9793712344896535	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3122246e-21]
0.43	0.9790620050435249	100.0	100.0	0.0	0.0	0.0	0.0	[-1.32378236e-21]
0.44	0.9787596592382651	100.0	100.0	0.0	0.0	0.0	0.0	[-1.33467718e-21]
0.45	0.9784640363431147	100.0	100.0	0.0	0.0	0.0	0.0	[-1.34492845e-21]
0.45999999999999996	0.9781749761705684	100.0	100.0	0.0	0.0	0.0	0.0	[-1.35455534e-21]
0.47000000000000003	0.9778923193805669	100.0	100.0	0.0	0.0	0.0	0.0	[-1.36357672e-21]
0.48	0.9776159077573402	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37201123e-21]
0.49000000000000005	0.9773455844603088	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37987719e-21]
0.5	0.9770811942504597	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3871926e-21]
0.5099999999999999	0.9768225836935809	100.0	100.0	0.0	0.0	0.0	0.0	[-1.39397517e-21]
0.52	0.9765696013417144	100.0	100.0	0.0	0.0	0.0	0.0	[-1.40024225e-21]
0.5299999999999999	0.9763220978941543	100.0	100.0	0.0	0.0	0.0	0.0	[-1.40601085e-21]
0.54	0.9760799263392765	100.0	100.0	0.0	0.0	0.0	0.0	[-1.41129764e-21]
0.5499999999999999	0.9758429420784505	100.0	100.0	0.0	0.0	0.0	0.0	[-1.41611892e-21]
0.56	0.9756110030332312	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42049063e-21]
0.57	0.9753839697369973	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42442834e-21]
0.58	0.9751617054121345	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42794726e-21]
0.59	0.9749440760338391	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43106224e-21]
0.6	0.9747309503815421	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43378772e-21]
0.61	0.9745222000789281	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43613781e-21]
0.62	0.97431769962345	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43812623e-21]
0.6299999999999999	0.9741173264062255	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43976634e-21]
0.64	0.9739209607231123	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44107113e-21]
0.6499999999999999	0.9737284857777527	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44205324e-21]
0.66	0.9735397876773038	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44272495e-21]
0.6699999999999999	0.9733547554215384	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44309817e-21]
0.68	0.9731732808859598	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44318448e-21]
0.69	0.9729952587995285	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44299513e-21]
0.7	0.972820586717557	100.0	100.0	0.0	0.0	0.0	0.0	[-1.442541e-21]
0.71	0.9726491649903003	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44183266e-21]
0.72	0.9724808967277263	100.0	100.0	0.0	0.0	0.0	0.0	[-1.44088036e-21]
0.73	0.9723156877609153	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43969401e-21]
0.74	0.9721534466005085	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43828323e-21]
0.7499999999999999	0.9719940843925975	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43665733e-21]
0.76	0.9718375148724061	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43482531e-21]
0.7699999999999999	0.971683654316099	100.0	100.0	0.0	0.0	0.0	0.0	[-1.43279589e-21]
0.78	0.9715324214910238	100.0	100.0	0.0	0.0	0.0	0.0	[-1.4305775e-21]
0.7899999999999999	0.9713837376046575	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42817828e-21]
0.8	0.9712375262525229	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42560613e-21]
0.8099999999999999	0.9710937133653051	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42286865e-21]
0.82	0.9709522271553794	100.0	100.0	0.0	0.0	0.0	0.0	[-1.41997321e-21]
0.83	0.9708129980629531	100.0	100.0	0.0	0.0	0.0	0.0	[-1.41692691e-21]
0.84	0.9706759587019885	100.0	100.0	0.0	0.0	0.0	0.0	[-1.41373662e-21]
0.85	0.9705410438060726	100.0	100.0	0.0	0.0	0.0	0.0	[-1.41040898e-21]
0.86	0.9704081901743813	100.0	100.0	0.0	0.0	0.0	0.0	[-1.40695036e-21]
0.87	0.9702773366178609	100.0	100.0	0.0	0.0	0.0	0.0	[-1.40336696e-21]
0.88	0.9701484239057468	100.0	100.0	0.0	0.0	0.0	0.0	[-1.39966472e-21]
0.8899999999999999	0.9700213947125275	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3958494e-21]
0.9	0.9698961935654412	100.0	100.0	0.0	0.0	0.0	0.0	[-1.39192652e-21]
0.9099999999999999	0.9697727667925874	100.0	100.0	0.0	0.0	0.0	0.0	[-1.38790144e-21]
0.9199999999999999	0.9696510624717327	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3837793e-21]
0.93	0.9695310303798622	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37956507e-21]
0.9400000000000001	0.9694126219435452	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37526353e-21]
0.95	0.9692957901901502	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37087929e-21]
0.96	0.969180489699956	100.0	100.0	0.0	0.0	0.0	0.0	[-1.36641679e-21]
0.9699999999999999	0.9690666765591913	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3618803e-21]
0.9800000000000001	0.9689543083140283	100.0	100.0	0.0	0.0	0.0	0.0	[-1.35727393e-21]
0.99	0.968843343925559	100.0	100.0	0.0	0.0	0.0	0.0	[-1.35260165e-21]
1.0	0.9687337437257638	100.0	100.0	0.0	0.0	0.0	0.0	[-1.34786727e-21]
1.01	0.968625469374488	100.0	100.0	0.0	0.0	0.0	0.0	[-1.34307446e-21]
1.0199999999999998	0.9685184838174412	100.0	100.0	0.0	0.0	0.0	0.0	[-1.33822675e-21]
1.03	0.9684127512452152	100.0	100.0	0.0	0.0	0.0	0.0	[-1.33332755e-21]
1.04	0.9683082370533275	100.0	100.0	0.0	0.0	0.0	0.0	[-1.32838011e-21]
1.05	0.9682049078032952	100.0	100.0	0.0	0.0	0.0	0.0	[-1.32338757e-21]
1.0599999999999998	0.9681027311847229	100.0	100.0	0.0	0.0	0.0	0.0	[-1.31835296e-21]
1.0699999999999998	0.9680016759784091	100.0	100.0	0.0	0.0	0.0	0.0	[-1.31327919e-21]
1.08	0.967901712020459	100.0	100.0	0.0	0.0	0.0	0.0	[-1.30816903e-21]
1.09	0.9678028101673947	100.0	100.0	0.0	0.0	0.0	0.0	[-1.30302518e-21]
1.0999999999999999	0.96770494226225	100.0	100.0	0.0	0.0	0.0	0.0	[-1.29785022e-21]
1.1099999999999999	0.9676080811016395	100.0	100.0	0.0	0.0	0.0	0.0	[-1.2926466e-21]
1.12	0.9675122004037844	100.0	100.0	0.0	0.0	0.0	0.0	[-1.28741672e-21]
1.1300000000000001	0.9674172747774806	100.0	100.0	0.0	0.0	0.0	0.0	[-1.28216285e-21]
1.14	0.9673232796919972	100.0	100.0	0.0	0.0	0.0	0.0	[-1.27688719e-21]
1.15	0.9672301914478796	100.0	100.0	0.0	0.0	0.0	0.0	[-1.27159184e-21]
1.16	0.9671379871486461	100.0	100.0	0.0	0.0	0.0	0.0	[-1.26627882e-21]
1.1700000000000002	0.9670466446733611	100.0	100.0	0.0	0.0	0.0	0.0	[-1.26095006e-21]
1.18	0.9669561426500578	100.0	100.0	0.0	0.0	0.0	0.0	[-1.25560742e-21]
1.19	0.9668664604299989	100.0	100.0	0.0	0.0	0.0	0.0	[-1.25025269e-21]
1.2	0.9667775780627522	100.0	100.0	0.0	0.0	0.0	0.0	[-1.24488757e-21]
1.21	0.9666894762720674	100.0	100.0	0.0	0.0	0.0	0.0	[-1.2395137e-21]
1.22	0.9666021364325226	100.0	100.0	0.0	0.0	0.0	0.0	[-1.23413265e-21]
1.23	0.9665155405469342	100.0	100.0	0.0	0.0	0.0	0.0	[-1.22874593e-21]
1.24	0.966429671224502	100.0	100.0	0.0	0.0	0.0	0.0	[-1.22335496e-21]
1.25	0.9663445116596713	100.0	100.0	0.0	0.0	0.0	0.0	[-1.21796115e-21]
1.2599999999999998	0.9662600456116959	100.0	100.0	0.0	0.0	0.0	0.0	[-1.21256579e-21]
1.27	0.9661762573848793	100.0	100.0	0.0	0.0	0.0	0.0	[-1.20717017e-21]
1.28	0.9660931318094773	100.0	100.0	0.0	0.0	0.0	0.0	[-1.20177549e-21]
1.29	0.9660106542232405	100.0	100.0	0.0	0.0	0.0	0.0	[-1.19638291e-21]
1.2999999999999998	0.9659288104535804	100.0	100.0	0.0	0.0	0.0	0.0	[-1.19099353e-21]
