# time of execution: 2022-06-20 10:02:29
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0][K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	10.0	10.0	0	0	0	0
0.01	0.9999999999999223	10.0	10.0	0.0	0.0	0.0	0.0
0.02	0.9999999999998446	10.0	10.0	0.0	0.0	0.0	0.0
0.03	0.9999999999997669	10.0	10.0	0.0	0.0	0.0	0.0
0.04	0.9999999999996891	10.0	10.0	0.0	0.0	0.0	0.0
0.05	0.9999999999996114	10.0	10.0	0.0	0.0	0.0	0.0
0.06	0.9999999999995337	10.0	10.0	0.0	0.0	0.0	0.0
0.07	0.999999999999456	10.0	10.0	0.0	0.0	0.0	0.0
0.08	0.9999999999993783	10.0	10.0	0.0	0.0	0.0	0.0
0.09	0.9999999999993006	10.0	10.0	0.0	0.0	0.0	0.0
0.1	0.9999999999992228	10.0	10.0	0.0	0.0	0.0	0.0
0.11	0.9999999999991451	10.0	10.0	0.0	0.0	0.0	0.0
0.12	0.9999999999990674	10.0	10.0	0.0	0.0	0.0	0.0
0.13	0.9999999999989897	10.0	10.0	0.0	0.0	0.0	0.0
0.14	0.999999999998912	10.0	10.0	0.0	0.0	0.0	0.0
0.15	0.9999999999988343	10.0	10.0	0.0	0.0	0.0	0.0
0.16	0.9999999999987566	10.0	10.0	0.0	0.0	0.0	0.0
0.17	0.9999999999986788	10.0	10.0	0.0	0.0	0.0	0.0
0.18	0.9999999999986011	10.0	10.0	0.0	0.0	0.0	0.0
0.19	0.9999999999985234	10.0	10.0	0.0	0.0	0.0	0.0
0.2	0.9999999999984457	10.0	10.0	0.0	0.0	0.0	0.0
0.21	0.999999999998368	10.0	10.0	0.0	0.0	0.0	0.0
0.22	0.9999999999982903	10.0	10.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9999999999982125	10.0	10.0	0.0	0.0	0.0	0.0
0.24	0.9999999999981348	10.0	10.0	0.0	0.0	0.0	0.0
0.25	0.9999999999980571	10.0	10.0	0.0	0.0	0.0	0.0
0.26	0.9999999999979794	10.0	10.0	0.0	0.0	0.0	0.0
0.27	0.9999999999979017	10.0	10.0	0.0	0.0	0.0	0.0
0.28	0.999999999997824	10.0	10.0	0.0	0.0	0.0	0.0
0.29	0.9999999999977462	10.0	10.0	0.0	0.0	0.0	0.0
0.3	0.9999999999976685	10.0	10.0	0.0	0.0	0.0	0.0
0.31	0.9999999999975908	10.0	10.0	0.0	0.0	0.0	0.0
0.32	0.9999999999975131	10.0	10.0	0.0	0.0	0.0	0.0
0.33	0.9999999999974354	10.0	10.0	0.0	0.0	0.0	0.0
0.34	0.9999999999973577	10.0	10.0	0.0	0.0	0.0	0.0
0.35	0.99999999999728	10.0	10.0	0.0	0.0	0.0	0.0
0.36	0.9999999999972022	10.0	10.0	0.0	0.0	0.0	0.0
0.37	0.9999999999971245	10.0	10.0	0.0	0.0	0.0	0.0
0.38	0.9999999999970468	10.0	10.0	0.0	0.0	0.0	0.0
0.39	0.9999999999969691	10.0	10.0	0.0	0.0	0.0	0.0
0.4	0.9999999999968914	10.0	10.0	0.0	0.0	0.0	0.0
0.41	0.9999999999968137	10.0	10.0	0.0	0.0	0.0	0.0
0.42	0.9999999999967359	10.0	10.0	0.0	0.0	0.0	0.0
0.43	0.9999999999966582	10.0	10.0	0.0	0.0	0.0	0.0
0.44	0.9999999999965805	10.0	10.0	0.0	0.0	0.0	0.0
0.45	0.9999999999965028	10.0	10.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9999999999964251	10.0	10.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9999999999963474	10.0	10.0	0.0	0.0	0.0	0.0
0.48	0.9999999999962697	10.0	10.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9999999999961919	10.0	10.0	0.0	0.0	0.0	0.0
0.5	0.9999999999961142	10.0	10.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9999999999960365	10.0	10.0	0.0	0.0	0.0	0.0
0.52	0.9999999999959588	10.0	10.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9999999999958811	10.0	10.0	0.0	0.0	0.0	0.0
0.54	0.9999999999958034	10.0	10.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9999999999957256	10.0	10.0	0.0	0.0	0.0	0.0
0.56	0.9999999999956479	10.0	10.0	0.0	0.0	0.0	0.0
0.57	0.9999999999955702	10.0	10.0	0.0	0.0	0.0	0.0
