# time of execution: 2022-08-03 17:58:17
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:7.5
# asf=0.12
# sdrate=1.5e-10
# sdissrate=1e-13
# rhosd=1e-19
# lambda=1e+16[W/m^3/K]
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D32C0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D3C20>[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.673959588570301e-06[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J]
0.0	1.0	100.0	100.0	0	0	0	0	-1e-19
0.01	0.9999999999999089	100.0	100.0	0.0	0.0	0.0	0.0	-9.227665309733452e-20
0.02	0.9999999999993905	100.0	100.0	0.0	0.0	0.0	0.0	-8.481895702189315e-20
0.03	0.9999999999966291	100.0	100.0	0.0	0.0	0.0	0.0	-7.765560814528649e-20
0.04	0.9999999999830322	100.0	100.0	0.0	0.0	0.0	0.0	-7.0815219436313e-20
0.05	0.99999999992153	100.0	100.0	0.0	0.0	0.0	0.0	-6.432486454989913e-20
0.06	0.9999999996675007	100.0	100.0	0.0	0.0	0.0	0.0	-5.820840774633464e-20
0.07	0.9999999987139023	100.0	100.0	0.0	0.0	0.0	0.0	-5.2484830619429095e-20
0.08	0.9999999954711561	100.0	100.0	0.0	0.0	0.0	0.0	-4.716681744132423e-20
0.09	0.9999999854979795	100.0	100.0	0.0	0.0	0.0	0.0	-4.2259842133845334e-20
0.1	0.9999999577514402	100.0	100.0	0.0	0.0	0.0	0.0	-3.7761907136974707e-20
0.11	0.9999998877878464	100.0	100.0	0.0	0.0	0.0	0.0	-3.366394766936969e-20
0.12	0.9999997273422555	100.0	100.0	0.0	0.0	0.0	0.0	-2.9950783757874527e-20
0.13	0.9999993911172579	100.0	100.0	0.0	0.0	0.0	0.0	-2.6602419623721195e-20
0.14	0.9999987436153267	100.0	100.0	0.0	0.0	0.0	0.0	-2.3595471560739742e-20
0.15	0.9999975904566151	100.0	100.0	0.0	0.0	0.0	0.0	-2.0904539757226418e-20
0.16	0.9999956786746351	100.0	100.0	0.0	0.0	0.0	0.0	-1.8503400818006954e-20
0.17	0.9999927085096143	100.0	100.0	0.0	0.0	0.0	0.0	-1.6365961264404463e-20
