# time of execution: 2022-06-26 16:31:58
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9999867824708034	100.0	100.0	0.0	0.0	0.0	0.0	[-1.05734947e-24]
0.02	0.9999735667862301	100.0	100.0	0.0	0.0	0.0	0.0	[-2.11444564e-24]
0.03	0.9999603529504627	100.0	100.0	0.0	0.0	0.0	0.0	[-3.17128821e-24]
0.04	0.9999471409676807	100.0	100.0	0.0	0.0	0.0	0.0	[-4.22787688e-24]
0.05	0.9999339308420585	100.0	100.0	0.0	0.0	0.0	0.0	[-5.28421132e-24]
0.06	0.9999207225777664	100.0	100.0	0.0	0.0	0.0	0.0	[-6.34029123e-24]
0.07	0.9999075161789711	100.0	100.0	0.0	0.0	0.0	0.0	[-7.39611632e-24]
0.08	0.9998943116498352	100.0	100.0	0.0	0.0	0.0	0.0	[-8.45168625e-24]
0.09	0.999881108994516	100.0	100.0	0.0	0.0	0.0	0.0	[-9.50700074e-24]
0.1	0.9998679082171684	100.0	100.0	0.0	0.0	0.0	0.0	[-1.05620595e-23]
0.11	0.9998547093219416	100.0	100.0	0.0	0.0	0.0	0.0	[-1.16168621e-23]
0.12	0.9998415123129819	100.0	100.0	0.0	0.0	0.0	0.0	[-1.26714084e-23]
0.13	0.9998283171944298	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37256981e-23]
0.14	0.9998151239704239	100.0	100.0	0.0	0.0	0.0	0.0	[-1.47797307e-23]
0.15	0.9998019326450971	100.0	100.0	0.0	0.0	0.0	0.0	[-1.58335061e-23]
0.16	0.9997887432225788	100.0	100.0	0.0	0.0	0.0	0.0	[-1.68870239e-23]
0.17	0.9997755557069937	100.0	100.0	0.0	0.0	0.0	0.0	[-1.79402837e-23]
0.18	0.9997623701024633	100.0	100.0	0.0	0.0	0.0	0.0	[-1.89932854e-23]
0.19	0.9997491864131031	100.0	100.0	0.0	0.0	0.0	0.0	[-2.00460286e-23]
0.2	0.9997360046430273	100.0	100.0	0.0	0.0	0.0	0.0	[-2.1098513e-23]
0.21	0.9997228247963424	100.0	100.0	0.0	0.0	0.0	0.0	[-2.21507382e-23]
0.22	0.9997096468771535	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32027041e-23]
0.22999999999999998	0.9996964708895607	100.0	100.0	0.0	0.0	0.0	0.0	[-2.42544103e-23]
0.24	0.99968329683766	100.0	100.0	0.0	0.0	0.0	0.0	[-2.53058564e-23]
0.25	0.999670124725543	100.0	100.0	0.0	0.0	0.0	0.0	[-2.63570422e-23]
0.26	0.999656954557297	100.0	100.0	0.0	0.0	0.0	0.0	[-2.74079674e-23]
0.27	0.9996437863370057	100.0	100.0	0.0	0.0	0.0	0.0	[-2.84586317e-23]
