# time of execution: 2022-06-26 16:31:58
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9999905587239243	100.0	100.0	0.0	0.0	0.0	0.0	[-7.54547275e-25]
0.02	0.9999811183901499	100.0	100.0	0.0	0.0	0.0	0.0	[-1.50751165e-24]
0.03	0.9999716790019707	100.0	100.0	0.0	0.0	0.0	0.0	[-2.25889604e-24]
0.04	0.999962240562667	100.0	100.0	0.0	0.0	0.0	0.0	[-3.00870332e-24]
0.05	0.9999528030755096	100.0	100.0	0.0	0.0	0.0	0.0	[-3.75693639e-24]
0.06	0.9999433665437557	100.0	100.0	0.0	0.0	0.0	0.0	[-4.50359813e-24]
0.07	0.9999339309706531	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24869143e-24]
0.08	0.9999244963594375	100.0	100.0	0.0	0.0	0.0	0.0	[-5.99221916e-24]
0.09	0.9999150627133334	100.0	100.0	0.0	0.0	0.0	0.0	[-6.73418418e-24]
0.1	0.9999056300355533	100.0	100.0	0.0	0.0	0.0	0.0	[-7.47458937e-24]
0.11	0.9998961983292994	100.0	100.0	0.0	0.0	0.0	0.0	[-8.21343759e-24]
0.12	0.9998867675977626	100.0	100.0	0.0	0.0	0.0	0.0	[-8.95073168e-24]
0.13	0.9998773378441228	100.0	100.0	0.0	0.0	0.0	0.0	[-9.68647451e-24]
0.14	0.9998679090715473	100.0	100.0	0.0	0.0	0.0	0.0	[-1.04206689e-23]
0.15	0.9998584812831941	100.0	100.0	0.0	0.0	0.0	0.0	[-1.11533177e-23]
0.16	0.9998490544822096	100.0	100.0	0.0	0.0	0.0	0.0	[-1.18844238e-23]
0.17	0.999839628671729	100.0	100.0	0.0	0.0	0.0	0.0	[-1.261399e-23]
0.18	0.9998302038548756	100.0	100.0	0.0	0.0	0.0	0.0	[-1.33420191e-23]
0.19	0.9998207800347633	100.0	100.0	0.0	0.0	0.0	0.0	[-1.40685139e-23]
0.2	0.9998113572144942	100.0	100.0	0.0	0.0	0.0	0.0	[-1.47934773e-23]
0.21	0.99980193539716	100.0	100.0	0.0	0.0	0.0	0.0	[-1.5516912e-23]
0.22	0.999792514585841	100.0	100.0	0.0	0.0	0.0	0.0	[-1.62388209e-23]
0.22999999999999998	0.9997830947836073	100.0	100.0	0.0	0.0	0.0	0.0	[-1.69592068e-23]
0.24	0.9997736759935169	100.0	100.0	0.0	0.0	0.0	0.0	[-1.76780725e-23]
0.25	0.9997642582186185	100.0	100.0	0.0	0.0	0.0	0.0	[-1.83954207e-23]
0.26	0.9997548414619502	100.0	100.0	0.0	0.0	0.0	0.0	[-1.91112543e-23]
0.27	0.9997454257265375	100.0	100.0	0.0	0.0	0.0	0.0	[-1.98255761e-23]
0.28	0.9997360110153973	100.0	100.0	0.0	0.0	0.0	0.0	[-2.05383888e-23]
0.29	0.9997265973315358	100.0	100.0	0.0	0.0	0.0	0.0	[-2.12496951e-23]
0.3	0.999717184677947	100.0	100.0	0.0	0.0	0.0	0.0	[-2.1959498e-23]
0.31	0.9997077730576148	100.0	100.0	0.0	0.0	0.0	0.0	[-2.26678001e-23]
0.32	0.9996983624735141	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33746041e-23]
0.33	0.999688952928607	100.0	100.0	0.0	0.0	0.0	0.0	[-2.4079913e-23]
0.34	0.9996795444258476	100.0	100.0	0.0	0.0	0.0	0.0	[-2.47837293e-23]
0.35	0.9996701369681774	100.0	100.0	0.0	0.0	0.0	0.0	[-2.54860559e-23]
0.36	0.9996607305585287	100.0	100.0	0.0	0.0	0.0	0.0	[-2.61868955e-23]
0.37	0.9996513251998224	100.0	100.0	0.0	0.0	0.0	0.0	[-2.68862508e-23]
0.38	0.9996419208949702	100.0	100.0	0.0	0.0	0.0	0.0	[-2.75841245e-23]
0.39	0.9996325176468746	100.0	100.0	0.0	0.0	0.0	0.0	[-2.82805195e-23]
0.4	0.9996231154584241	100.0	100.0	0.0	0.0	0.0	0.0	[-2.89754384e-23]
0.41	0.9996137143325002	100.0	100.0	0.0	0.0	0.0	0.0	[-2.96688839e-23]
0.42	0.9996043142719737	100.0	100.0	0.0	0.0	0.0	0.0	[-3.03608587e-23]
0.43	0.9995949152797046	100.0	100.0	0.0	0.0	0.0	0.0	[-3.10513656e-23]
0.44	0.9995855173585414	100.0	100.0	0.0	0.0	0.0	0.0	[-3.17404073e-23]
0.45	0.9995761205113252	100.0	100.0	0.0	0.0	0.0	0.0	[-3.24279864e-23]
0.45999999999999996	0.9995667247408863	100.0	100.0	0.0	0.0	0.0	0.0	[-3.31141057e-23]
0.47000000000000003	0.9995573300500429	100.0	100.0	0.0	0.0	0.0	0.0	[-3.37987679e-23]
0.48	0.9995479364416056	100.0	100.0	0.0	0.0	0.0	0.0	[-3.44819756e-23]
0.49000000000000005	0.9995385439183743	100.0	100.0	0.0	0.0	0.0	0.0	[-3.51637315e-23]
0.5	0.9995291524831381	100.0	100.0	0.0	0.0	0.0	0.0	[-3.58440383e-23]
0.5099999999999999	0.9995197621386771	100.0	100.0	0.0	0.0	0.0	0.0	[-3.65228987e-23]
0.52	0.9995103728877617	100.0	100.0	0.0	0.0	0.0	0.0	[-3.72003153e-23]
0.5299999999999999	0.9995009847331516	100.0	100.0	0.0	0.0	0.0	0.0	[-3.78762908e-23]
0.54	0.9994915976775968	100.0	100.0	0.0	0.0	0.0	0.0	[-3.85508279e-23]
0.5499999999999999	0.9994822117238377	100.0	100.0	0.0	0.0	0.0	0.0	[-3.92239292e-23]
0.56	0.9994728268746054	100.0	100.0	0.0	0.0	0.0	0.0	[-3.98955974e-23]
0.57	0.9994634431326203	100.0	100.0	0.0	0.0	0.0	0.0	[-4.05658351e-23]
0.58	0.9994540605005938	100.0	100.0	0.0	0.0	0.0	0.0	[-4.12346449e-23]
0.59	0.9994446789812274	100.0	100.0	0.0	0.0	0.0	0.0	[-4.19020296e-23]
0.6	0.999435298577213	100.0	100.0	0.0	0.0	0.0	0.0	[-4.25679916e-23]
0.61	0.999425919291233	100.0	100.0	0.0	0.0	0.0	0.0	[-4.32325337e-23]
