# time of execution: 2022-06-17 15:11:16
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3
# mu_at=7[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.173178204080627e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:5e+20[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9999500445654661	100.0	100.0	0.0	0.0	0.0	0.0	[-4.99554345e-40]
0.02	0.9999001478536628	100.0	100.0	0.0	0.0	0.0	0.0	[-9.98521463e-40]
0.03	0.9998503097847544	100.0	100.0	0.0	0.0	0.0	0.0	[-1.49690215e-39]
0.04	0.9998005302790364	100.0	100.0	0.0	0.0	0.0	0.0	[-1.99469721e-39]
0.05	0.9997508092569353	100.0	100.0	0.0	0.0	0.0	0.0	[-2.49190743e-39]
0.06	0.9997011466390062	100.0	100.0	0.0	0.0	0.0	0.0	[-2.98853361e-39]
0.07	0.9996515423459365	100.0	100.0	0.0	0.0	0.0	0.0	[-3.48457654e-39]
0.08	0.9996019962985432	100.0	100.0	0.0	0.0	0.0	0.0	[-3.98003701e-39]
0.09	0.999552508417772	100.0	100.0	0.0	0.0	0.0	0.0	[-4.47491582e-39]
0.1	0.9995030786246987	100.0	100.0	0.0	0.0	0.0	0.0	[-4.96921375e-39]
0.11	0.9994537068405285	100.0	100.0	0.0	0.0	0.0	0.0	[-5.46293159e-39]
0.12	0.9994043929865946	100.0	100.0	0.0	0.0	0.0	0.0	[-5.95607013e-39]
0.13	0.9993551369843594	100.0	100.0	0.0	0.0	0.0	0.0	[-6.44863016e-39]
0.14	0.9993059387554138	100.0	100.0	0.0	0.0	0.0	0.0	[-6.94061245e-39]
0.15	0.999256798221476	100.0	100.0	0.0	0.0	0.0	0.0	[-7.43201779e-39]
0.16	0.9992077153043931	100.0	100.0	0.0	0.0	0.0	0.0	[-7.92284696e-39]
0.17	0.9991586899261394	100.0	100.0	0.0	0.0	0.0	0.0	[-8.41310074e-39]
0.18	0.9991097220088151	100.0	100.0	0.0	0.0	0.0	0.0	[-8.90277991e-39]
0.19	0.99906081147465	100.0	100.0	0.0	0.0	0.0	0.0	[-9.39188525e-39]
0.2	0.9990119582459991	100.0	100.0	0.0	0.0	0.0	0.0	[-9.88041754e-39]
0.21	0.998963162245345	100.0	100.0	0.0	0.0	0.0	0.0	[-1.03683775e-38]
0.22	0.9989144233952965	100.0	100.0	0.0	0.0	0.0	0.0	[-1.0855766e-38]
0.22999999999999998	0.9988657416185863	100.0	100.0	0.0	0.0	0.0	0.0	[-1.13425838e-38]
0.24	0.9988171168380758	100.0	100.0	0.0	0.0	0.0	0.0	[-1.18288316e-38]
0.25	0.9987685489767507	100.0	100.0	0.0	0.0	0.0	0.0	[-1.23145102e-38]
0.26	0.9987200379577219	100.0	100.0	0.0	0.0	0.0	0.0	[-1.27996204e-38]
0.27	0.9986715837042266	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3284163e-38]
0.28	0.9986231861396251	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37681386e-38]
0.29	0.9985748451874028	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42515481e-38]
0.3	0.9985265607711696	100.0	100.0	0.0	0.0	0.0	0.0	[-1.47343923e-38]
0.31	0.9984783328146603	100.0	100.0	0.0	0.0	0.0	0.0	[-1.52166719e-38]
0.32	0.9984301612417327	100.0	100.0	0.0	0.0	0.0	0.0	[-1.56983876e-38]
0.33	0.9983820459763675	100.0	100.0	0.0	0.0	0.0	0.0	[-1.61795402e-38]
0.34	0.9983339869426698	100.0	100.0	0.0	0.0	0.0	0.0	[-1.66601306e-38]
0.35	0.9982859840648677	100.0	100.0	0.0	0.0	0.0	0.0	[-1.71401594e-38]
0.36	0.9982380372673129	100.0	100.0	0.0	0.0	0.0	0.0	[-1.76196273e-38]
0.37	0.9981901464744773	100.0	100.0	0.0	0.0	0.0	0.0	[-1.80985353e-38]
0.38	0.9981423116109577	100.0	100.0	0.0	0.0	0.0	0.0	[-1.85768839e-38]
0.39	0.9980945326014712	100.0	100.0	0.0	0.0	0.0	0.0	[-1.9054674e-38]
0.4	0.9980468093708587	100.0	100.0	0.0	0.0	0.0	0.0	[-1.95319063e-38]
0.41	0.9979991418440808	100.0	100.0	0.0	0.0	0.0	0.0	[-2.00085816e-38]
0.42	0.9979515299462206	100.0	100.0	0.0	0.0	0.0	0.0	[-2.04847005e-38]
0.43	0.9979039736024825	100.0	100.0	0.0	0.0	0.0	0.0	[-2.0960264e-38]
0.44	0.9978564727381911	100.0	100.0	0.0	0.0	0.0	0.0	[-2.14352726e-38]
0.45	0.997809027278792	100.0	100.0	0.0	0.0	0.0	0.0	[-2.19097272e-38]
