# time of execution: 2022-06-23 09:45:22
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+20[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.993819642939508	100.0	100.0	0.0	0.0	0.0	0.0	[-6.17972499e-38]
0.02	0.9884207340221459	100.0	100.0	0.0	0.0	0.0	0.0	[-1.15768462e-37]
0.03	0.9836911952752468	100.0	100.0	0.0	0.0	0.0	0.0	[-1.63035866e-37]
0.04	0.979537742192072	100.0	100.0	0.0	0.0	0.0	0.0	[-2.0453355e-37]
0.05	0.9758821727536949	100.0	100.0	0.0	0.0	0.0	0.0	[-2.4104461e-37]
0.06	0.9726585060428847	100.0	100.0	0.0	0.0	0.0	0.0	[-2.73229782e-37]
0.07	0.9698107503766151	100.0	100.0	0.0	0.0	0.0	0.0	[-3.01649792e-37]
0.08	0.967291143984072	100.0	100.0	0.0	0.0	0.0	0.0	[-3.26782962e-37]
0.09	0.9650587546586195	100.0	100.0	0.0	0.0	0.0	0.0	[-3.49039228e-37]
0.1	0.9630783551294086	100.0	100.0	0.0	0.0	0.0	0.0	[-3.68771403e-37]
0.11	0.9613195123790705	100.0	100.0	0.0	0.0	0.0	0.0	[-3.8628429e-37]
0.12	0.9597558445552111	100.0	100.0	0.0	0.0	0.0	0.0	[-4.01842125e-37]
0.13	0.9583644103300776	100.0	100.0	0.0	0.0	0.0	0.0	[-4.15674689e-37]
0.14	0.9571252037994628	100.0	100.0	0.0	0.0	0.0	0.0	[-4.27982365e-37]
0.15	0.9560207341299107	100.0	100.0	0.0	0.0	0.0	0.0	[-4.38940348e-37]
0.16	0.9550356737526278	100.0	100.0	0.0	0.0	0.0	0.0	[-4.48702169e-37]
0.17	0.9541565623771003	100.0	100.0	0.0	0.0	0.0	0.0	[-4.57402655e-37]
0.18	0.9533715567509677	100.0	100.0	0.0	0.0	0.0	0.0	[-4.6516044e-37]
0.19	0.9526702181358795	100.0	100.0	0.0	0.0	0.0	0.0	[-4.72080089e-37]
0.2	0.952043331054431	100.0	100.0	0.0	0.0	0.0	0.0	[-4.78253915e-37]
0.21	0.9514827481024427	100.0	100.0	0.0	0.0	0.0	0.0	[-4.83763532e-37]
0.22	0.9509812565961439	100.0	100.0	0.0	0.0	0.0	0.0	[-4.88681194e-37]
0.22999999999999998	0.9505324635965068	100.0	100.0	0.0	0.0	0.0	0.0	[-4.9307094e-37]
0.24	0.9501306964689988	100.0	100.0	0.0	0.0	0.0	0.0	[-4.96989598e-37]
0.25	0.9497709166310558	100.0	100.0	0.0	0.0	0.0	0.0	[-5.00487642e-37]
0.26	0.9494486445381096	100.0	100.0	0.0	0.0	0.0	0.0	[-5.03609947e-37]
0.27	0.9491598942821913	100.0	100.0	0.0	0.0	0.0	0.0	[-5.06396444e-37]
0.28	0.9489011164406477	100.0	100.0	0.0	0.0	0.0	0.0	[-5.0888269e-37]
0.29	0.9486691480284193	100.0	100.0	0.0	0.0	0.0	0.0	[-5.11100371e-37]
0.3	0.9484611685851045	100.0	100.0	0.0	0.0	0.0	0.0	[-5.13077744e-37]
0.31	0.948274661575087	100.0	100.0	0.0	0.0	0.0	0.0	[-5.14840019e-37]
0.32	0.9481073804011869	100.0	100.0	0.0	0.0	0.0	0.0	[-5.16409703e-37]
0.33	0.9479573184342289	100.0	100.0	0.0	0.0	0.0	0.0	[-5.17806898e-37]
0.34	0.9478226825463509	100.0	100.0	0.0	0.0	0.0	0.0	[-5.19049569e-37]
0.35	0.9477018697077095	100.0	100.0	0.0	0.0	0.0	0.0	[-5.20153775e-37]
0.36	0.9475934462669059	100.0	100.0	0.0	0.0	0.0	0.0	[-5.21133878e-37]
0.37	0.9474961295868458	100.0	100.0	0.0	0.0	0.0	0.0	[-5.2200273e-37]
0.38	0.947408771751455	100.0	100.0	0.0	0.0	0.0	0.0	[-5.22771829e-37]
0.39	0.9473303450959597	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23451472e-37]
0.4	0.947259929345333	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24050878e-37]
0.41	0.9471967001729067	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24578306e-37]
0.42	0.9471399190147141	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25041154e-37]
0.43	0.9470889239954832	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25446055e-37]
0.44	0.947043121839786	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25798951e-37]
0.45	0.9470019806571575	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26105172e-37]
0.45999999999999996	0.9469650235032359	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26369495e-37]
0.47000000000000003	0.9469318226305774	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26596207e-37]
0.48	0.9469019943528797	100.0	100.0	0.0	0.0	0.0	0.0	[-5.2678915e-37]
0.49000000000000005	0.9468751944551965	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26951775e-37]
0.5	0.9468511140904672	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27087174e-37]
0.5099999999999999	0.9468294761094754	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27198125e-37]
0.52	0.9468100317773381	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27287119e-37]
0.5299999999999999	0.9467925578348859	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27356394e-37]
0.54	0.9467768538679348	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27407957e-37]
0.5499999999999999	0.9467627399515496	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27443611e-37]
0.56	0.9467500545400149	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27464974e-37]
0.57	0.9467386525764436	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27473499e-37]
0.58	0.9467284037987899	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27470493e-37]
0.59	0.9467191912215506	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27457125e-37]
0.6	0.9467109097746724	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27434451e-37]
0.61	0.9467034650831708	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27403414e-37]
0.62	0.9466967723727372	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27364864e-37]
0.6299999999999999	0.9466907554881692	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27319564e-37]
0.64	0.9466853460128676	100.0	100.0	0.0	0.0	0.0	0.0	[-5.272682e-37]
0.6499999999999999	0.9466804824788849	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27211387e-37]
0.66	0.9466761096581249	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27149679e-37]
0.6699999999999999	0.9466721779262801	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27083573e-37]
0.68	0.9466686426919743	100.0	100.0	0.0	0.0	0.0	0.0	[-5.27013516e-37]
0.69	0.946665463884375	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26939908e-37]
0.7	0.9466626054932411	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26863112e-37]
0.71	0.946660035156	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26783451e-37]
0.72	0.9466577237870102	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26701216e-37]
0.73	0.9466556452446744	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26616669e-37]
0.74	0.9466537760325151	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26530047e-37]
0.7499999999999999	0.9466520950307253	100.0	100.0	0.0	0.0	0.0	0.0	[-5.2644156e-37]
0.76	0.9466505832550691	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26351398e-37]
0.7699999999999999	0.9466492236403358	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26259733e-37]
0.78	0.9466480008458295	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26166718e-37]
0.7899999999999999	0.9466469010806429	100.0	100.0	0.0	0.0	0.0	0.0	[-5.26072492e-37]
0.8	0.9466459119466927	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25977179e-37]
0.8099999999999999	0.9466450222977059	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25880889e-37]
0.82	0.946644222112525	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25783725e-37]
0.83	0.946643502381275	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25685775e-37]
0.84	0.946642855003084	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25587121e-37]
0.85	0.9466422726941696	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25487837e-37]
0.86	0.9466417489052534	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25387987e-37]
0.87	0.946641277747338	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25287631e-37]
0.88	0.9466408539250057	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25186822e-37]
0.8899999999999999	0.9466404726764741	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25085607e-37]
0.9	0.9466401297197147	100.0	100.0	0.0	0.0	0.0	0.0	[-5.2498403e-37]
0.9099999999999999	0.9466398212040293	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24882128e-37]
0.9199999999999999	0.9466395436665241	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24779938e-37]
0.93	0.9466392939929841	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24677489e-37]
0.9400000000000001	0.9466390693827037	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24574809e-37]
0.95	0.9466388673168731	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24471925e-37]
0.96	0.9466386855301587	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24368859e-37]
0.9699999999999999	0.9466385219851541	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24265631e-37]
0.9800000000000001	0.9466383748494106	100.0	100.0	0.0	0.0	0.0	0.0	[-5.2416226e-37]
0.99	0.9466382424747891	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24058761e-37]
1.0	0.9466381233788916	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23955151e-37]
1.01	0.9466380162283707	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23851442e-37]
1.0199999999999998	0.946637919823923	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23747646e-37]
1.03	0.9466378330867932	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23643774e-37]
1.04	0.9466377550466396	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23539836e-37]
1.05	0.9466376848306269	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23435841e-37]
1.0599999999999998	0.9466376216536126	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23331796e-37]
1.0699999999999998	0.9466375648093266	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23227708e-37]
1.08	0.9466375136624371	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23123585e-37]
1.09	0.9466374676414185	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23019431e-37]
