# time of execution: 2022-05-29 16:07:41
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.612]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.3
# lambda=1e+16[W/m^3/K]
# gep=2.5e+17[W/m^3/K]
# factor cv_el=280[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 9.73741580952146e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:5.3e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=4e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0
0.01	0.999908567753342	100.0	100.0	0.0	0.0	0.0	0.0
0.02	0.9998173102225094	100.0	100.0	0.0	0.0	0.0	0.0
0.03	0.999726227014687	100.0	100.0	0.0	0.0	0.0	0.0
0.04	0.999635317738143	100.0	100.0	0.0	0.0	0.0	0.0
0.05	0.9995445820022253	100.0	100.0	0.0	0.0	0.0	0.0
0.06	0.9994540194173576	100.0	100.0	0.0	0.0	0.0	0.0
0.07	0.9993636295950351	100.0	100.0	0.0	0.0	0.0	0.0
0.08	0.9992734121478228	100.0	100.0	0.0	0.0	0.0	0.0
0.09	0.9991833666893507	100.0	100.0	0.0	0.0	0.0	0.0
0.1	0.9990934928343086	100.0	100.0	0.0	0.0	0.0	0.0
0.11	0.9990037901984457	100.0	100.0	0.0	0.0	0.0	0.0
0.12	0.9989142583985641	100.0	100.0	0.0	0.0	0.0	0.0
0.13	0.9988248970525171	100.0	100.0	0.0	0.0	0.0	0.0
0.14	0.998735705779204	100.0	100.0	0.0	0.0	0.0	0.0
0.15	0.9986466841985702	100.0	100.0	0.0	0.0	0.0	0.0
0.16	0.9985578319315982	100.0	100.0	0.0	0.0	0.0	0.0
0.17	0.9984691486003076	100.0	100.0	0.0	0.0	0.0	0.0
0.18	0.9983806338277517	100.0	100.0	0.0	0.0	0.0	0.0
0.19	0.9982922872380126	100.0	100.0	0.0	0.0	0.0	0.0
0.2	0.9982041084561986	100.0	100.0	0.0	0.0	0.0	0.0
0.21	0.9981160971084404	100.0	100.0	0.0	0.0	0.0	0.0
0.22	0.9980282528218878	100.0	100.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9979405752247057	100.0	100.0	0.0	0.0	0.0	0.0
0.24	0.9978530639460729	100.0	100.0	0.0	0.0	0.0	0.0
0.25	0.9977657186161744	100.0	100.0	0.0	0.0	0.0	0.0
0.26	0.9976785388662028	100.0	100.0	0.0	0.0	0.0	0.0
0.27	0.9975915243283525	100.0	100.0	0.0	0.0	0.0	0.0
0.28	0.9975046746358159	100.0	100.0	0.0	0.0	0.0	0.0
0.29	0.9974179894227806	100.0	100.0	0.0	0.0	0.0	0.0
0.3	0.9973314683244265	100.0	100.0	0.0	0.0	0.0	0.0
0.31	0.9972451109769224	100.0	100.0	0.0	0.0	0.0	0.0
0.32	0.9971589170174231	100.0	100.0	0.0	0.0	0.0	0.0
0.33	0.9970728860840642	100.0	100.0	0.0	0.0	0.0	0.0
0.34	0.996987017815961	100.0	100.0	0.0	0.0	0.0	0.0
0.35	0.9969013118532039	100.0	100.0	0.0	0.0	0.0	0.0
0.36	0.9968157678368548	100.0	100.0	0.0	0.0	0.0	0.0
0.37	0.9967303854089468	100.0	100.0	0.0	0.0	0.0	0.0
0.38	0.9966451642124776	100.0	100.0	0.0	0.0	0.0	0.0
0.39	0.9965601038914077	100.0	100.0	0.0	0.0	0.0	0.0
0.4	0.9964752040906566	100.0	100.0	0.0	0.0	0.0	0.0
0.41	0.9963904644561002	100.0	100.0	0.0	0.0	0.0	0.0
0.42	0.9963058846345687	100.0	100.0	0.0	0.0	0.0	0.0
0.43	0.9962214642738398	100.0	100.0	0.0	0.0	0.0	0.0
0.44	0.9961372030226405	100.0	100.0	0.0	0.0	0.0	0.0
0.45	0.9960531005306391	100.0	100.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9959691564484456	100.0	100.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9958853704276083	100.0	100.0	0.0	0.0	0.0	0.0
0.48	0.9958017421206077	100.0	100.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9957182711808565	100.0	100.0	0.0	0.0	0.0	0.0
0.5	0.9956349572626965	100.0	100.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9955518000213927	100.0	100.0	0.0	0.0	0.0	0.0
0.52	0.9954687991131338	100.0	100.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9953859541950261	100.0	100.0	0.0	0.0	0.0	0.0
0.54	0.9953032649250938	100.0	100.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9952207309622703	100.0	100.0	0.0	0.0	0.0	0.0
0.56	0.9951383519664033	100.0	100.0	0.0	0.0	0.0	0.0
0.57	0.9950561275982452	100.0	100.0	0.0	0.0	0.0	0.0
0.58	0.9949740575194527	100.0	100.0	0.0	0.0	0.0	0.0
0.59	0.9948921413925824	100.0	100.0	0.0	0.0	0.0	0.0
0.6	0.9948103788810911	100.0	100.0	0.0	0.0	0.0	0.0
0.61	0.9947287696493289	100.0	100.0	0.0	0.0	0.0	0.0
0.62	0.9946473133625394	100.0	100.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9945660096868542	100.0	100.0	0.0	0.0	0.0	0.0
0.64	0.9944848582892922	100.0	100.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9944038588377556	100.0	100.0	0.0	0.0	0.0	0.0
0.66	0.9943230110010255	100.0	100.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9942423144487639	100.0	100.0	0.0	0.0	0.0	0.0
0.68	0.9941617688515049	100.0	100.0	0.0	0.0	0.0	0.0
0.69	0.9940813738806548	100.0	100.0	0.0	0.0	0.0	0.0
0.7	0.9940011292084912	100.0	100.0	0.0	0.0	0.0	0.0
0.71	0.9939210345081554	100.0	100.0	0.0	0.0	0.0	0.0
0.72	0.993841089453654	100.0	100.0	0.0	0.0	0.0	0.0
0.73	0.9937612937198541	100.0	100.0	0.0	0.0	0.0	0.0
0.74	0.9936816469824795	100.0	100.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9936021489181105	100.0	100.0	0.0	0.0	0.0	0.0
0.76	0.9935227992041784	100.0	100.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9934435975189646	100.0	100.0	0.0	0.0	0.0	0.0
0.78	0.9933645435415982	100.0	100.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.993285636952051	100.0	100.0	0.0	0.0	0.0	0.0
0.8	0.9932068774311364	100.0	100.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9931282646605073	100.0	100.0	0.0	0.0	0.0	0.0
0.82	0.9930497983226534	100.0	100.0	0.0	0.0	0.0	0.0
0.83	0.9929714781008948	100.0	100.0	0.0	0.0	0.0	0.0
0.84	0.9928933036793828	100.0	100.0	0.0	0.0	0.0	0.0
0.85	0.9928152747430987	100.0	100.0	0.0	0.0	0.0	0.0
0.86	0.992737390977847	100.0	100.0	0.0	0.0	0.0	0.0
0.87	0.9926596520702552	100.0	100.0	0.0	0.0	0.0	0.0
0.88	0.9925820577077719	100.0	100.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9925046075786609	100.0	100.0	0.0	0.0	0.0	0.0
0.9	0.9924273013720022	100.0	100.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9923501387776862	100.0	100.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9922731194864146	100.0	100.0	0.0	0.0	0.0	0.0
0.93	0.9921962431896945	100.0	100.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9921195095798381	100.0	100.0	0.0	0.0	0.0	0.0
0.95	0.9920429183499585	100.0	100.0	0.0	0.0	0.0	0.0
0.96	0.9919664691939688	100.0	100.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.991890161806578	100.0	100.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9918139958832888	100.0	100.0	0.0	0.0	0.0	0.0
0.99	0.9917379711203952	100.0	100.0	0.0	0.0	0.0	0.0
1.0	0.9916620872149816	100.0	100.0	0.0	0.0	0.0	0.0
1.01	0.991586343864919	100.0	100.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9915107407688588	100.0	100.0	0.0	0.0	0.0	0.0
1.03	0.9914352776262376	100.0	100.0	0.0	0.0	0.0	0.0
1.04	0.9913599541372687	100.0	100.0	0.0	0.0	0.0	0.0
1.05	0.9912847700029433	100.0	100.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9912097249250259	100.0	100.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.991134818606052	100.0	100.0	0.0	0.0	0.0	0.0
1.08	0.9910600507493265	100.0	100.0	0.0	0.0	0.0	0.0
1.09	0.9909854210589214	100.0	100.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9909109292396721	100.0	100.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9908365749971768	100.0	100.0	0.0	0.0	0.0	0.0
1.12	0.9907623580377923	100.0	100.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.9906882780686326	100.0	100.0	0.0	0.0	0.0	0.0
1.14	0.990614334797566	100.0	100.0	0.0	0.0	0.0	0.0
1.15	0.9905405279332133	100.0	100.0	0.0	0.0	0.0	0.0
1.16	0.9904668571849452	100.0	100.0	0.0	0.0	0.0	0.0
1.1700000000000002	0.9903933222628792	100.0	100.0	0.0	0.0	0.0	0.0
1.18	0.990319922877879	100.0	100.0	0.0	0.0	0.0	0.0
1.19	0.9902466587415496	100.0	100.0	0.0	0.0	0.0	0.0
1.2	0.9901735295662374	100.0	100.0	0.0	0.0	0.0	0.0
