# time of execution: 2021-01-15 16:15:36
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.984]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.047
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=470[K]
### pulse paramters ###
# peak power:1e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.016260162601626	295.0	295.0	0	0	0	0
0.01	1.0161907301410151	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.016121603725481	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0160527819313667	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0159842633422134	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0159160465487198	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0158481301487023	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0157805127470525	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.015713192955695	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0156461693935548	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.01557944068651	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0155130054673565	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0154468623757709	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0153810100582663	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0153154471681565	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0152501723655214	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0151851843171604	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0151204816965615	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.015056063183862	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0149919274658097	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0149280732357275	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.014864499193477	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.01480120404542	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.014738186504382	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0146754452896196	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0146129791267804	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0145507867478694	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0144888668912122	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0144272183014218	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0143658397293636	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0143047299321157	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0142438876729427	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0141833117212546	295.0	295.0	0.0	0.0	0.0	0.0
