# time of execution: 2021-10-19 15:14:07
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=52
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.055
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:4.33e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998875378433871	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9997758915346355	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9996650548296104	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9995550215360899	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9994457855132789	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9993373406713336	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.999229680970881	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9991228004225583	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9990166930865416	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9989113530720879	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.998806774537084	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9987029516875927	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9985998787774122	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9984975501076331	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9983959600262036	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9982951029274995	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9981949732518989	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9980955654853564	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9979968741589919	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9978988938486721	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9978016191746056	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9977050448009355	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9976091654353437	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.997513975828651	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9974194707744267	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9973256451086017	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9972324937090832	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9971400114953765	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9970481934282076	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9969570345091536	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9968665297802735	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9967766743237417	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9966874632614914	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9965988917548548	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9965109550042136	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9964236482486439	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9963369667655747	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.996250905870444	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9961654609163582	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9960806272937599	295.0	295.0	0.0	0.0	0.0	0.0
