# time of execution: 2021-05-26 12:02:16
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.0295
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:1.48e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999395775663718	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9998793906777733	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9998194383650971	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9997597196635731	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9997002336127421	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9996409792564352	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9995819556427525	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9995231618240429	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9994645968568804	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9994062598020436	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.999348149724498	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9992902656933697	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9992326067819276	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9991751720675639	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9991179606317696	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9990609715601184	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9990042039422437	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9989476568718193	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9988913294465377	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9988352207680952	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9987793299421653	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9987236560783808	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9986681982903194	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9986129556954759	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9985579274152526	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.998503112574928	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9984485103036477	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.998394119734403	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9983399400040058	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9982859702530789	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9982322096260309	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9981786572710408	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.998125312340035	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9980721739886749	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9980192413763372	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9979665136660893	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9979139900246793	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9978616696225143	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9978095516336417	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9977576352357346	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.997705919610071	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9976544039415138	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9976030874185009	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9975519692330227	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9975010485806043	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9974503246602906	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9973997966746265	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9973494638296431	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9972993253348373	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9972493804031586	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9971996282509891	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9971500680981288	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9971006991677774	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9970515206865206	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9970025318843091	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9969537319944471	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9969051202535731	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9968566959016463	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9968084581819271	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9967604063409646	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9967125396285775	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9966648572978419	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.996617358605072	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9965700428098078	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.996522909174796	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9964759569659779	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9964291854524733	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.996382593906563	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9963361816036775	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9962899478223785	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.996243891844344	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.996198012954356	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9961523104402836	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9961067835930691	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9960614317067131	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9960162540782588	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9959712500077783	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9959264187983606	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9958817597560929	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9958372721900485	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.995792955412273	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9957488087377698	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9957048314844847	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9956610229732937	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9956173825279893	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9955739094752638	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9955306031446992	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9954874628687517	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9954444879827375	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.995401677824821	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9953590317359996	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9953165490600915	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9952742291437211	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9952320713363078	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9951900749900514	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9951482394599175	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9951065641036287	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.995065048281648	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9950236913571666	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9949824926960925	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9949414516670345	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9949005676412943	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9948598399928503	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9948192680983464	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.9947788513370786	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9947385890909833	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9946984807446247	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9946585256851833	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.9946187233024415	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9945790729887746	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9945395741391357	295.0	295.0	0.0	0.0	0.0	0.0
