# time of execution: 2021-06-25 17:07:26
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.035
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:2e+22[W/m^3]
# sigma=2.2e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998585269205201	293.33781436147245	294.9970161936684	8.858189494295857	-165042.25042139797	-9503.84451105939	-174554.9531219517
0.02	0.999721139378512	291.89549680662077	294.98855547245626	14.960175370244542	-307578.08138226916	-36452.33703396298	-344045.37859160267
0.03	0.9995874080875206	290.6462665086919	294.9753720670349	19.54037780956378	-430540.404289082	-78442.89826926078	-509002.8429361529
0.04	0.9994569617689701	289.56613635882576	294.9581256758783	22.968085383144853	-536490.1006171476	-133373.968583248	-669887.0372857793
0.05	0.9993294792338843	288.63388474294527	294.93739245274367	25.525847374883824	-627660.0196746613	-199410.05974915487	-827095.6052711917
0.06	0.9992046820893443	287.8307844151059	294.9136749641081	27.429074258705214	-705995.6882823317	-274950.0709719544	-980973.1883285457
0.07	0.9990823288623204	287.1403489320626	294.88741112406393	28.841430658769696	-773191.0218061218	-358598.8499929175	-1131818.7132296988
0.08	0.9989622099246693	286.54809468257844	294.8589821514934	29.886868343157175	-830719.9370347477	-449141.8599694786	-1279891.6838725703
0.09	0.9988441430907925	286.0413204303097	294.8287196196034	30.65897714720427	-879864.2468148308	-545522.7314973288	-1425417.6372893082
0.1	0.9987279698509842	285.6088782147187	294.7969116633905	31.301435903540778	-921738.0164474074	-646823.4927986684	-1568592.8106819815
0.11	0.9986135521964609	285.24100583411666	294.76380832789465	31.793677889904302	-957308.7471436221	-752247.5339738003	-1709588.0747953146
0.12	0.9985007697315917	284.9292493266798	294.72962660377215	32.1550253656053	-987416.7889143999	-861103.5657400358	-1848552.5096798036
0.13	0.9983895172331608	284.66622654110057	294.69455475774095	32.42039943474515	-1012792.182907844	-972791.8231882039	-1985616.426495485
0.14	0.9982797026067437	284.4454958397178	294.65875600768277	32.615803309575995	-1034068.9252383303	-1086792.3564302775	-2120893.897471919
