# time of execution: 2021-10-03 12:32:19
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.055
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:5.6e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998894098206313	292.3979388715865	294.9953237862789	21.06432468028288	-257989.67405331208	-14894.392845457987	-272905.13122345024
0.02	0.9997830123432966	290.15843857304054	294.9821126912924	35.77863551638802	-478426.2742368449	-56973.33050266709	-535435.3833750284
0.03	0.9996802610359615	288.23472020627173	294.9616065781366	46.642359407846925	-666608.6679779514	-122287.07714645083	-788942.3874838101
0.04	0.9995806922147674	286.5852088225331	294.93487986819486	54.63840996210911	-827105.4290050697	-207412.67273884008	-1034572.7401538716
0.05	0.9994839119028951	285.17315571678284	294.9028616945241	61.06242306069271	-963849.6384171643	-309389.8608915987	-1273300.5617318237
0.06	0.9993895857350337	283.9659447823021	294.8663528400637	66.14877715420971	-1080219.1478950677	-425667.21368097386	-1505952.5103531966
0.07	0.9992974293254172	282.93586094858904	294.82604331139055	69.86561047694204	-1179115.5609851272	-554046.201940327	-1733231.6285359329
0.08	0.9992072000135003	282.0587600109986	294.7825283132406	72.57517848107773	-1263034.8577945305	-692630.3390493778	-1955737.772022391
0.09	0.9991186906527258	281.3135835423682	294.7363206219397	74.54676636021259	-1334122.6572072809	-839785.7805309541	-2173982.984504595
0.1	0.999031724253897	280.68201601893315	294.6878614297835	75.97973872012108	-1394221.988676976	-994106.7847143142	-2388404.75313001
0.11	0.9989461492657831	280.1481653530407	294.6375297805301	77.02113913996118	-1444915.0068502096	-1154385.6551155634	-2599377.683104912
0.12	0.9988618359321556	279.69827290814663	294.5856510418212	77.77902272887331	-1487558.984397576	-1319585.7471667668	-2807222.5105870725
0.13	0.9987786730543369	279.32044894364975	294.5325042403387	78.3325146216871	-1523317.6816294205	-1488818.0956299223	-3012214.1097739665
0.14	0.9986965652401194	279.00443498307106	294.47832845030007	78.73935259366112	-1553188.499864608	-1661321.0567276797	-3214588.2959448826
0.15	0.9986154305671554	278.74139203986215	294.4233283437466	79.04151713921897	-1578025.9409665668	-1836442.6202331253	-3414547.602716829
0.16	0.9985351985970947	278.52371310358205	294.367679001328	79.26941693738672	-1598561.8444247267	-2013625.0775532222	-3612266.1913948846
0.17	0.9984558086867619	278.34485800461226	294.31153007373996	79.44498907999491	-1615422.821571064	-2192391.758869693	-3807894.025429835
0.18	0.9983772085511063	278.19920864796086	294.25500937526374	79.58398788654608	-1629145.258098971	-2372335.5800136533	-4001560.422100508
