# time of execution: 2022-05-03 12:45:55
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.04
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:5.3e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999939763537862	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999879681687377	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999819754049742	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9999759980227214	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9999700359823047	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999640892441567	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9999581577688111	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9999522415169034	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9999463404491746	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9999404545264655	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9999345837097188	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9999287279599798	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9999228872383946	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9999170615062113	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9999112507247783	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9999054548555464	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9998996738600625	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9998939076999767	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9998881563370384	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9998824197330964	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9998766978500995	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.999870990650095	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9998652980952262	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9998596201477408	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9998539567699799	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9998483079243847	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.999842673573493	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9998370536799396	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.99983144820646	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9998258571158811	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9998202803711301	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9998147179352317	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9998091697713033	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9998036358425612	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.999798116112316	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9997926105439736	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9997871191010339	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9997816417470945	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9997761784458465	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9997707291610747	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9997652938566568	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9997598724965685	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9997544650448765	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9997490714657402	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9997436917234139	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.999738325782243	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.999732973606667	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9997276351612177	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.999722310410519	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9997169993192861	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9997117018523268	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9997064179745396	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9997011476509134	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.999695890846531	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9996906475265637	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.999685417656273	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9996802012010106	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9996749981262211	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.999669808397435	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9996646319802746	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9996594688404501	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.999654318943763	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9996491822561014	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9996440587434418	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9996389483718525	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9996338511074865	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.999628766916586	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.99962369576548	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9996186376205857	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9996135924484073	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9996085602155348	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9996035408886473	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9995985344345086	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.99959354081997	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9995885600119679	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9995835919775257	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9995786366837504	295.0	295.0	0.0	0.0	0.0	0.0
