# time of execution: 2022-05-03 14:38:27
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.035
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:1.86e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999283384473905	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9998570082031448	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9997860076508023	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9997153351824741	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.999644989198791	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9995749681088556	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9995052703301869	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9994358942886756	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9993668384185314	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9992981011622332	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9992296809704831	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9991615763021549	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9990937856242464	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9990263074118318	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9989591401480135	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9988922823238753	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9988257324384363	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.998759488998601	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9986935505191168	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9986279155225245	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9985625825391156	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9984975501068828	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9984328167714799	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9983683810861728	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.998304241611797	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9982403969167118	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9981768455767586	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9981135861752157	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9980506173027552	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9979879375573983	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9979255455444759	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9978634398765838	295.0	295.0	0.0	0.0	0.0	0.0
