# time of execution: 2021-06-25 11:13:42
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.07
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:5.6e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998600246448964	291.70362619351357	294.9940674377994	33.42033978233803	-326484.81645342964	-18896.030250795717	-345414.2670440074
0.02	0.9997267511556336	288.8949431267367	294.9773793503028	56.57088761315481	-602139.4763338573	-72049.50751471163	-674245.5547361827
0.03	0.9995992287452764	286.50784716177134	294.951596839317	73.30373200515669	-834603.9829214675	-154168.64876842516	-988845.9354218981
0.04	0.9994766616261224	284.4834015863375	294.9181466933913	86.89047975575158	-1030389.0756849565	-260707.72997833014	-1291183.6961430428
0.05	0.9993583846393596	282.76964889832715	294.8782484156038	97.12127910311347	-1195025.4804904799	-387781.19108359836	-1582903.79285318
0.06	0.9992438396330852	281.32292147305947	294.83294557345965	104.43160176122183	-1333218.044559953	-532063.9001142395	-1865386.3762759515
0.07	0.9991325568780125	280.10519116813475	294.7831318969783	109.63225716676152	-1448975.1002786949	-690708.094941418	-2139792.8274772787
0.08	0.9990241399953214	279.08341083101897	294.729571011594	113.31710756386883	-1545709.20177074	-861280.5644940684	-2407103.0833723727
0.09	0.9989182543653438	278.22898001730516	294.6729142643964	115.91863461234425	-1626322.543112181	-1041705.880687749	-2668144.342434542
0.1	0.9988146172578084	277.5172425251125	294.6137163859578	117.7161669067591	-1693281.271464881	-1230216.510413241	-2923615.498045027
0.11	0.9987129894685849	276.92701442751155	294.5524492327047	118.96142956975382	-1748679.841179561	-1425309.0332192723	-3174107.835828398
