# time of execution: 2021-06-24 14:19:05
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.065
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:7e+21[W/m^3]
# sigma=1.8e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998697834741271	291.93434142346797	294.99448532081686	28.999683539713715	-303740.17404031643	-17565.01749087266	-321334.19121472887
0.02	0.9997453711923783	289.31347685727997	294.97895037384484	49.15570241280102	-561211.4219234162	-67045.64134657472	-628306.2189724034
0.03	0.9996259618799609	287.0780967981676	294.9549122214199	63.82762596129487	-779225.2925529989	-143608.99620624675	-922898.1163852061
0.04	0.9995108816745212	285.1755548131187	294.92367803968676	75.20192979698413	-963610.7926567212	-243090.49003614223	-1206776.4846226603
0.05	0.9993995642461799	283.5588273498494	294.8863695434612	84.30554061719022	-1119341.3013027294	-361916.18369254994	-1481341.7905358959
0.06	0.9992915329271046	282.1881896983124	294.84394803618056	90.8654468217128	-1250658.6754319735	-497023.10600796575	-1747772.6468867627
0.07	0.9991863848288035	281.0292265486895	294.7972390262161	95.57427608854096	-1361188.659792188	-645780.9076481116	-2007065.1417163897
0.08	0.9990837790380598	280.0519620160798	294.7469502986694	98.9426075910701	-1454028.7984131156	-805934.3306550146	-2260062.0716757234
0.09	0.9989834264052968	279.2303808967022	294.693687483599	101.34488068136989	-1531823.2431460926	-975553.6326463174	-2507478.2206730945
0.1	0.9988850816784507	278.5419817557164	294.63796811405285	103.05434021924202	-1596826.9701152544	-1152989.809021306	-2749919.833476784
0.11	0.9987885366272026	277.9673566238507	294.5802338517619	104.26947100515235	-1650961.71736024	-1336835.6440691596	-2987901.6309004077
0.12	0.9986936142539813	277.48981743422667	294.5208611654488	105.10870974490945	-1695864.3368059036	-1525891.686793329	-3221861.132308981
0.13	0.9986001639188326	277.0950292622489	294.4601706347842	105.7068136071207	-1732928.4052450715	-1719136.6025800689	-3452170.714638753
0.14	0.9985080572821368	276.7706882555717	294.3984349048978	106.13764924780116	-1763339.686546725	-1915701.8226782733	-3679147.6468742527
0.15	0.9984171848650948	276.50626720861686	294.3358856109599	106.45223548519061	-1788106.6679988452	-2114849.4748080974	-3903062.5950424355
0.16	0.9983274531422914	276.29277011004814	294.2727193633991	106.68677302303058	-1808086.8165756257	-2315953.3069119346	-4124146.81026059
0.17	0.9982387820909967	276.1225174610915	294.20910288793766	106.86680318982235	-1824009.0156264675	-2518482.304274567	-4342598.186704231
0.18	0.9981511031236107	275.98895946336745	294.14517743204084	107.01022924982772	-1836492.7168509671	-2721986.644637515	-4558586.371717733
0.19	0.9980643573419516	275.88651409587555	294.08106253683195	107.12950374210322	-1846064.2746266911	-2926085.675764122	-4772257.079894556
0.2	0.997978494062202	275.81042722732644	294.01685926175327	107.23320673776016	-1853170.8672343942	-3130457.6373775615	-4983735.737818693
0.21	0.9978934695677324	275.75665209974994	293.9526529383978	107.3271808304662	-1858192.3542687276	-3334830.8839068604	-5193130.565356413
0.22	0.9978092460539854	275.72174574281865	293.88851552010993	107.4153445788047	-1861451.3710116646	-3538976.3957856675	-5400535.182141908
0.22999999999999998	0.9977257907353706	275.7027801150796	293.82450758514256	107.50027340534325	-1863221.9181911107	-3742701.395113168	-5606030.81357768
0.24	0.9976430750889556	275.6972660043514	293.7606800433322	107.58361281380348	-1863736.6687358462	-3945843.9064031434	-5809688.158751801
0.25	0.9975610742137314	275.70308794597287	293.6970755893697	107.66637104630786	-1863193.1812659518	-4148268.1250990373	-6011568.972736037
0.26	0.9974797662876029	275.7184486290346	293.63372993971535	107.74912531846326	-1861759.182550087	-4349860.475751616	-6211727.40742702
