# time of execution: 2021-06-24 14:29:36
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.06
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:7e+21[W/m^3]
# sigma=1.8e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998795784787095	292.165778116779	294.9949041028506	24.88008093010876	-280908.59243701334	-16231.140880382442	-297164.6133983261
0.02	0.9997641245316765	289.73463580402046	294.98052814163736	42.221993243771976	-519974.61915948754	-62020.288963094696	-582037.1301158264
0.03	0.9996529714563467	287.65370206882017	294.95824874175025	54.935227584687254	-723229.6178959411	-132981.99460791604	-856266.5477314414
0.04	0.9995455560463229	285.87608251324974	294.9292555041933	64.27027125508766	-895855.1120853192	-225326.30094873568	-1121245.6833053092
0.05	0.9994414022650633	284.3599327761203	294.89457350306475	72.27511505139	-1042292.1369850066	-335787.2281100129	-1378151.6402100697
0.06	0.9993401080673094	283.06909477985096	294.8550830181205	78.09196947161945	-1166340.3639094995	-461560.0106819109	-1627978.466560879
0.07	0.9992413323647331	281.9726327053754	294.81154159491587	82.3049065017035	-1271256.2327529201	-600230.8857634765	-1871569.4234228947
0.08	0.9991447854145795	281.04353838610103	294.7646007982119	85.34725562271706	-1359831.6768262335	-749723.7589210601	-2109640.783002912
0.09	0.9990502207548788	280.2583134044305	294.7148201181739	87.53897340384219	-1434458.3310189203	-908255.9221507576	-2342801.79214308
0.1	0.9989574283614735	279.5965739996593	294.66267919739335	89.11525757587242	-1497183.3819178923	-1074299.1094773852	-2571571.6066528526
0.11	0.9988662292489012	279.0406865663654	294.60858877800365	90.24826532103361	-1549757.781665917	-1246544.622819338	-2796392.6527505736
0.12	0.9987764707313874	278.57543113159176	294.5529002010575	91.06350406998445	-1593678.2220070108	-1423873.0654389483	-3017642.3509500274
0.13	0.9986880224211657	278.187696575898	294.4959136857371	91.65211152992924	-1630223.4017854084	-1605327.9601171957	-3235643.0140141323
0.14	0.9986007728471504	277.86620758693107	294.43788552118144	92.07772824080848	-1660485.3009604695	-1790092.8303575187	-3450670.2090462265
0.15	0.9985146265919499	277.60128679057976	294.3790343050728	92.38394196541049	-1685396.1344055347	-1977471.3181833478	-3662959.8365308433
0.16	0.9984295018715197	277.3846272074505	294.3195463275331	92.61375591959177	-1705751.4752390326	-2166870.0250408896	-3872714.114035837
0.17	0.9983453284954372	277.2091092477521	294.259580187446	92.79062240646454	-1722230.0290855442	-2357783.798552171	-4080106.618260116
0.18	0.9982620461288565	277.0686394980937	294.1992707897634	92.93118227971172	-1735410.6574432338	-2549782.992089814	-4285286.580715326
0.19	0.9981796028178967	276.95800665476077	294.1387327823994	93.04716884076242	-1745786.9741874812	-2742502.5104734264	-4488382.531829738
0.2	0.9980979537388781	276.8727566406667	294.0780635046808	93.14679306383573	-1753779.8322194333	-2935632.4125069254	-4689505.391519411
0.21	0.9980170601367861	276.80908464309414	294.01734551410703	93.23574843703796	-1759747.9984723248	-3128909.857628091	-4888751.091848841
0.22	0.997936888423888	276.76374199188626	293.9566487497973	93.31793768078387	-1763997.2752179187	-3322112.2106386265	-5086202.803794212
