# time of execution: 2021-06-24 14:35:33
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.055
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:7e+21[W/m^3]
# sigma=1.8e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998894098206323	292.3979388715865	294.9953237862789	21.064324680282425	-257989.67405331173	-14894.392845457987	-272905.13122345
0.02	0.9997830123432985	290.15843857304054	294.9821126912924	35.778635516390295	-478426.27423684363	-56973.33050266709	-535435.3833750271
0.03	0.9996802610359636	288.23472020627173	294.9616065781366	46.64235940784374	-666608.667977949	-122287.07714645083	-788942.387483808
0.04	0.9995806922147686	286.5852088225331	294.93487986819486	54.63840996210547	-827105.4290050667	-207412.67273884008	-1034572.7401538689
0.05	0.9994839119028969	285.17315571678284	294.9028616945241	61.06242306068725	-963849.6384171606	-309389.8608915987	-1273300.5617318205
0.06	0.999389585735036	283.96594478230213	294.8663528400637	66.14877715420334	-1080219.1478950635	-425667.2136809737	-1505952.5103531925
0.07	0.9992974293254192	282.9358609485891	294.82604331139055	69.86561047693749	-1179115.560985123	-554046.2019403259	-1733231.6285359273
0.08	0.9992072000135026	282.05876001099864	294.7825283132406	72.5751784810709	-1263034.8577945263	-692630.3390493761	-1955737.7720223845
0.09	0.999118690652728	281.31358354236824	294.7363206219397	74.54676636020577	-1334122.6572072767	-839785.7805309511	-2173982.9845045866
0.1	0.9990317242538986	280.6820160189332	294.6878614297835	75.97973872011562	-1394221.988676972	-994106.7847143102	-2388404.7531300015
0.11	0.9989461492657842	280.1481653530408	294.6375297805301	77.02113913995117	-1444915.0068502056	-1154385.6551155583	-2599377.683104903
0.12	0.9988618359321567	279.6982729081467	294.5856510418212	77.77902272886422	-1487558.9843975722	-1319585.747166761	-2807222.5105870636
0.13	0.9987786730543375	279.3204489436498	294.5325042403387	78.33251462168005	-1523317.6816294172	-1488818.0956299156	-3012214.1097739576
0.14	0.9986965652401186	279.0044349830711	294.47832845030007	78.7393525936518	-1553188.4998646053	-1661321.0567276715	-3214588.295944874
0.15	0.9986154305671548	278.7413920398622	294.4233283437466	79.0415171392101	-1578025.940966565	-1836442.620233117	-3414547.6027168212
0.16	0.9985351985970948	278.5237131035821	294.367679001328	79.2694169373749	-1598561.844424725	-2013625.0775532138	-3612266.1913948767
0.17	0.998455808686762	278.3448580046123	294.31153007373996	79.4449890799865	-1615422.8215710623	-2192391.7588696824	-3807894.0254298267
0.18	0.9983772085511061	278.19920864796086	294.25500937526374	79.58398788653994	-1629145.2580989695	-2372335.580013642	-4001560.4221004997
0.19	0.998299353039721	278.0819425903798	294.1982259823248	79.69766954193801	-1640188.2115004815	-2553109.1668273844	-4193377.075997409
0.2	0.9982222030946643	277.98892299432	294.14127290187895	79.79402850041697	-1648944.4895669997	-2734416.3505661865	-4383440.6341616865
0.21	0.9981457248623224	277.9166031107741	294.0842293668655	79.87859831265837	-1655750.1598223553	-2916004.851952161	-4571834.89037283
0.22	0.9980698889360811	277.861943767083	294.0271628094333	79.95516802775978	-1660892.7085809654	-3097659.9922974794	-4758632.656046477
0.22999999999999998	0.9979946697105767	277.82234124112114	293.9701305550754	80.02689082676739	-1664618.034216156	-3279199.2942171176	-4943897.355324106
0.24	0.9979200448311655	277.7955658935069	293.9131812754519	80.09555812132976	-1667136.4377536427	-3460467.8515188387	-5127684.384830609
0.25	0.9978459947236472	277.7797091588123	293.8563562357507	80.16236922185544	-1668627.7587332532	-3641334.353998194	-5310042.275100672
0.26	0.9977725021928112	277.77313773751246	293.79969036407385	80.22810712833484	-1669245.774319642	-3821687.679515952	-5491013.681942722
0.27	0.9976995520797021	277.77445422187867	293.74321316773563	80.29326479727115	-1669121.965421404	-4001433.974041579	-5670636.2327277735
0.28	0.9976271309689438	277.7824632800776	293.6869495181195	80.35813544065809	-1668368.7402363538	-4180494.150630381	-5848943.249002168
0.29	0.9975552269387689	277.7961426342061	293.6309203227648	80.4228767708596	-1667082.1929126484	-4358801.74783835	-6025964.363627758
0.3	0.9974838293474682	277.8146181674481	293.5751431007446	80.48755642718015	-1665344.4640271747	-4536301.096361085	-6201726.04794467
0.31	0.9974129286509356	277.83714258364296	293.5196324751532	80.55218385447256	-1663225.7601106656	-4712945.749858793	-6376252.062153297
0.32	0.9973425162467495	277.86307712011035	293.4644005945676	80.6167324643286	-1660786.0812946511	-4888697.142133209	-6549563.8401603075
0.33	0.9972725843409154	277.89187588255277	293.4094574936764	80.68115485672342	-1658076.6991428733	-5063523.438176625	-6721680.818474339
0.34	0.9972031258339524	277.9230724301668	293.3548114018148	80.74539311139256	-1655141.4207048663	-5237398.551227545	-6892620.717325507
0.35	0.9971341342235325	277.95626824894515	293.30046900686756	80.80949066947505	-1652017.669399768	-5410301.302058499	-7062399.780948918
0.36	0.9970656035213041	277.9911229127521	293.2464356764858	80.87445187898106	-1648737.4088894278	-5582214.699476576	-7231032.98281786
0.37	0.9969975281816524	278.02734580651486	293.1927155638992	80.94238937322984	-1645327.9347549097	-5753125.324300884	-7398534.201445141
0.38	0.9969299030407688	278.06468883979176	293.13931192356137	81.00986749627509	-1641812.5517487512	-5923022.809103822	-7564916.370720045
0.39	0.9968627232645487	278.10294029313684	293.0862272340842	81.07683733938666	-1638211.1513491157	-6091899.380278403	-7730191.608464834
0.4	0.9967959843040267	278.1419195495903	293.03346327868223	81.14325609566868	-1634540.7063035688	-6259749.4768285975	-7894371.326388238
0.41	0.9967296818572511	278.1814725870416	292.98102124845013	81.20908694175205	-1630815.6936393285	-6426569.421428341	-8057466.324154587
0.42	0.99666381183666	278.221468122749	292.9289018306695	81.27429871422419	-1627048.4564016657	-6592357.139180586	-8219486.869880946
0.43	0.9965983703411527	278.26179431586985	292.8771052843091	81.33886547201314	-1623249.5129945448	-6757111.9171733	-8380442.769033297
0.44	0.9965333536321895	278.3023559473788	292.8256315045736	81.40276600585844	-1619427.8217133519	-6920834.198926634	-8540343.423405979
0.45	0.9964687581133237	278.3430720083597	292.7744800780858	81.46598333508882	-1615591.0069606695	-7083525.408679421	-8699197.881623406
0.45999999999999996	0.9964045803126748	278.38387363759614	292.72365033005707	81.52850421705534	-1611745.5526960373	-7245187.801193777	-8857014.882394014
0.47000000000000003	0.9963408168679082	278.4247023579227	292.6731413646087	81.59031868451598	-1607896.9678667057	-7405824.333381904	-9013802.891567273
0.48	0.9962774645133732	278.46550856807744	292.6229520992325	81.65141961929658	-1604049.9278785833	-7565438.554594137	-9169570.133892316
0.49000000000000005	0.9962145200690684	278.50625025306744	292.5730812942439	81.71180236586315	-1600208.395578533	-7724034.51286486	-9324324.62024574
0.5	0.9961519804311822	278.5468918813964	292.5235275779482	81.77146438553109	-1596375.724716132	-7881616.674804588	-9478074.170985084
0.5099999999999999	0.9960898425639796	278.5874034620865	292.474289468142	81.83040495001705	-1592554.748422995	-8038189.857160971	-9630826.435988888
0.52	0.9960281034928362	278.6277597383454	292.42536539048444	81.88862487199117	-1588747.8548799106	-8193759.168358227	-9782588.911862982
0.5299999999999999	0.9959667602982516	278.6679394980793	292.37675369418645	81.94612626959133	-1584957.0520275452	-8348329.958569181	-9933368.956722967
0.54	0.9959058101107103	278.70792498432286	292.3284526654112	82.0029123617237	-1581184.0229075965	-8501907.777083514	-10083173.80290345
0.5499999999999999	0.9958452501062575	278.74770139110996	292.2804605387105	82.05898729086653	-1577430.172991313	-8654498.335915122	-10232010.567893708
0.56	0.99578507750269	278.78725643239835	292.2327755067919	82.11435597020204	-1573696.6706556964	-8806107.478744369	-10379886.263756026
0.57	0.9957252895562767	278.8265799734717	292.1853957288465	82.16902395219176	-1569984.4817995657	-8956741.154422233	-10526807.80524575
0.58	0.9956658835589308	278.86566371576004	292.1383193376569	82.22299731584417	-1566294.3994479547	-9106405.394375186	-10672782.016820448
0.59	0.995606856835762	278.9045009273422	292.0915444456546	82.27628257025549	-1562627.0690703867	-9255106.293345358	-10817815.638698306
0.6	0.9955482067429624	278.94308621250855	292.0450691500815	82.32888657226317	-1558983.0102334523	-9402849.99298281	-10961915.332102835
0.61	0.9954899306659742	278.98141531473107	291.9988915373861	82.38081645626244	-1555362.6351183006	-9549642.66787612	-11105087.683810871
0.62	0.9954320260179016	279.019484948193	291.95300968696563	82.43207957451318	-1551766.264356762	-9695490.513667878	-11247339.210104214
0.6299999999999999	0.9953744902381242	279.0572926537487	291.90742167434564	82.4826834464493	-1548194.140574148	-9840399.736952841	-11388676.360210443
0.64	0.9953173207910978	279.0948366757708	291.8621255738821	82.53263571569983	-1544646.4399705725	-9984376.546699973	-11529105.519306269
0.6499999999999999	0.9952605151652919	279.13211585686054	291.81711946105463	82.58194411374711	-1541123.2822246102	-10127427.146977348	-11668633.011146082
0.66	0.9952040708722746	279.1691295478351	291.7724014144088	82.63061642920411	-1537624.7389619916	-10269557.730790772	-11807265.10036921
0.6699999999999999	0.9951479854458964	279.2058775307776	291.72796951719977	82.67866048193969	-1534150.840996932	-10410774.47487437	-11945007.9945318
0.68	0.9950922564415757	279.2423599532604	291.68382185877886	82.72608410131375	-1530701.5845236348	-10551083.535294896	-12081867.845902648
0.69	0.995036881435663	279.27857727212216	291.63995653576416	82.7728951079007	-1527276.9364098322	-10690491.04375135	-12217850.753056312
0.7	0.9949818580248824	279.3145302054178	291.59637165302274	82.81910129821176	-1523876.8387221817	-10829003.104468836	-12352962.762292325
0.71	0.9949271838258207	279.35021969135505	291.55306532449123	82.8647104319532	-1520501.212594697	-10966625.791600036	-12487209.86890517
0.72	0.9948728564744841	279.38564685320625	291.5100356738642	82.90973022144044	-1517149.961535153	-11103365.147060351	-12620598.018325742
0.73	0.9948188736258867	279.4208129693354	291.46728083516365	82.95416832283286	-1513822.9742507339	-11239227.17873352	-12753133.107152592
