# time of execution: 2020-10-29 13:44:15
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.984]
### sample paramters ###
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.33
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=470[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.016260162601626	295.0	295.0	0	0	0	0
0.01	1.0157311779626004	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0152199290140724	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0147257901894524	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0142481597715964	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0137864588791343	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.013340130502021	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0129086385835544	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.012491467146281	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.012088119459391	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0116981172453254	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0113209999234833	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0109563238890378	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0106036618249918	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.010262602045721	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0099327478703504	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0096137170244142	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0093051410683427	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0090066648514082	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0087179459898175	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0084386543677575	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0081684716602302	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0079070908765957	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.007654215923806	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0074095611883627	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0071728511360913	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0069438199288643	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0067222110574705	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0065077769898536	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0063002788339988	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0060994860147743	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0059051759640818	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0057171338236979	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.005535152160215	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0053590306915432	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0051885760244295	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0050236014025131	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0048639264644321	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.004709377011541	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.004559784784806	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0044149872504828	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0042748273941848	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0041391535229705	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0040078190751278	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0038806824372906	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0037576067686016	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0036384598316044	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0035231138295853	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0034114452501	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0033033347144147	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0031986668326203	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0030973300641932	295.0	295.0	0.0	0.0	0.0	0.0
