# time of execution: 2020-10-29 00:43:48
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.33
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=470[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.999999951554581	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.999999909443629	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.999999872838882	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.999999841020378	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9999998133622923	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9999997893206302	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9999997684225268	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9999997502569474	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9999997344666022	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9999997207409177	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9999997088099295	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9999996984389727	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9999996894240661	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9999996815878998	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9999996747763485	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9999996688554383	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9999996637087142	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9999996592349482	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9999996553461471	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9999996519658243	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9999996490274949	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.999999646473365	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9999996442531984	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9999996423233303	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9999996406458009	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9999996391876161	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9999996379200948	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9999996368183084	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9999996358605842	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9999996350280878	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9999996343044455	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9999996336754204	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9999996331286437	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.999999632653362	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9999996322402241	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9999996318811063	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9999996315689453	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9999996312976008	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9999996310617364	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9999996308567108	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9999996306784934	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9999996305235795	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9999996303889214	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9999996302718701	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9999996301701234	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9999996300816806	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9999996300048023	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.999999629937977	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9999996298798888	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9999996298293966	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9999996297855053	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9999996297473529	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9999996297141897	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9999996296853624	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.999999629660304	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9999996296385226	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9999996296195891	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9999996296031332	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9999996295888266	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9999996295763912	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.999999629565582	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.999999629556186	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9999996295480194	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.99999962954092	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9999996295347489	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9999996295293849	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9999996295247223	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9999996295206693	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9999996295171459	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9999996295140828	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.999999629511421	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9999996295091069	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9999996295070949	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9999996295053466	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9999996295038268	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9999996295025055	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9999996295013572	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9999996295003591	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9999996294994912	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9999996294987371	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.999999629498081	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9999996294975116	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9999996294970162	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9999996294965857	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9999996294962111	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9999996294958856	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9999996294956036	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9999996294953571	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9999996294951443	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9999996294949581	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9999996294947966	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9999996294946568	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.999999629494535	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9999996294944259	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9999996294943371	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9999996294942546	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.999999629494188	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9999996294941214	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9999996294940744	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.99999962949403	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9999996294939856	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9999996294939466	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9999996294939244	295.0	295.0	0.0	0.0	0.0	0.0
