# time of execution: 2020-10-29 10:36:01
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.33
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=470[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999708481413063	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999436645550611	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9999183161741778	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9998946789479634	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9998726372287764	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.999852083200699	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9998329163473108	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9998150429558514	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9997983756552613	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9997828329857605	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9997683389977915	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9997548228783097	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9997422186025295	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9997304646093872	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9997195034990946	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9997092817512535	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9996997494621535	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9996908600999002	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9996825702761899	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9996748395335767	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9996676301471775	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9996609069398282	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9996546371097786	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9996487900700697	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9996433372987936	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.999638252199505	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9996335099710815	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9996290874864089	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.99962496317926	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9996211169388524	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9996175300115262	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.999614184909082	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9996110653233166	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.999608156046338	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9996054428962724	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9996029126479895	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9996005529685144	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9995983523568042	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9995963000875906	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9995943861590233	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.999592601243846	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9995909366438721	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.999589384247536	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9995879364903106	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9995865863177961	295.0	295.0	0.0	0.0	0.0	0.0
