# time of execution: 2020-10-13 11:26:13
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 0.96944]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# asf=0.024
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:1.32e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9999975396126564	295.0	295.0
0.02	0.999995110364138	295.0	295.0
0.03	0.9999927118601789	295.0	295.0
0.04	0.9999903437115041	295.0	295.0
0.05	0.9999880055337754	295.0	295.0
0.06	0.9999856969475245	295.0	295.0
0.07	0.9999834175780896	295.0	295.0
0.08	0.9999811670555588	295.0	295.0
0.09	0.9999789450147062	295.0	295.0
0.1	0.9999767510949344	295.0	295.0
0.11	0.9999745849402149	295.0	295.0
0.12	0.9999724461990304	295.0	295.0
0.13	0.9999703345243167	295.0	295.0
0.14	0.9999682495734077	295.0	295.0
0.15	0.9999661910079788	295.0	295.0
0.16	0.9999641584939905	295.0	295.0
0.17	0.9999621517016373	295.0	295.0
0.18	0.9999601703052913	295.0	295.0
0.19	0.9999582139834494	295.0	295.0
0.2	0.9999562824186816	295.0	295.0
0.21	0.9999543752975799	295.0	295.0
0.22	0.9999524923107064	295.0	295.0
0.22999999999999998	0.9999506331525431	295.0	295.0
0.24	0.9999487975214414	295.0	295.0
0.25	0.9999469851195747	295.0	295.0
0.26	0.9999451956528888	295.0	295.0
0.27	0.9999434288310545	295.0	295.0
0.28	0.9999416843674207	295.0	295.0
0.29	0.9999399619789657	295.0	295.0
0.3	0.9999382613862532	295.0	295.0
0.31	0.9999365823133871	295.0	295.0
0.32	0.9999349244879657	295.0	295.0
0.33	0.9999332876410371	295.0	295.0
0.34	0.999931671507055	295.0	295.0
0.35	0.9999300758238381	295.0	295.0
0.36	0.9999285003325242	295.0	295.0
0.37	0.9999269447775311	295.0	295.0
0.38	0.9999254089065115	295.0	295.0
0.39	0.9999238924703154	295.0	295.0
0.4	0.9999223952229487	295.0	295.0
0.41	0.9999209169215317	295.0	295.0
0.42	0.999919457326261	295.0	295.0
0.43	0.9999180162003687	295.0	295.0
0.44	0.9999165933100878	295.0	295.0
0.45	0.9999151884246092	295.0	295.0
0.45999999999999996	0.9999138013160487	295.0	295.0
