# time of execution: 2020-10-22 11:25:29
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9994468954600927	295.0	295.0
0.02	0.9989040842125242	295.0	295.0
0.03	0.9983713624480123	295.0	295.0
0.04	0.9978485308289949	295.0	295.0
0.05	0.9973353943761449	295.0	295.0
0.06	0.9968317623582942	295.0	295.0
0.07	0.996337448185649	295.0	295.0
0.08	0.9958522693061744	295.0	295.0
0.09	0.9953760471050508	295.0	295.0
0.1	0.9949086068070729	295.0	295.0
0.11	0.9944497773819191	295.0	295.0
0.12	0.9939993914521618	295.0	295.0
0.13	0.9935572852039543	295.0	295.0
0.14	0.9931232983002772	295.0	295.0
0.15	0.992697273796676	295.0	295.0
0.16	0.9922790580593991	295.0	295.0
0.17	0.9918685006858516	295.0	295.0
0.18	0.9914654544272997	295.0	295.0
0.19	0.9910697751137404	295.0	295.0
0.2	0.9906813215808645	295.0	295.0
0.21	0.990299955599057	295.0	295.0
0.22	0.9899255418043531	295.0	295.0
0.22999999999999998	0.9895579476312957	295.0	295.0
0.24	0.98919704324763	295.0	295.0
0.25	0.9888427014907759	295.0	295.0
0.26	0.9884947978060238	295.0	295.0
0.27	0.9881532101863933	295.0	295.0
0.28	0.9878178191141113	295.0	295.0
0.29	0.9874885075036488	295.0	295.0
0.3	0.9871651606462736	295.0	295.0
0.31	0.9868476661560717	295.0	295.0
0.32	0.9865359139173853	295.0	295.0
0.33	0.9862297960336346	295.0	295.0
0.34	0.9859292067774714	295.0	295.0
