# time of execution: 2020-10-12 09:57:16
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 0.96944]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# asf=0.036
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9999963211208153	295.0	295.0
0.02	0.9999927118602021	295.0	295.0
0.03	0.9999891709001357	295.0	295.0
0.04	0.9999856969475687	295.0	295.0
0.05	0.9999822887339523	295.0	295.0
0.06	0.999978945014772	295.0	295.0
0.07	0.9999756645690947	295.0	295.0
0.08	0.9999724461991171	295.0	295.0
0.09	0.9999692887297285	295.0	295.0
0.1	0.9999661910080827	295.0	295.0
0.11	0.9999631519031715	295.0	295.0
0.12	0.9999601703054117	295.0	295.0
0.13	0.9999572451262412	295.0	295.0
0.14	0.9999543752977155	295.0	295.0
0.15	0.999951559772121	295.0	295.0
0.16	0.9999487975215887	295.0	295.0
0.17	0.9999460875377195	295.0	295.0
0.18	0.9999434288312135	295.0	295.0
0.19	0.9999408204315083	295.0	295.0
0.2	0.999938261386423	295.0	295.0
0.21	0.9999357507618113	295.0	295.0
0.22	0.9999332876412178	295.0	295.0
0.22999999999999998	0.9999308711255428	295.0	295.0
0.24	0.9999285003327133	295.0	295.0
0.25	0.9999261743973643	295.0	295.0
0.26	0.9999238924705133	295.0	295.0
0.27	0.9999216537192578	295.0	295.0
0.28	0.9999194573264667	295.0	295.0
0.29	0.9999173024904807	295.0	295.0
0.3	0.9999151884248225	295.0	295.0
0.31	0.9999131143579046	295.0	295.0
0.32	0.9999110795327506	295.0	295.0
0.33	0.9999090832067163	295.0	295.0
0.34	0.9999071246512196	295.0	295.0
0.35	0.9999052031514726	295.0	295.0
0.36	0.99990331800622	295.0	295.0
0.37	0.9999014685274857	295.0	295.0
0.38	0.9998996540403157	295.0	295.0
