# time of execution: 2021-01-30 17:36:36
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.095
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:7.5e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0317255610007738	295.0	295.0	0	0	0	0
0.01	1.0313140480621303	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.030908059568091	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0305075165528679	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0301123413031135	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0297224573348984	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0293377893711995	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0289582633198648	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0285838062520654	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0282143463812055	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0278498130422877	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0274901366717164	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0271352487875391	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0267850819700934	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0264395698430768	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0260986470550062	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0257622492610707	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0254303131053606	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0251027762034661	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0247795771254415	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0244606553791156	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0241459513937472	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0238354065040212	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0235289629343596	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0232265637835647	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.022928153009767	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0226336754156766	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0223430766341348	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0220563031139525	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0217733021060353	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0214940216497808	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.021218410559748	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0209464184125898	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0206779955342438	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0204130929873718	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0201516625590505	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0198936567486974	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0196390287562276	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.019387732470452	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.01913972245769	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0188949539505998	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0186533828372326	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0184149656502821	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0181796595565504	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0179474223466094	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0177182124246535	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.017491988798554	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.017268711070085	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.017048339425349	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0168308346253654	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0166161579968482	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0164042714231436	295.0	295.0	0.0	0.0	0.0	0.0
