# time of execution: 2021-01-30 16:52:16
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.11
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:7e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0317255610007738	295.0	295.0	0	0	0	0
0.01	1.031249579381277	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0307809877153957	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0303196638778387	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0298654879815035	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0294183423299719	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0289781113712122	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.028544681652431	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.028117941776059	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0276977823568167	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0272840959798537	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0268767771599092	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0264757223014747	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.026080829659928	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0256919993036093	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0253091330768147	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0249321345636797	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.024560909052927	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0241953635034546	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0238354065107413	295.0	295.0	0.0	0.0	0.0	0.0
