# time of execution: 2021-01-30 18:04:41
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.19
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000383671837	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.00000007578023	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000001122628677	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000001478382352	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000001825288942	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000002163568458	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000002493435454	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000002815099123	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.000000312876347	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0000003434627438	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000003732885	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000004023725326	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.000000430733287	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000004583887496	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.00000048535646	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000005116535222	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.000000537296613	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.000000562301996	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000005866855304	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000006104626809	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.000000633648529	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.000000656257776	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000006783047626	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000006998034727	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000007207675403	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.00000074121026	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000007611445982	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000007805831972	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000007995383848	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.000000818022183	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000008360463164	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000008536222138	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000008707610226	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000008874736148	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000009037705888	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000009196622797	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000009351587646	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000009502698732	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000009650051913	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000009793740612	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000009933855964	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.000001007048685	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000010203719907	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000010333639648	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000010460328483	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000010583866727	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.000001070433275	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000010821802954	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0000010936351826	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0000011048052024	295.0	295.0	0.0	0.0	0.0	0.0
