# time of execution: 2021-01-28 15:16:59
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.23
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000463220995	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000912533915	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.000000134835634	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000001771093312	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.000000218113773	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000002578870677	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000002964661796	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.000000333886964	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000003701841986	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0000004053916192	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.000000439541946	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000004726669172	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000005047973193	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.000000535963015	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000566192968	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000005955152742	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000006239571857	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000006515451354	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000006783047626	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.000000704260938	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.000000729437786	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.000000753858705	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000007775463917	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.000000800522861	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.000000822809467	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000008444269237	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.00000086539532	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000008857341456	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000009054623036	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000009245981265	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000009431594008	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000009611633764	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.000000978626787	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.000000995565862	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.000001011996348	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000010279335096	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.000001043392162	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000010583866707	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000010729309727	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000010870385858	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000011007226204	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.000001113995794	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000011268704443	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000011393585366	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000011514716753	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000011632211196	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.00000117461779	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000011856722761	295.0	295.0	0.0	0.0	0.0	0.0
