# time of execution: 2021-01-30 19:25:23
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.105
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:1.75e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.000000021322299	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000423499136	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000630869152	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000835373202	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000001037050887	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.000000123594129	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001432082917	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.000000162551376	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000001816271287	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000200439244	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000002189913662	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000002372870884	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.000000255329953	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.000000273123456	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000290671044	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000003079761142	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000003250420193	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000003418720649	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000003584695094	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000003748375679	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000003909794113	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000004068981656	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000004225969152	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000004380786982	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.000000453346515	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.000000468403322	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.000000483252036	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000004978955317	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000005123366462	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.000000526578177	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000005406228825	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000005544734827	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000005681326603	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000005816030593	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000005948872897	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000006079879258	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000006209075043	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000006336485256	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000006462134596	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.000000658604741	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000006708247666	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000006828759063	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000006947604922	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000007064808263	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000007180391786	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.000000729437787	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.000000740678861	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.000000751764577	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0000007626970822	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0000007734784946	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0000007841109035	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.000000794596366	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.000000804936912	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0000008151345476	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0000008251912444	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0000008351089524	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.000000844889592	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0000008545350578	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.0000008640472176	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0000008734279149	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0000008826789644	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0000008918021603	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.0000009007992683	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0000009096720315	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.000000918422169	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0000009270513734	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0000009355613175	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0000009439536501	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.000000952229996	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.0000009603919586	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.000000968441117	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0000009763790334	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0000009842072421	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.0000009919272599	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.0000009995405839	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.0000010070486869	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.000001014453023	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.000001021755028	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	1.000001028956115	295.0	295.0	0.0	0.0	0.0	0.0
0.8	1.0000010360576779	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	1.000001043061094	295.0	295.0	0.0	0.0	0.0	0.0
0.82	1.0000010499677192	295.0	295.0	0.0	0.0	0.0	0.0
0.83	1.0000010567788908	295.0	295.0	0.0	0.0	0.0	0.0
0.84	1.0000010634959287	295.0	295.0	0.0	0.0	0.0	0.0
0.85	1.000001070120134	295.0	295.0	0.0	0.0	0.0	0.0
0.86	1.0000010766527876	295.0	295.0	0.0	0.0	0.0	0.0
0.87	1.000001083095157	295.0	295.0	0.0	0.0	0.0	0.0
0.88	1.0000010894484892	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	1.0000010957140149	295.0	295.0	0.0	0.0	0.0	0.0
0.9	1.0000011018929469	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	1.0000011079864835	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	1.0000011139958034	295.0	295.0	0.0	0.0	0.0	0.0
0.93	1.0000011199220695	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	1.000001125766433	295.0	295.0	0.0	0.0	0.0	0.0
0.95	1.0000011315300226	295.0	295.0	0.0	0.0	0.0	0.0
0.96	1.0000011372139572	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	1.0000011428193367	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	1.0000011483472464	295.0	295.0	0.0	0.0	0.0	0.0
0.99	1.0000011537987563	295.0	295.0	0.0	0.0	0.0	0.0
1.0	1.0000011591749245	295.0	295.0	0.0	0.0	0.0	0.0
1.01	1.0000011644767908	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	1.0000011697053819	295.0	295.0	0.0	0.0	0.0	0.0
1.03	1.0000011748617113	295.0	295.0	0.0	0.0	0.0	0.0
1.04	1.0000011799467776	295.0	295.0	0.0	0.0	0.0	0.0
1.05	1.0000011849615644	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	1.0000011899070445	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	1.0000011947841756	295.0	295.0	0.0	0.0	0.0	0.0
1.08	1.0000011995939024	295.0	295.0	0.0	0.0	0.0	0.0
1.09	1.000001204337155	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	1.000001209014853	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	1.000001213627902	295.0	295.0	0.0	0.0	0.0	0.0
1.12	1.0000012181771967	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	1.0000012226636175	295.0	295.0	0.0	0.0	0.0	0.0
1.14	1.0000012270880332	295.0	295.0	0.0	0.0	0.0	0.0
1.15	1.000001231451302	295.0	295.0	0.0	0.0	0.0	0.0
1.16	1.0000012357542667	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	1.0000012399977636	295.0	295.0	0.0	0.0	0.0	0.0
1.18	1.0000012441826125	295.0	295.0	0.0	0.0	0.0	0.0
1.19	1.0000012483096261	295.0	295.0	0.0	0.0	0.0	0.0
