# time of execution: 2021-01-30 17:56:17
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.13
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:1.6333333333333332e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000263554496	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000522606718	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000777233593	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000001027510712	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000001273512364	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000001515311607	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001752980223	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000001986588767	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000002216206587	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000244190188	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000002663741652	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000002881791745	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.000000309611693	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000003306780814	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0000003513845954	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.000000371737381	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000003917424831	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.00000041140584	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.000000430733289	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000004497305697	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.000000468403322	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000004867570889	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000005047973204	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000005225293727	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.00000053995851	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.000000557089908	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000005739286524	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000005904797415	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000006067480893	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000006227385263	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000006384557987	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000006539045767	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000006690894452	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000006840149114	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000006986854078	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000007131052897	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000007272788383	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000007412102605	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.000000754903694	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.000000768363203	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000007815927843	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000007945963656	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000008073778084	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000008199409067	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000008322893905	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000008444269264	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0000008563571192	295.0	295.0	0.0	0.0	0.0	0.0
