# time of execution: 2021-01-30 13:44:58
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.085
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:2.1e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0317255610007738	295.0	295.0	0	0	0	0
0.01	1.0313571036778653	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0309930756677161	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0306334202655474	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0302780815723849	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.029927004481788	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0295801346668323	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0292374185673445	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0288988033773878	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0285642370329866	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0282336682000914	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0279070462627735	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0275843213116425	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0272654441324907	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0269503661951491	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0266390396425529	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0263314172800202	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.026027452564728	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0257270995953864	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0254303131020992	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0251370484364288	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0248472615616318	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0245609090430803	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0242779480388589	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0239983362905345	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0237220321140998	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0234489943910723	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0231791825597643	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0229125566067094	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0226490770582384	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0223887049722147	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.022131401929913	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0218771300280445	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0216258518709294	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0213775305627955	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.021132129700231	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0208896133647574	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0206499461155376	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.020413092982214	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.020179019457866	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0199476914921006	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.019719075484252	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0194931382767067	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0192698471483417	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0190491698080741	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0188310743885245	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0186155294397872	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0184025039233078	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0181919672058632	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.017983889053647	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.017778239626451	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.017574989471948	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0173741095200692	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0171755710774788	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0169793458221357	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0167854057979513	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0165937234095297	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0164042714170052	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0162170229309553	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.016031951407399	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0158490306428873	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0156682347696584	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0154895382508833	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.015312915875987	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0151383427560443	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0149657943192456	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0147952463064476	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0146266747667847	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0144600560533563	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.0142953668189805	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.014132584012019	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.0139716848722644	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0138126469268989	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0136554479865063	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.013500066141162	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.0133464797565728	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.0131946674702783	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.0130446081879199	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.0128962810795603	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	1.0127496655760642	295.0	295.0	0.0	0.0	0.0	0.0
0.8	1.0126047413655306	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	1.0124614883897902	295.0	295.0	0.0	0.0	0.0	0.0
0.82	1.0123198868409462	295.0	295.0	0.0	0.0	0.0	0.0
0.83	1.012179917157975	295.0	295.0	0.0	0.0	0.0	0.0
0.84	1.0120415600233765	295.0	295.0	0.0	0.0	0.0	0.0
0.85	1.0119047963598773	295.0	295.0	0.0	0.0	0.0	0.0
0.86	1.0117696073271825	295.0	295.0	0.0	0.0	0.0	0.0
0.87	1.0116359743187824	295.0	295.0	0.0	0.0	0.0	0.0
0.88	1.0115038789587985	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	1.0113733030988878	295.0	295.0	0.0	0.0	0.0	0.0
0.9	1.0112442288151853	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	1.0111166384052983	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	1.010990514385346	295.0	295.0	0.0	0.0	0.0	0.0
0.93	1.0108658394870387	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	1.010742596654807	295.0	295.0	0.0	0.0	0.0	0.0
0.95	1.0106207690429698	295.0	295.0	0.0	0.0	0.0	0.0
0.96	1.0105003400129446	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	1.0103812931305063	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	1.0102636121630744	295.0	295.0	0.0	0.0	0.0	0.0
0.99	1.010147281077051	295.0	295.0	0.0	0.0	0.0	0.0
1.0	1.0100322840351958	295.0	295.0	0.0	0.0	0.0	0.0
1.01	1.0099186053940354	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	1.009806229701315	295.0	295.0	0.0	0.0	0.0	0.0
1.03	1.0096951416934887	295.0	295.0	0.0	0.0	0.0	0.0
1.04	1.009585326293242	295.0	295.0	0.0	0.0	0.0	0.0
1.05	1.009476768607057	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	1.0093694539228018	295.0	295.0	0.0	0.0	0.0	0.0
