# time of execution: 2021-01-30 13:16:14
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.4
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:2.5667e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0317255610007738	295.0	295.0	0	0	0	0
0.01	1.0300298233722756	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.028427639382466	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.026913545970515	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0254824302883103	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0241295040658003	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0228502801692279	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0216405511340618	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0204963694791263	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0194140296300171	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0183900512987656	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.017421164183344	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0165042938651658	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0156365487955858	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0148152082737518	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0140377113281707	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.013301646423237	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.012604741919818	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0119448572259968	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0113199745802766	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0107281914150918	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.010167713253417	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0096368470956572	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0091339952579907	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0086576496268305	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.008206386297281	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.007778860566297	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0073738022538288	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0069900113275578	295.0	295.0	0.0	0.0	0.0	0.0
