# time of execution: 2022-05-10 12:43:12
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.19
# gep=4.05e+18[W/m^3/K]
# factor cv_el=5500[J/m^3/K^2]
# cv_ph=2300000.0[J/m^3/K]
# R = 12000000000000.0[1/s]
# Tc=633[K]
# T_Deb=477[K]
### pulse paramters ###
# peak power:1.39e+22[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000732721315	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000001430643497	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000002095419258	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000002728622823	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000003331753642	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000003906239954	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000004453442173	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000004974656096	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000005471115991	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0000005943997488	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000006394420407	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000006823451355	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000007232106316	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000007621353004	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0000007992113162	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000008345264788	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000008681644157	295.0	295.0	0.0	0.0	0.0	0.0
