# time of execution: 2022-05-25 15:23:21
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.06
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:3e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000190519343	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000378685978	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000564528961	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.000000074807697	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000000929358368	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.000000110840113	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001285232907	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.000000145988099	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000001632372346	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000180273363	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001970991124	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000002137170816	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000002301298363	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000002463399105	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0000002623498083	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.000000278161999	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000002937789259	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000003092030016	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000003244366051	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000003394820902	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000003543417784	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.000000369017965	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000003835129174	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000003978288716	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000004119680386	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000004259326032	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000004397247197	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000004533465179	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000004668001	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000004800875446	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000004932109035	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000005061722033	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000005189734433	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.000000531616601	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.000000544103629	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.000000556436456	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000005686169844	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000005806470964	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000005925286493	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000006042634781	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000006158533947	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000006273001865	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000006386056206	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000006497714466	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000006607993859	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000006716911405	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0000006824483934	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000006930728056	295.0	295.0	0.0	0.0	0.0	0.0
