# time of execution: 2021-09-20 11:09:08
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=2300000.0[J/m^3/K]
# R = 17000000000000.0[1/s]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.85e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500955794408	295.0002344268916	295.000002106688	5.536009082263149e-07	69.15596073869665	4.845383162160033	74.00134334725576
0.02	0.9692501781748923	295.0004078046673	295.0000076728348	8.56550385175403e-07	120.30246037355549	17.6475206860232	137.9499802030283
0.03	0.969250250398347	295.0005346487193	295.0000157159561	1.0188083647832968e-06	157.72151558593944	36.146699550477024	193.8682141176082
0.04	0.9692503142714552	295.00062607835144	295.00002549042415	1.103190567786072e-06	184.6933101546959	58.62797625522944	243.32128530673484
0.05	0.9692503713623026	295.0006906089366	295.00003643190956	1.1452862898608807e-06	203.72987525914982	83.79339288680967	287.5232670006733
0.06	0.9692504228903449	295.0007347594041	295.0000481147884	1.1650385997041823e-06	216.75429460496045	110.6640140692889	327.418307509211
0.07	0.9692504698069108	295.00076351810316	295.00006021949184	1.1734567535448548e-06	225.23813238338172	138.5048321301383	363.7429633400631
0.08	0.9692505128569836	295.00078070005725	295.00007250748155	1.17649198033698e-06	230.30682206294733	166.7672087007304	397.07402958718563
0.09	0.9692505526266103	295.00078922092206	295.0000848020706	1.1772641972385145e-06	232.82048386239495	195.04476369361328	427.86524637874436
0.1	0.9692505895792916	295.00079130706865	295.0000969737283	1.1773329751108008e-06	233.43589872141706	223.0395758627992	456.4754734068836
0.11	0.9692506240839168	295.00078865667746	295.00010892882153	1.1774167443800998e-06	232.65403122791133	250.53629013211776	483.19032018261237
0.12	0.9692506564362218	295.0007825632652	295.00012060099425	1.177795071111154e-06	230.85646972708452	277.38228745683955	508.23875600612894
0.13	0.9692506868752652	295.0007740103991	295.0001319445662	1.1785300908506713e-06	228.33336752719538	303.4725028670209	531.8058692156867
0.14	0.9692507155960917	295.0007637443193	295.00014292948106	1.1795856567908825e-06	225.30486622500567	328.73780712423013	554.0426721696509
0.15	0.9692507427594733	295.00075232961757	295.0001535374431	1.1808893090881067e-06	221.93752052522132	353.13612033132813	575.0736396756618
0.16	0.9692507684993944	295.00074019191754	295.0001637589647	1.1823627966423e-06	218.35689001321524	376.6456194937973	595.0025083246514
0.17	0.9692507929288218	295.00072765059764	295.0001735911088	1.1839357059728606e-06	214.65719142573494	399.2595510865158	613.9167413283164
0.18	0.969250816144148	295.00071494386725	295.00018303577076	1.185550320248474e-06	210.9086967789678	420.98227351743844	631.8909691108564
0.19	0.9692508382286181	295.0007022479865	295.0001920983655	1.1871621803105636e-06	207.1634029739472	441.82624184663837	648.9896436334236
0.2	0.9692508592549809	295.00068969199293	295.0002007868318	1.1887387408315853e-06	203.45937609200334	461.80971428241264	665.2690891856772
0.21	0.9692508792875351	295.00067736898086	295.00020911087387	1.190257368138825e-06	199.82407906871254	480.9550113999876	680.779089278442
0.22	0.9692508983837221	295.00066534474144	295.00021708138974	1.19170327911311e-06	196.27692040865753	499.28719840490885	695.5641176218624
0.22999999999999998	0.9692509165953629	295.00065366437696	295.00022471003876	1.193067696858563e-06	192.83120521135896	516.8330910503073	709.6642950685983
0.24	0.9692509339696189	295.00064235736085	295.00023200891627	1.1943463061880877e-06	189.4956281668488	533.6205091075499	723.1161360800523
0.25	0.969250950549749	295.00063144140904	295.000238990312	1.1955380175288077e-06	186.27541551138077	549.6777188956912	735.9531332115339
0.26	0.9692509663757017	295.0006209254389	295.0002456665299	1.1966440084248964e-06	183.17319774302197	565.0330202031	748.2062167494778
0.27	0.9692509814845869	295.0006108118271	295.0002520497574	1.1976669942875828e-06	180.18967604087794	579.7144432254981	759.9041180687093
0.28	0.9692509959110476	295.000601098134	295.000258151969	1.198610684205459e-06	177.32413070755032	593.749529320371	771.0736588293108
0.29	0.9692510096875573	295.0005917784162	295.0002639848587	1.1994793826103356e-06	174.57480836492667	607.1651754859431	781.7399826513906
0.3	0.9692510228446669	295.0005828442243	295.00026955979405	1.200277701049468e-06	171.93921652596413	619.9875270425537	791.9267423682405
0.31	0.9692510354111983	295.00057428536087	295.00027488778517	1.2010103565551766e-06	169.41434691772824	632.2419068358158	801.6562525525337
0.32	0.9692510474144064	295.00056609045396	295.0002799794656	1.2016820282317875e-06	166.99684468885275	643.9527719125408	810.9496153997119
0.33	0.9692510588801159	295.0005582473882	295.0002848450824	1.202297264565888e-06	164.68313588613472	655.143690754926	819.826825438764
0.34	0.9692510698328347	295.00055074363036	295.0002894944931	1.2028604207681148e-06	162.46952320509632	665.8373358733343	828.3068578755706
0.35	0.9692510802958518	295.00054356647126	295.00029393716784	1.2033756223717162e-06	160.35225731432553	676.0554876450897	836.4077437560401
0.36	0.9692510902913211	295.00053670320403	295.00029818219366	1.2038467456926272e-06	158.32758975409084	685.8190464264908	844.1466349767346
0.37	0.9692510998403319	295.0005301412562	295.00030223828253	1.204277409724841e-06	156.39181162999128	695.1480505555992	851.5398609813128
0.38	0.9692511089629788	295.00052386828463	295.0003061137817	1.2046709782498333e-06	154.54128165255446	704.0616985261522	858.6029789740362
0.39	0.9692511176784154	295.00051787224163	295.0003098166839	1.2050305646937876e-06	152.77244581784916	712.5783739451208	865.3508185579399
0.4	0.9692511260049079	295.0005121414219	295.00031335463945	1.2053590435490147e-06	151.08185106533548	720.7156722636682	871.797522123645
0.41	0.969251133959882	295.0005066644928	295.0003167349681	1.2056590625447727e-06	149.4661542022602	728.4904286036863	877.9565816002876
0.42	0.9692511415599673	295.00050143051203	295.00031996467106	1.205933055137276e-06	147.9221271966642	735.9187460246403	883.8408720153715
0.43	0.9692511488210366	295.00049642893697	295.00032305044397	1.2061832556989338e-06	146.4466600439587	743.0160238290682	889.4626826668439
0.44	0.9692511557582443	295.0004916496278	295.0003259986883	1.2064117130006213e-06	145.03676141148892	749.7969856386817	894.8337458437592
0.45	0.9692511623860578	295.0004870828445	295.00032881552346	1.2066203040339563e-06	143.68955815108527	756.2757069621284	899.9652639065935
0.45999999999999996	0.9692511687182938	295.00048271924294	295.00033150679974	1.206810747014786e-06	142.402293533523	762.465642163329	904.8679344900412
0.47000000000000003	0.9692511747681488	295.00047854986383	295.00033407810764	1.2069846142617746e-06	141.17232469856916	768.3796506761155	909.5519741677
0.48	0.9692511805482256	295.00047456612475	295.0003365347907	1.207143343451289e-06	139.99711973735015	774.030022350189	914.0271408803958
0.49000000000000005	0.9692511860705622	295.0004707598078	295.00033888195566	1.2072882490249404e-06	138.87425441008517	779.4285019858762	918.3027551886724
0.5	0.9692511913466583	295.0004671230477	295.00034112448236	1.20742053218853e-06	137.80140846339768	784.5863129461122	922.3877202020886
