# time of execution: 2021-08-09 12:43:25
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=1165000.0[J/m^3/K]
# R = 12000000000000.0[1/ps]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500710190133	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.969250138665121	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692502030985116	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.969250264471767	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692503229302216	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692503786123076	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692504316498826	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692504821685421	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692505302879173	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692505761219565	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692506197791979	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692506613630225	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692507009719047	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.96925073869964	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692507746355682	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692508088647894	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692508414683599	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692508725234871	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692509021037085	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692509302790752	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692509571163064	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692509826789554	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692510070275537	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692510302197626	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.969251052310501	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692510733520819	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692510933943328	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692511124847145	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692511306684349	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692511479885536	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692511644860863	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692511802000997	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692511951678052	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692512094246474	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692512230043877	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692512359391839	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.969251248259666	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692512599950106	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692512711730071	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692512818201245	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692512919615786	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692513016213827	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692513108224127	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692513195864569	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692513279342687	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692513358856159	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692513434593291	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692513506733432	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692513575447417	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692513640897957	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9692513703240044	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692513762621303	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9692513819182356	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9692513873057167	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692513924373289	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692513973252238	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692514019809775	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9692514064156137	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692514106396354	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9692514146630453	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692514184953719	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.969251422145689	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9692514256226413	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692514289344619	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692514320889928	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692514350937061	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9692514379557161	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9692514406818008	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9692514432784143	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9692514457517063	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.969251448107534	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9692514503514763	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.969251452488847	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9692514545247066	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9692514564638768	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9692514583109509	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9692514600703003	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9692514617460921	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9692514633422966	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9692514648626918	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9692514663108794	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9692514676902868	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9692514690041819	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9692514702556757	295.0	295.0	0.0	0.0	0.0	0.0
