%electron temperature evolution exctracted from Tendgin et al., Sci. Adv. 4, no. 3, eaap9744
% Delay [fs]	   Electron temperature [K]
  -5.8503033e+01   3.0520231e+02
  -4.0794338e+01   2.7283237e+02
  -1.9843134e+01   4.7109827e+02
  -1.1300272e+01   7.0173410e+02
  -9.9573112e-01   9.3641618e+02
   9.3547662e+00   1.1346821e+03
   1.7958904e+01   1.3167630e+03
   3.9047979e+01   1.4057803e+03
   5.8819625e+01   1.1387283e+03
   7.8279785e+01   1.1184971e+03
   9.9659920e+01   9.7687861e+02
   1.1923242e+02   8.6763006e+02
   1.2803060e+02   8.9595376e+02
   1.4218530e+02   8.7976879e+02
   1.5104986e+02   8.5549133e+02
   1.5464470e+02   8.0693642e+02
   1.7057640e+02   7.8265896e+02
   1.7763333e+02   7.9075145e+02
   1.9010805e+02   7.0578035e+02
   1.9712923e+02   7.4219653e+02
   2.1839703e+02   6.8959538e+02
   2.4134991e+02   7.0173410e+02
   2.6079985e+02   6.8959538e+02
   2.8034682e+02   6.0057803e+02
   2.9980698e+02   5.8034682e+02
   3.2099818e+02   5.8843931e+02
   3.4043281e+02   5.8843931e+02
   3.5991340e+02   5.5202312e+02
   3.8114034e+02   5.3179191e+02
   3.9878776e+02   5.4797688e+02
   4.5003983e+02   5.3583815e+02
   5.0124083e+02   5.6416185e+02
   5.5076697e+02   5.1965318e+02
   6.0027778e+02   4.8728324e+02
   6.5154006e+02   4.6705202e+02
   6.9926878e+02   4.4682081e+02
   8.0176781e+02   4.2658960e+02
   9.0248473e+02   4.1849711e+02
