# time of execution: 2021-08-09 12:40:19
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=2e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=2300000.0[J/m^3/K]
# R = 6000000000000.0[1/ps]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500359414395	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692500710190145	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692501052534882	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692501386651237	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692501712736995	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692502030985172	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692502341584145	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692502644717745	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692502940565432	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692503229302307	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692503511099285	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692503786123168	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692504054536758	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.969250431649893	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692504572164742	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692504821685539	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692505065209004	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692505302879294	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692505534837095	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692505761219705	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692505982161115	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692506197792109	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692506408240336	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692506613630372	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.969250681408377	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692507009719203	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692507200652454	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692507386996558	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692507568861805	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692507746355852	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692507919583759	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692508088648074	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692508253648855	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692508414683783	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692508571848167	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692508725235037	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692508874935201	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692509021037259	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692509163627704	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692509302790928	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692509438609301	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692509571163238	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692509700531176	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692509826789701	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692509950013556	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692510070275683	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692510187647257	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692510302197767	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.969251041399501	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692510523105149	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.969251062959279	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692510733520954	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9692510834951162	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.969251093394346	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692511030556422	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.969251112484727	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692511216871796	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9692511306684467	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692511394338466	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.969251147988565	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692511563376686	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.969251164486098	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9692511724386762	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692511802001101	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692511877749955	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692511951678161	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9692512023829473	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9692512094246594	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9692512162971197	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9692512230043986	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9692512295504644	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9692512359391936	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9692512421743666	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9692512482596747	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.96925125419872	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9692512599950179	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.969251265652001	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9692512711730152	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9692512765613293	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9692512818201333	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9692512869525393	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9692512919615859	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9692512968502393	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9692513016213896	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9692513062778645	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9692513108224193	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9692513152577434	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9692513195864626	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9692513238111387	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9692513279342743	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9692513319583095	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9692513358856233	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9692513397185424	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9692513434593356	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.969251347110217	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9692513506733481	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9692513541508384	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9692513575447455	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9692513608570795	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9692513640897991	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9692513672448194	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9692513703240081	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9692513733291878	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9692513762621354	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.9692513791245901	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9692513819182438	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9692513846447499	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9692513873057231	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.9692513899027391	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9692513924373336	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9692513949110089	295.0	295.0	0.0	0.0	0.0	0.0
1.12	0.9692513973252285	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.9692513996814206	295.0	295.0	0.0	0.0	0.0	0.0
