# time of execution: 2021-08-10 14:47:43
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=1.28e+20[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=2300000.0[J/m^3/K]
# R = 384000000000000.0[1/s]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692511801800547	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692514289260122	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692514813540017	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.969251492404204	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692514947332456	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692514952241357	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692514953276004	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692514953494072	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692514953540037	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692514953549723	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692514953551764	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692514953552192	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692514953552246	295.0	295.0	0.0	0.0	0.0	0.0
