# time of execution: 2021-05-28 23:34:23
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4.05e+18[W/m^3/K]
# factor cv_el=5500[J/m^3/K^2]
# cv_ph=4660000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692501441551065	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692502744134055	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.969250392114569	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.969250498469126	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692505945709069	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692506814082971	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692507598743967	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692508307762152	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692508948429622	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692509527335509	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692510050433739	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692510523104274	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692510950208442	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9692511336138917	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692511684864923	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692511999973041	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692512284704108	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692512541986533	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692512774466402	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692512984534754	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692513174352081	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.969251334587063	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.969251350085444	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.96925136408975	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692513767440121	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692513881783774	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692513985104464	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692514078464838	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692514162825073	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692514239052806	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692514307932026	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.969251437017115	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692514426410308	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692514477227886	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692514523146548	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.969251456463854	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692514602130636	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692514636008417	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692514666620308	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692514694281146	295.0	295.0	0.0	0.0	0.0	0.0
