# time of execution: 2021-05-27 16:02:26
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.048
# gep=4.05e+17[W/m^3/K]
# factor cv_el=5500[J/m^3/K^2]
# cv_ph=2330000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500594211823	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.969250116481139	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692501712736983	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692502238889588	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692502744134405	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692503229302252	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692503695190924	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692504142566513	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692504572164673	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692504984691835	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692505380826355	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.969250576121961	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692506126497124	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9692506477259539	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692506814083661	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692507137523358	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692507448110474	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692507746355727	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.969250803274957	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692508307762916	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.969250857184801	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692508825439132	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692509068953246	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.96925093027908	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692509527336308	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692509742959001	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692509950013456	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692510148840147	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692510339766022	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692510523105046	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692510699158684	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692510868216448	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692511030556333	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692511186445292	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692511336139652	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692511479885578	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692511617919433	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692511750468209	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692511877749872	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692511999973715	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692512117340722	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.969251223004389	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692512338268547	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692512442192672	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.969251254198714	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692512637816053	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692512729836985	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692512818201268	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692512903054197	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692512984535309	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9692513062778585	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692513137912693	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.969251321006117	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9692513279342677	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692513345871135	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692513409755937	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692513471102124	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.969251353001059	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692513586578189	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9692513640897954	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692513693059209	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9692513743147709	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.969251379124584	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692513837432688	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692513881784194	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692513924373287	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9692513965270001	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9692514004541603	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9692514042252685	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9692514078465206	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9692514113238757	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9692514146630499	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9692514178695331	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9692514209485995	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9692514239053128	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9692514267445349	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9692514294709349	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9692514320889943	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9692514346030199	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9692514370171453	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9692514393353386	295.0	295.0	0.0	0.0	0.0	0.0
