# time of execution: 2021-05-29 23:59:50
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=2.025e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=2330000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500270378888	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.969250053586901	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692500796558742	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692501052534894	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692501303882677	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.969250155068579	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692501793026399	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692502030985193	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692502264641395	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692502494072812	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692502719355824	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692502940565448	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692503157775331	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9692503371057785	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692503580483822	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692503786123197	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692503988044348	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692504186314527	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692504380999724	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692504572164775	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692504759873325	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692504944187869	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692505125169778	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692505302879316	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692505477375651	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692505648716878	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692505816960033	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692505982161145	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692506144375208	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692506303656248	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692506460057285	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692506613630394	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692506764426712	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692506912496438	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692507057888878	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.969250720065245	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692507340834681	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692507478482245	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692507613640962	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692507746355843	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692507876671069	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692508004630034	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692508130275342	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692508253648829	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692508374791573	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692508493743899	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692508610545412	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692508725235012	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692508837850885	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692508948430519	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9692509057010739	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692509163627703	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9692509268316893	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9692509371113173	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692509472050755	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692509571163266	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692509668483688	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9692509764044441	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692509857877338	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9692509950013609	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692510040483944	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9692510129318469	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9692510216546747	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692510302197813	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692510386300209	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692510468881931	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9692510549970483	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9692510629592861	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9692510707775542	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9692510784544583	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9692510859925546	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9692510933943523	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9692511006623158	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9692511077988653	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9692511148063783	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9692511216871872	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9692511284435804	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9692511350778104	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9692511415920856	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9692511479885734	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9692511542694056	295.0	295.0	0.0	0.0	0.0	0.0
