# time of execution: 2021-05-29 23:24:01
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4.05e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=3500000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500180800213	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692500359414404	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692500535869012	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692500710190147	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692500882403625	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692501052534912	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692501220609162	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.969250138665128	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692501550685813	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692501712737038	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692501872828931	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692502030985196	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692502187229234	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9692502341584154	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692502494072811	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692502644717758	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692502793541292	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692502940565432	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.969250308581195	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692503229302312	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692503371057779	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692503511099307	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692503649447609	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692503786123193	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692503921146247	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692504054536788	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692504186314516	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692504316498947	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692504445109349	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692504572164757	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692504697683971	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692504821685557	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692504944187856	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692505065209017	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692505184766935	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692505302879296	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692505419563602	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692505534837096	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692505648716848	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692505761219709	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692505872362315	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692505982161116	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.969250609063237	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692506197792138	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692506303656256	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692506408240382	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692506511560004	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692506613630407	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692506714466699	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692506814083802	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9692506912496451	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692507009719216	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9692507105766484	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9692507200652469	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692507294391204	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692507386996568	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692507478482254	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9692507568861808	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692507658148602	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9692507746355852	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692507833496611	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9692507919583768	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9692508004630057	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692508088648071	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692508171650248	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692508253648848	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9692508334656029	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9692508414683765	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9692508493743904	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9692508571848151	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9692508649008048	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9692508725235024	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9692508800540361	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9692508874935191	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9692508948430535	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9692509021037254	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9692509092766104	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9692509163627694	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.969250923363251	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9692509302790926	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9692509371113157	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.969250943860932	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9692509505289392	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9692509571163249	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9692509636240645	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9692509700531202	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9692509764044429	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9692509826789738	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9692509888776388	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.969250995001358	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9692510010510358	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9692510070275692	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9692510129318418	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.969251018764727	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9692510245270883	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9692510302197783	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9692510358436391	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9692510413995029	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9692510468881913	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9692510523105172	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.969251057667283	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9692510629592809	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9692510681872955	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9692510733520983	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.9692510784544541	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9692510834951198	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9692510884748391	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9692510933943487	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.969251098254379	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.969251103055647	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9692511077988628	295.0	295.0	0.0	0.0	0.0	0.0
1.12	0.9692511124847297	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.969251117113941	295.0	295.0	0.0	0.0	0.0	0.0
1.14	0.9692511216871823	295.0	295.0	0.0	0.0	0.0	0.0
1.15	0.9692511262051287	295.0	295.0	0.0	0.0	0.0	0.0
1.16	0.9692511306684506	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	0.969251135077807	295.0	295.0	0.0	0.0	0.0	0.0
1.18	0.9692511394338497	295.0	295.0	0.0	0.0	0.0	0.0
1.19	0.9692511437372252	295.0	295.0	0.0	0.0	0.0	0.0
1.2	0.969251147988569	295.0	295.0	0.0	0.0	0.0	0.0
1.21	0.9692511521885102	295.0	295.0	0.0	0.0	0.0	0.0
1.22	0.9692511563376713	295.0	295.0	0.0	0.0	0.0	0.0
1.23	0.969251160436665	295.0	295.0	0.0	0.0	0.0	0.0
1.24	0.9692511644860993	295.0	295.0	0.0	0.0	0.0	0.0
1.25	0.9692511684865727	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	0.9692511724386776	295.0	295.0	0.0	0.0	0.0	0.0
1.27	0.9692511763429986	295.0	295.0	0.0	0.0	0.0	0.0
1.28	0.969251180200114	295.0	295.0	0.0	0.0	0.0	0.0
1.29	0.969251184010594	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	0.9692511877750005	295.0	295.0	0.0	0.0	0.0	0.0
1.31	0.9692511914938922	295.0	295.0	0.0	0.0	0.0	0.0
1.32	0.9692511951678203	295.0	295.0	0.0	0.0	0.0	0.0
1.33	0.9692511987973278	295.0	295.0	0.0	0.0	0.0	0.0
1.3399999999999999	0.9692512023829516	295.0	295.0	0.0	0.0	0.0	0.0
1.3499999999999999	0.9692512059252218	295.0	295.0	0.0	0.0	0.0	0.0
1.36	0.9692512094246634	295.0	295.0	0.0	0.0	0.0	0.0
1.37	0.9692512128817959	295.0	295.0	0.0	0.0	0.0	0.0
1.38	0.969251216297127	295.0	295.0	0.0	0.0	0.0	0.0
1.39	0.9692512196711641	295.0	295.0	0.0	0.0	0.0	0.0
1.4	0.969251223004406	295.0	295.0	0.0	0.0	0.0	0.0
1.4100000000000001	0.9692512262973486	295.0	295.0	0.0	0.0	0.0	0.0
1.42	0.9692512295504747	295.0	295.0	0.0	0.0	0.0	0.0
1.43	0.9692512327642675	295.0	295.0	0.0	0.0	0.0	0.0
1.44	0.9692512359392031	295.0	295.0	0.0	0.0	0.0	0.0
1.45	0.9692512390757511	295.0	295.0	0.0	0.0	0.0	0.0
1.46	0.9692512421743774	295.0	295.0	0.0	0.0	0.0	0.0
1.47	0.9692512452355375	295.0	295.0	0.0	0.0	0.0	0.0
1.48	0.9692512482596866	295.0	295.0	0.0	0.0	0.0	0.0
1.49	0.96925125124727	295.0	295.0	0.0	0.0	0.0	0.0
1.4999999999999998	0.9692512541987316	295.0	295.0	0.0	0.0	0.0	0.0
1.51	0.9692512571145073	295.0	295.0	0.0	0.0	0.0	0.0
1.52	0.9692512599950294	295.0	295.0	0.0	0.0	0.0	0.0
1.53	0.9692512628407233	295.0	295.0	0.0	0.0	0.0	0.0
1.5399999999999998	0.9692512656520107	295.0	295.0	0.0	0.0	0.0	0.0
1.55	0.9692512684293073	295.0	295.0	0.0	0.0	0.0	0.0
1.56	0.9692512711730236	295.0	295.0	0.0	0.0	0.0	0.0
1.57	0.969251273883567	295.0	295.0	0.0	0.0	0.0	0.0
1.5799999999999998	0.9692512765613378	295.0	295.0	0.0	0.0	0.0	0.0
1.5899999999999999	0.9692512792067318	295.0	295.0	0.0	0.0	0.0	0.0
1.6	0.9692512818201406	295.0	295.0	0.0	0.0	0.0	0.0
1.61	0.9692512844019516	295.0	295.0	0.0	0.0	0.0	0.0
1.6199999999999999	0.969251286952548	295.0	295.0	0.0	0.0	0.0	0.0
1.63	0.9692512894723042	295.0	295.0	0.0	0.0	0.0	0.0
1.64	0.9692512919615943	295.0	295.0	0.0	0.0	0.0	0.0
1.6500000000000001	0.9692512944207873	295.0	295.0	0.0	0.0	0.0	0.0
1.66	0.9692512968502465	295.0	295.0	0.0	0.0	0.0	0.0
1.67	0.9692512992503316	295.0	295.0	0.0	0.0	0.0	0.0
1.68	0.9692513016213997	295.0	295.0	0.0	0.0	0.0	0.0
