# time of execution: 2022-07-31 12:42:32
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:300.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.063
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-12[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	300.0	300.0	0	0	0	0
0.01	0.9999659245793985	300.0	300.0	5.255174257356751e-178	5.255174257356751e-178	0.0	0.0
0.02	0.9999322979595264	300.0	300.0	2.665472567396371e-174	2.665472567396371e-174	0.0	0.0
0.03	0.9998991141945793	300.0	300.0	1.2398208244319053e-170	1.2398208244319053e-170	0.0	0.0
0.04	0.9998663674184326	300.0	300.0	5.289573850598744e-167	5.289573850598744e-167	0.0	0.0
0.05	0.9998340518435463	300.0	300.0	2.0699528828592843e-163	2.0699528828592843e-163	0.0	0.0
0.06	0.9998021617598922	300.0	300.0	7.429836110833886e-160	7.429836110833886e-160	0.0	0.0
0.07	0.9997706915338902	300.0	300.0	2.446121477182429e-156	2.446121477182429e-156	0.0	0.0
0.08	0.9997396356073668	300.0	300.0	7.386825948847888e-153	7.386825948847888e-153	0.0	0.0
0.09	0.99970898849652	300.0	300.0	2.046066996092388e-149	2.046066996092388e-149	0.0	0.0
0.1	0.9996787447909085	300.0	300.0	5.19834486776312e-146	5.19834486776312e-146	0.0	0.0
0.11	0.999648899152445	300.0	300.0	1.2114199802083743e-142	1.2114199802083743e-142	0.0	0.0
0.12	0.9996194463144141	300.0	300.0	2.589464574032906e-139	2.589464574032906e-139	0.0	0.0
0.13	0.9995903810804951	300.0	300.0	5.0770570571487206e-136	5.0770570571487206e-136	0.0	0.0
0.14	0.9995616983238037	300.0	300.0	9.130660953584046e-133	9.130660953584046e-133	0.0	0.0
0.15	0.9995333929859472	300.0	300.0	1.506197105837836e-129	1.506197105837836e-129	0.0	0.0
0.16	0.9995054600760903	300.0	300.0	2.279041243831529e-126	2.279041243831529e-126	0.0	0.0
0.17	0.9994778946700361	300.0	300.0	3.163113360211438e-123	3.163113360211438e-123	0.0	0.0
0.18	0.9994506919093211	300.0	300.0	4.0269013192318785e-120	4.0269013192318785e-120	0.0	0.0
0.19	0.9994238470003177	300.0	300.0	4.7024305774785924e-117	4.7024305774785924e-117	0.0	0.0
0.2	0.9993973552133582	300.0	300.0	5.036983693827407e-114	5.036983693827407e-114	0.0	0.0
0.21	0.9993712118818625	300.0	300.0	4.9489956719630956e-111	4.9489956719630956e-111	0.0	0.0
0.22	0.9993454124014817	300.0	300.0	4.460295905009258e-108	4.460295905009258e-108	0.0	0.0
0.22999999999999998	0.9993199522292545	300.0	300.0	3.687330740084496e-105	3.687330740084496e-105	0.0	0.0
0.24	0.9992948268827747	300.0	300.0	2.7961738190011627e-102	2.7961738190011627e-102	0.0	0.0
0.25	0.9992700319393694	300.0	300.0	1.945009738462547e-99	1.945009738462547e-99	0.0	0.0
0.26	0.9992455630352903	300.0	300.0	1.241043229845591e-96	1.241043229845591e-96	0.0	0.0
0.27	0.9992214158649153	300.0	300.0	7.263761958444651e-94	7.263761958444651e-94	0.0	0.0
0.28	0.9991975861799597	300.0	300.0	3.8998508178079873e-91	3.8998508178079873e-91	0.0	0.0
0.29	0.9991740697887029	300.0	300.0	1.9206503192256708e-88	1.9206503192256708e-88	0.0	0.0
0.3	0.9991508625552187	300.0	300.0	8.676905010478651e-86	8.676905010478651e-86	0.0	0.0
0.31	0.9991279603986288	300.0	300.0	3.5958372482761594e-83	3.5958372482761594e-83	0.0	0.0
0.32	0.9991053592923498	300.0	300.0	1.3669617722671385e-80	1.3669617722671385e-80	0.0	0.0
0.33	0.9990830552633655	300.0	300.0	4.766904991055595e-78	4.766904991055595e-78	0.0	0.0
0.34	0.9990610443915	300.0	300.0	1.5249062620967334e-75	1.5249062620967334e-75	0.0	0.0
0.35	0.9990393228087076	300.0	300.0	4.4748572835040337e-73	4.4748572835040337e-73	0.0	0.0
0.36	0.9990178866983636	300.0	300.0	1.2046131890229147e-70	1.2046131890229147e-70	0.0	0.0
0.37	0.9989967322945779	300.0	300.0	2.9747574141187483e-68	2.9747574141187483e-68	0.0	0.0
0.38	0.998975855881506	300.0	300.0	6.738981966927424e-66	6.738981966927424e-66	0.0	0.0
0.39	0.9989552537926737	300.0	300.0	1.4004875939916153e-63	1.4004875939916153e-63	0.0	0.0
0.4	0.9989349224103151	300.0	300.0	2.6699926986191332e-61	2.6699926986191332e-61	0.0	0.0
0.41	0.9989148581647156	300.0	300.0	4.669716306473089e-59	4.669716306473089e-59	0.0	0.0
