# time of execution: 2022-03-07 13:59:49
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.085
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=477[K]
### pulse paramters ###
# peak power:1.68e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.000000015391998	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000306304342	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000457168419	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000606527377	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.000000075439624	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000000900789858	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001045722953	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.000000118921009	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000001331265707	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000147190408	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001611139346	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.000000174898551	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000001885456442	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000002020565837	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000215432728	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000002286754233	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000002417860012	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000002547657802	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000002676160626	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000002803381423	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000002929332963	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000003054027935	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000003177478864	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000003299698166	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000003420698118	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000003540490907	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.000000365908855	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.000000377650299	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000003892746026	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000004007829344	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000004121764503	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000004234562963	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000004346236067	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.000000445679505	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000004566251024	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000004674614997	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.000000478189786	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000004888110383	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000004993263258	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000005097367068	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000005200432256	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000005302469197	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.000000540348815	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.000000550349927	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.000000560251261	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.000000570053814	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0000005797585685	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.000000589366501	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.000000598878579	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0000006082957573	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0000006176189835	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0000006268491948	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0000006359873195	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0000006450342762	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0000006539909738	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0000006628583133	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0000006716371872	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0000006803284764	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.0000006889330553	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0000006974517894	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.000000705885534	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0000007142351384	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.0000007225014418	295.0	295.0	0.0	0.0	0.0	0.0
