# time of execution: 2022-05-04 12:09:43
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.07
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=477[K]
### pulse paramters ###
# peak power:3e+20[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000126869644	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000252696002	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000377487637	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000501253083	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000000624000764	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.000000074573903	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000000866476222	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000000986220547	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000001104980172	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000122276319	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001339577633	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000001455431482	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000001570332622	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000001684288888	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000179730805	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000001909397818	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.000000202056583	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000002130819663	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.000000224016685	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000002348614827	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000002456171	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000002562842703	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.000000266863721	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000002773561731	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000002877623424	295.0	295.0	0.0	0.0	0.0	0.0
