# time of execution: 2022-03-01 13:46:30
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.09
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=477[K]
### pulse paramters ###
# peak power:1.3e+22[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000162926117	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.000000032413167	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000483634828	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000641453552	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.000000079760565	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000000952108716	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001104980172	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000001256237243	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000001405896959	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.00000015539762	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001700491663	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000001845459867	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000001988897145	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000002130819656	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000227124341	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000002410184226	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000002547657778	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000002683679554	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000002818264873	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000002951428906	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000003083186684	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000003213553028	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.000000334254265	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000003470170082	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000003596449716	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.00000037213958	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000003845022394	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000003967343427	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000004088372698	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000004208123843	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000004326610366	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000004443845625	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000004559842817	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000004674615028	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000004788175199	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000004900536146	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000005011710493	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000005121710807	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000005230549467	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000005338238729	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000005444790745	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.000000555021753	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.000000565453096	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000005757742803	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000005859864682	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000005960908092	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0000006060884445	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000006159805006	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0000006257680927	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0000006354523223	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0000006450342833	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0000006545150542	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0000006638957046	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0000006731772908	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0000006823608591	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0000006914474464	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0000007004380735	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0000007093337562	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.000000718135496	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.000000726844286	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0000007354611078	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0000007439869318	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.000000752422719	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0000007607694208	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0000007690279775	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.000000777199322	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0000007852843718	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0000007932840396	295.0	295.0	0.0	0.0	0.0	0.0
