# time of execution: 2021-05-05 10:54:36
#model:['m3tm']
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.96925]']
### sample paramters ###
# Sample: ['Nickel']
# S=[0.5]
# mu_at=[0.616][mu_B]
# nz=[1]
# dx=[3.524e-10]	dy=[3.524e-10]	dz=[3.524e-10]	[m]
# atoms per unit cell:[4]
# asf=[0.05]
# Tc=[633][K]
# T_Deb=[360][K]
### pulse paramters ###
# peak power:2.1e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.01	[1.0000000156937234]	[295.0000752396703]	[295.0000001748042]	[0.0]	[0.0]	[0.0]	[0.0]
0.02	[1.0000000308604442]	[295.0001402718881]	[295.00000066955363]	[0.0]	[0.0]	[0.0]	[0.0]
0.03	[1.0000000455552698]	[295.0001964380508]	[295.0000014391685]	[0.0]	[0.0]	[0.0]	[0.0]
0.04	[1.0000000598262115]	[295.00024490366036]	[295.00000244450786]	[0.0]	[0.0]	[0.0]	[0.0]
0.05	[1.0000000737151102]	[295.0002866813851]	[295.0000036515908]	[0.0]	[0.0]	[0.0]	[0.0]
0.06	[1.0000000872584485]	[295.0003226510984]	[295.0000050309197]	[0.0]	[0.0]	[0.0]	[0.0]
0.07	[1.0000001004880499]	[295.0003535772882]	[295.000006556892]	[0.0]	[0.0]	[0.0]	[0.0]
0.08	[1.0000001134316894]	[295.0003801241859]	[295.00000820728917]	[0.0]	[0.0]	[0.0]	[0.0]
0.09	[1.0000001261136207]	[295.00040286890965]	[295.0000099628336]	[0.0]	[0.0]	[0.0]	[0.0]
0.1	[1.0000001385550403]	[295.0004223128882]	[295.0000118068017]	[0.0]	[0.0]	[0.0]	[0.0]
0.11	[1.0000001507744853]	[295.0004388917818]	[295.0000137246894]	[0.0]	[0.0]	[0.0]	[0.0]
0.12	[1.000000162788181]	[295.00045298410697]	[295.00001570392084]	[0.0]	[0.0]	[0.0]	[0.0]
0.13	[1.000000174610343]	[295.0004649187271]	[295.000017733595]	[0.0]	[0.0]	[0.0]	[0.0]
0.14	[1.0000001862534407]	[295.0004749813646]	[295.00001980426646]	[0.0]	[0.0]	[0.0]	[0.0]
0.15	[1.0000001977284227]	[295.0004834202553]	[295.0000219077542]	[0.0]	[0.0]	[0.0]	[0.0]
0.16	[1.0000002090449183]	[295.0004904510644]	[295.00002403697505]	[0.0]	[0.0]	[0.0]	[0.0]
0.17	[1.000000220211406]	[295.0004962611568]	[295.00002618580055]	[0.0]	[0.0]	[0.0]	[0.0]
0.18	[1.0000002312353664]	[295.00050101330714]	[295.00002834892985]	[0.0]	[0.0]	[0.0]	[0.0]
0.19	[1.00000024212341]	[295.00050484892444]	[295.00003052178295]	[0.0]	[0.0]	[0.0]	[0.0]
0.2	[1.000000252881392]	[295.0005078908541]	[295.0000327004044]	[0.0]	[0.0]	[0.0]	[0.0]
0.21	[1.0000002635145082]	[295.0005102458105]	[295.00003488138213]	[0.0]	[0.0]	[0.0]	[0.0]
0.22	[1.0000002740273812]	[295.0005120064927]	[295.00003706177586]	[0.0]	[0.0]	[0.0]	[0.0]
0.22999999999999998	[1.0000002844241367]	[295.00051325342275]	[295.0000392390545]	[0.0]	[0.0]	[0.0]	[0.0]
0.24	[1.0000002947084645]	[295.00051405654216]	[295.0000414110425]	[0.0]	[0.0]	[0.0]	[0.0]
0.25	[1.0000003048836754]	[295.0005144765985]	[295.00004357587375]	[0.0]	[0.0]	[0.0]	[0.0]
0.26	[1.0000003149527523]	[295.0005145663519]	[295.0000457319494]	[0.0]	[0.0]	[0.0]	[0.0]
0.27	[1.0000003249183897]	[295.0005143716219]	[295.0000478779044]	[0.0]	[0.0]	[0.0]	[0.0]
0.28	[1.0000003347830313]	[295.0005139321982]	[295.0000500125747]	[0.0]	[0.0]	[0.0]	[0.0]
0.29	[1.0000003445489012]	[295.00051328263066]	[295.000052134972]	[0.0]	[0.0]	[0.0]	[0.0]
0.3	[1.000000354218035]	[295.00051245291723]	[295.0000542442604]	[0.0]	[0.0]	[0.0]	[0.0]
0.31	[1.000000363792298]	[295.0005114691]	[295.00005633973564]	[0.0]	[0.0]	[0.0]	[0.0]
0.32	[1.0000003732734117]	[295.0005103537855]	[295.00005842080793]	[0.0]	[0.0]	[0.0]	[0.0]
